#: table_doi: 10.17182/hepdata.70547.v2/t45
#: name: Table 45
#: description: Transverse scalar pT sum distribution, Z-boson pT = 50 - 110 GeV, Born leptons : Statistical and systematic errors are added in quadrature.

#: data_file: Table51.yaml
#: keyword reactions: P P --> CHARGED Z < E+ E- + MU+ MU- > X
#: keyword observables: D3N/DETARAP/DPHI/DPT
#: keyword phrases: Inclusive | Proton-Proton Scattering | Muon production | Electron production
#: - Born leptons,,,
#: - Transverse region,,,
#: ABS(ETARAP(P=3)),,,< 2.5
#: PT(P=3) [GEV],,,> 0.5
#: PT(P=4) [GeV],,,50.0-110.0
SUM(PT(P=3))/DELTA(ETARAP)/DELTA(DELTA(PHI)) [GEV],SUM(PT(P=3))/DELTA(ETARAP)/DELTA(DELTA(PHI)) [GEV] LOW,SUM(PT(P=3))/DELTA(ETARAP)/DELTA(DELTA(PHI)) [GEV] HIGH,1/N(EVT)*D(N(EVT))/D(SUM(PT(P=3))/DELTA(ETARAP)/DELTA(DELTA(PHI))) [GEV**-1],error +,error -
0.0501,0.0477,0.0525,0.7823804,0.06028523,-0.06028523
0.0554,0.0525,0.0583,0.6949706,0.0524543,-0.0524543
0.061149999999999996,0.0583,0.064,0.6587486,0.05139384,-0.05139384
0.06684999999999999,0.064,0.0697,0.4753884,0.04555248,-0.04555248
0.07305,0.0697,0.0764,0.3601724,0.03930675,-0.03930675
0.0802,0.0764,0.084,0.3197395,0.03651193,-0.03651193
0.0888,0.084,0.0936,0.2751099,0.02897642,-0.02897642
0.09834999999999999,0.0936,0.1031,0.271142,0.02628355,-0.02628355
0.10885,0.1031,0.1146,0.3811869,0.02271541,-0.02271541
0.12034999999999998,0.1146,0.1261,0.4426499,0.02149133,-0.02149133
0.13085,0.1261,0.1356,0.447927,0.02401981,-0.02401981
0.14179999999999998,0.1356,0.148,0.4160772,0.02430141,-0.02430141
0.15515,0.148,0.1623,0.3583083,0.02346019,-0.02346019
0.17185,0.1623,0.1814,0.4456524,0.02094231,-0.02094231
0.19095,0.1814,0.2005,0.4728236,0.02031684,-0.02031684
0.21005000000000001,0.2005,0.2196,0.4444584,0.02038961,-0.02038961
0.22915,0.2196,0.2387,0.4805206,0.02014959,-0.02014959
0.25305,0.2387,0.2674,0.4865483,0.01873383,-0.01873383
0.2817,0.2674,0.296,0.4911316,0.01883211,-0.01883211
0.31035,0.296,0.3247,0.4962987,0.01815052,-0.01815052
0.33899999999999997,0.3247,0.3533,0.5171483,0.01703694,-0.01703694
0.3724,0.3533,0.3915,0.5025517,0.01540973,-0.01540973
0.4106,0.3915,0.4297,0.5289349,0.01598118,-0.01598118
0.4488,0.4297,0.4679,0.5179899,0.01465735,-0.01465735
0.49655,0.4679,0.5252,0.5334417,0.01340405,-0.01340405
0.5467,0.5252,0.5682,0.5356027,0.01287641,-0.01287641
0.59685,0.5682,0.6255,0.5354611,0.01160671,-0.01160671
0.6565,0.6255,0.6875,0.5177822,0.0110888,-0.0110888
0.72095,0.6875,0.7544,0.4948169,0.01010402,-0.01010402
0.7926,0.7544,0.8308,0.472762,0.009015067,-0.009015067
0.87375,0.8308,0.9167,0.4489882,0.00845404,-0.00845404
0.9621,0.9167,1.0075,0.4242317,0.007898586,-0.007898586
1.0575999999999999,1.0075,1.1077,0.4128907,0.00705864,-0.00705864
1.165,1.1077,1.2223,0.3830348,0.006631609,-0.006631609
1.282,1.2223,1.3417,0.3496084,0.006056293,-0.006056293
1.40855,1.3417,1.4754,0.3111084,0.005387607,-0.005387607
1.5493999999999999,1.4754,1.6234,0.2742833,0.005106191,-0.005106191
1.70455,1.6234,1.7857,0.2426744,0.004611938,-0.004611938
1.87405,1.7857,1.9624,0.2057368,0.004293048,-0.004293048
2.06025,1.9624,2.1581,0.1728481,0.003904635,-0.003904635
2.26795,2.1581,2.3778,0.1432502,0.003300185,-0.003300185
2.49715,2.3778,2.6165,0.1164732,0.002831106,-0.002831106
2.7454,2.6165,2.8743,0.09381672,0.002407145,-0.002407145
3.01755,2.8743,3.1608,0.0716754,0.002105391,-0.002105391
3.3207500000000003,3.1608,3.4807,0.05428415,0.001727245,-0.001727245
3.6550000000000002,3.4807,3.8293,0.0430365,0.00142661,-0.00142661
4.02025,3.8293,4.2112,0.0333258,0.001250659,-0.001250659
4.4213000000000005,4.2112,4.6314,0.02434203,0.001073781,-0.001073781
4.86295,4.6314,5.0945,0.01683841,0.0008931602,-0.0008931602
5.34995,5.0945,5.6054,0.01260504,0.0007292693,-0.0007292693
5.88475,5.6054,6.1641,0.009747362,0.0005711014,-0.0005711014
6.47205,6.1641,6.78,0.007560487,0.0004768583,-0.0004768583
7.119,6.78,7.458,0.005432889,0.0003919772,-0.0003919772
7.8304,7.458,8.2028,0.003988985,0.0003212097,-0.0003212097
8.61345,8.2028,9.0241,0.002905756,0.000270146,-0.000270146
9.4777,9.0241,9.9313,0.00223124,0.0002245144,-0.0002245144

