#: table_doi: 10.17182/hepdata.70547.v2/t47
#: name: Table 47
#: description: Towards <mean pT(charged)> vs Z-boson pT, Born leptons : Statistical and systematic errors are added in quadrature.

#: data_file: Table53.yaml
#: keyword reactions: P P --> CHARGED Z < E+ E- + MU+ MU- > X
#: keyword observables: PT
#: keyword phrases: Inclusive | Proton-Proton Scattering | Muon production | Electron production
#: - Born leptons,,,
#: - Toward region,,,
#: ABS(ETARAP(P=3)),,,< 2.5
#: PT(P=3) [GEV],,,> 0.5
PT(P=4) [GEV],PT(P=4) [GEV] LOW,PT(P=4) [GEV] HIGH,AVERAGE PT(P=3) [GEV],error +,error -
2.5,0.0,5.0,0.9541349,0.004459131,-0.004459131
7.5,5.0,10.0,0.9823313,0.004659685,-0.004659685
12.5,10.0,15.0,1.008583,0.004957012,-0.004957012
17.5,15.0,20.0,1.033187,0.005133911,-0.005133911
22.5,20.0,25.0,1.049412,0.004644387,-0.004644387
27.5,25.0,30.0,1.074496,0.004115974,-0.004115974
32.5,30.0,35.0,1.093374,0.00394582,-0.00394582
37.5,35.0,40.0,1.1159,0.005127663,-0.005127663
45.0,40.0,50.0,1.12757,0.005247348,-0.005247348
55.0,50.0,60.0,1.144111,0.006491146,-0.006491146
70.0,60.0,80.0,1.178253,0.006656691,-0.006656691
95.0,80.0,110.0,1.225886,0.009137596,-0.009137596
135.0,110.0,160.0,1.282391,0.0128442,-0.0128442
185.0,160.0,210.0,1.326501,0.03020202,-0.03020202
355.0,210.0,500.0,1.388345,0.04835829,-0.04835829

