#: table_doi: 10.17182/hepdata.70547.v2/t48
#: name: Table 48
#: description: Transverse <mean pT(charged)> vs Z-boson pT, Born leptons : Statistical and systematic errors are added in quadrature.

#: data_file: Table54.yaml
#: keyword reactions: P P --> CHARGED Z < E+ E- + MU+ MU- > X
#: keyword observables: PT
#: keyword phrases: Inclusive | Proton-Proton Scattering | Muon production | Electron production
#: - Born leptons,,,
#: - Transverse region,,,
#: ABS(ETARAP(P=3)),,,< 2.5
#: PT(P=3) [GEV],,,> 0.5
PT(P=4) [GEV],PT(P=4) [GEV] LOW,PT(P=4) [GEV] HIGH,AVERAGE PT(P=3) [GEV],error +,error -
2.5,0.0,5.0,0.9618057,0.00211175,-0.00211175
7.5,5.0,10.0,1.00612,0.002237689,-0.002237689
12.5,10.0,15.0,1.045624,0.002647043,-0.002647043
17.5,15.0,20.0,1.084609,0.003075964,-0.003075964
22.5,20.0,25.0,1.117644,0.003427999,-0.003427999
27.5,25.0,30.0,1.141249,0.004102127,-0.004102127
32.5,30.0,35.0,1.173717,0.004446952,-0.004446952
37.5,35.0,40.0,1.196854,0.005314159,-0.005314159
45.0,40.0,50.0,1.231671,0.005004339,-0.005004339
55.0,50.0,60.0,1.271817,0.006741075,-0.006741075
70.0,60.0,80.0,1.318045,0.007166884,-0.007166884
95.0,80.0,110.0,1.389994,0.01002336,-0.01002336
135.0,110.0,160.0,1.456475,0.01443285,-0.01443285
185.0,160.0,210.0,1.572787,0.0336344,-0.0336344
355.0,210.0,500.0,1.682382,0.04663225,-0.04663225

