#: table_doi: 10.17182/hepdata.70547.v2/t49
#: name: Table 49
#: description: Away <mean pT(charged)> vs Z-boson pT, Born leptons : Statistical and systematic errors are added in quadrature.

#: data_file: Table55.yaml
#: keyword reactions: P P --> CHARGED Z < E+ E- + MU+ MU- > X
#: keyword observables: PT
#: keyword phrases: Inclusive | Proton-Proton Scattering | Muon production | Electron production
#: - Away region,,,
#: - Born leptons,,,
#: ABS(ETARAP(P=3)),,,< 2.5
#: PT(P=3) [GEV],,,> 0.5
PT(P=4) [GEV],PT(P=4) [GEV] LOW,PT(P=4) [GEV] HIGH,AVERAGE PT(P=3) [GEV],error +,error -
2.5,0.0,5.0,1.007567,0.003405789,-0.003405789
7.5,5.0,10.0,1.111053,0.003602928,-0.003602928
12.5,10.0,15.0,1.244303,0.003995487,-0.003995487
17.5,15.0,20.0,1.385418,0.005379368,-0.005379368
22.5,20.0,25.0,1.530686,0.008359093,-0.008359093
27.5,25.0,30.0,1.670425,0.01213826,-0.01213826
32.5,30.0,35.0,1.819771,0.01459772,-0.01459772
37.5,35.0,40.0,1.959332,0.01634746,-0.01634746
45.0,40.0,50.0,2.149833,0.0178412,-0.0178412
55.0,50.0,60.0,2.403155,0.02032663,-0.02032663
70.0,60.0,80.0,2.759716,0.02218613,-0.02218613
95.0,80.0,110.0,3.27006,0.02638636,-0.02638636
135.0,110.0,160.0,3.977653,0.03627399,-0.03627399
185.0,160.0,210.0,4.752457,0.05414878,-0.05414878
355.0,210.0,500.0,5.602849,0.08644267,-0.08644267

