#: table_doi: 10.17182/hepdata.70547.v2/t50
#: name: Table 50
#: description: Towards <mean pT(charged)> vs charged multiplicity, Born leptons : Statistical and systematic errors are added in quadrature.

#: data_file: Table62.yaml
#: keyword reactions: P P --> CHARGED Z < E+ E- + MU+ MU- > X
#: keyword observables: PT
#: keyword phrases: Inclusive | Proton-Proton Scattering | Muon production | Electron production
#: - Born leptons,,,
#: - Toward region,,,
#: ABS(ETARAP(P=3)),,,< 2.5
#: PT(P=3) [GEV],,,> 0.5
N(P=3),N(P=3) LOW,N(P=3) HIGH,AVERAGE PT(P=3) [GEV],error +,error -
1.0,0.5,1.5,0.9210559,0.01435265,-0.01435265
2.0,1.5,2.5,0.9689363,0.01372278,-0.01372278
3.0,2.5,3.5,1.005025,0.0120718,-0.0120718
4.0,3.5,4.5,1.021921,0.009921332,-0.009921332
5.0,4.5,5.5,1.040489,0.008082273,-0.008082273
6.0,5.5,6.5,1.051632,0.006734863,-0.006734863
7.0,6.5,7.5,1.065222,0.00603808,-0.00603808
8.0,7.5,8.5,1.075994,0.006169431,-0.006169431
9.0,8.5,9.5,1.083957,0.007511912,-0.007511912
10.0,9.5,10.5,1.091577,0.009271835,-0.009271835
11.5,10.5,12.5,1.103667,0.01048007,-0.01048007
13.75,12.5,15.0,1.124363,0.01152491,-0.01152491
17.5,15.0,20.0,1.151039,0.01279577,-0.01279577
25.0,20.0,30.0,1.207444,0.01429278,-0.01429278
40.0,30.0,50.0,1.3321,0.01745745,-0.01745745

