#: table_doi: 10.17182/hepdata.70547.v2/t52
#: name: Table 52
#: description: Away <mean pT(charged)> vs charged multiplicity, Born leptons : Statistical and systematic errors are added in quadrature.

#: data_file: Table64.yaml
#: keyword reactions: P P --> CHARGED Z < E+ E- + MU+ MU- > X
#: keyword observables: PT
#: keyword phrases: Inclusive | Proton-Proton Scattering | Muon production | Electron production
#: - Away region,,,
#: - Born leptons,,,
#: ABS(ETARAP(P=3)),,,< 2.5
#: PT(P=3) [GEV],,,> 0.5
N(P=3),N(P=3) LOW,N(P=3) HIGH,AVERAGE PT(P=3) [GEV],error +,error -
1.0,0.5,1.5,0.9998232,0.007949737,-0.007949737
2.0,1.5,2.5,1.079293,0.007644697,-0.007644697
3.0,2.5,3.5,1.154563,0.006898517,-0.006898517
4.0,3.5,4.5,1.205549,0.006623199,-0.006623199
5.0,4.5,5.5,1.259192,0.006719281,-0.006719281
6.0,5.5,6.5,1.296141,0.006875839,-0.006875839
7.0,6.5,7.5,1.330169,0.007543913,-0.007543913
8.0,7.5,8.5,1.355383,0.007968071,-0.007968071
9.0,8.5,9.5,1.389982,0.00831717,-0.00831717
10.0,9.5,10.5,1.415991,0.008288277,-0.008288277
11.5,10.5,12.5,1.445277,0.007862024,-0.007862024
13.75,12.5,15.0,1.482571,0.008221226,-0.008221226
17.5,15.0,20.0,1.53873,0.008459711,-0.008459711
25.0,20.0,30.0,1.631944,0.00895772,-0.00895772
40.0,30.0,50.0,1.823358,0.01043169,-0.01043169

