#: table_doi: 10.17182/hepdata.70547.v2/t54
#: name: Table 54
#: description: Trans.min. scalar pT sum distribution, Z-boson pT = 5 - 10 GeV, Born leptons : Statistical and systematic errors are added in quadrature.

#: data_file: Table66.yaml
#: keyword reactions: P P --> CHARGED Z < E+ E- + MU+ MU- > X
#: keyword observables: D3N/DETARAP/DPHI/DPT
#: keyword phrases: Inclusive | Proton-Proton Scattering | Muon production | Electron production
#: - Born leptons,,,
#: - Trans-min region,,,
#: ABS(ETARAP(P=3)),,,< 2.5
#: PT(P=3) [GEV],,,> 0.5
#: PT(P=4) [GeV],,,5.0-10.0
SUM(PT(P=3))/DELTA(ETARAP)/DELTA(DELTA(PHI)) [GEV],SUM(PT(P=3))/DELTA(ETARAP)/DELTA(DELTA(PHI)) [GEV] LOW,SUM(PT(P=3))/DELTA(ETARAP)/DELTA(DELTA(PHI)) [GEV] HIGH,1/N(EVT)*D(N(EVT))/D(SUM(PT(P=3))/DELTA(ETARAP)/DELTA(DELTA(PHI))) [GEV**-1],error +,error -
0.10025,0.0955,0.105,2.646399,0.03578847,-0.03578847
0.11075,0.105,0.1165,2.198273,0.03211977,-0.03211977
0.12225,0.1165,0.128,1.738308,0.02944027,-0.02944027
0.13369999999999999,0.128,0.1394,1.408712,0.03387573,-0.03387573
0.1461,0.1394,0.1528,1.149052,0.02675876,-0.02675876
0.16044999999999998,0.1528,0.1681,0.9578826,0.02178546,-0.02178546
0.17765,0.1681,0.1872,0.7324048,0.01935127,-0.01935127
0.19675,0.1872,0.2063,0.7141329,0.01760315,-0.01760315
0.21775,0.2063,0.2292,0.9703181,0.01312206,-0.01312206
0.24064999999999998,0.2292,0.2521,1.006796,0.01267426,-0.01267426
0.26165,0.2521,0.2712,0.9814427,0.01368067,-0.01368067
0.28359999999999996,0.2712,0.296,0.8871567,0.01143253,-0.01143253
0.31035,0.296,0.3247,0.802883,0.01338646,-0.01338646
0.3438,0.3247,0.3629,0.8060938,0.009876719,-0.009876719
0.382,0.3629,0.4011,0.7694058,0.009911268,-0.009911268
0.4202,0.4011,0.4393,0.7387915,0.008462625,-0.008462625
0.45840000000000003,0.4393,0.4775,0.7103198,0.008964051,-0.008964051
0.50615,0.4775,0.5348,0.6804229,0.006984668,-0.006984668
0.56345,0.5348,0.5921,0.6176348,0.00691228,-0.00691228
0.6207499999999999,0.5921,0.6494,0.5783404,0.006786146,-0.006786146
0.6779999999999999,0.6494,0.7066,0.5222352,0.006596956,-0.006596956
0.7448,0.7066,0.783,0.4736587,0.006180623,-0.006180623
0.8212,0.783,0.8594,0.4244697,0.006090095,-0.006090095
0.8976,0.8594,0.9358,0.3719,0.005827401,-0.005827401
0.9931,0.9358,1.0504,0.3224609,0.005485672,-0.005485672
1.0934,1.0504,1.1364,0.2675279,0.005079531,-0.005079531
1.1937,1.1364,1.251,0.2390078,0.004300714,-0.004300714
1.31305,1.251,1.3751,0.1910325,0.003915371,-0.003915371
1.4419499999999998,1.3751,1.5088,0.153436,0.003359974,-0.003359974
1.5852,1.5088,1.6616,0.1237232,0.003005805,-0.003005805
1.74755,1.6616,1.8335,0.09319881,0.002564731,-0.002564731
1.9242,1.8335,2.0149,0.06688486,0.002133218,-0.002133218
2.11515,2.0149,2.2154,0.04632076,0.001804213,-0.001804213
2.33,2.2154,2.4446,0.03187646,0.00152918,-0.00152918
2.564,2.4446,2.6834,0.02152926,0.001238841,-0.001238841
2.81705,2.6834,2.9507,0.01297326,0.00101153,-0.00101153
3.09875,2.9507,3.2468,0.007678244,0.0007749905,-0.0007749905
3.4091,3.2468,3.5714,0.004421667,0.0005803485,-0.0005803485
3.7481,3.5714,3.9248,0.002280101,0.0004203732,-0.0004203732
4.12055,3.9248,4.3163,0.000974592,0.0002633969,-0.0002633969

