#: table_doi: 10.17182/hepdata.70547.v2/t64
#: name: Table 64
#: description: Trans.max. scalar pT sum distribution, Z-boson pT = 20 - 50 GeV, Born leptons : Statistical and systematic errors are added in quadrature.

#: data_file: Table76.yaml
#: keyword reactions: P P --> CHARGED Z < E+ E- + MU+ MU- > X
#: keyword observables: D3N/DETARAP/DPHI/DPT
#: keyword phrases: Inclusive | Proton-Proton Scattering | Muon production | Electron production
#: - Born leptons,,,
#: - Trans-max region,,,
#: ABS(ETARAP(P=3)),,,< 2.5
#: PT(P=3) [GEV],,,> 0.5
#: PT(P=4) [GeV],,,20.0-50.0
SUM(PT(P=3))/DELTA(ETARAP)/DELTA(DELTA(PHI)) [GEV],SUM(PT(P=3))/DELTA(ETARAP)/DELTA(DELTA(PHI)) [GEV] LOW,SUM(PT(P=3))/DELTA(ETARAP)/DELTA(DELTA(PHI)) [GEV] HIGH,1/N(EVT)*D(N(EVT))/D(SUM(PT(P=3))/DELTA(ETARAP)/DELTA(DELTA(PHI))) [GEV**-1],error +,error -
0.10025,0.0955,0.105,0.5487782,0.02088687,-0.02088687
0.11075,0.105,0.1165,0.5352842,0.02002003,-0.02002003
0.12225,0.1165,0.128,0.4711507,0.0186721,-0.0186721
0.13369999999999999,0.128,0.1394,0.4325259,0.02338515,-0.02338515
0.1461,0.1394,0.1528,0.4074465,0.01791812,-0.01791812
0.16044999999999998,0.1528,0.1681,0.3487815,0.01496287,-0.01496287
0.17765,0.1681,0.1872,0.2657916,0.01241662,-0.01241662
0.19675,0.1872,0.2063,0.2841577,0.0117374,-0.0117374
0.21775,0.2063,0.2292,0.3598947,0.01109719,-0.01109719
0.24064999999999998,0.2292,0.2521,0.3905391,0.01044883,-0.01044883
0.26165,0.2521,0.2712,0.4166871,0.01057584,-0.01057584
0.28359999999999996,0.2712,0.296,0.4165041,0.01019838,-0.01019838
0.31035,0.296,0.3247,0.3990911,0.0102114,-0.0102114
0.3438,0.3247,0.3629,0.4218122,0.009222468,-0.009222468
0.382,0.3629,0.4011,0.4307043,0.009206902,-0.009206902
0.4202,0.4011,0.4393,0.4497647,0.009100397,-0.009100397
0.45840000000000003,0.4393,0.4775,0.4613855,0.008986567,-0.008986567
0.50615,0.4775,0.5348,0.4499109,0.008144913,-0.008144913
0.56345,0.5348,0.5921,0.4688159,0.008168396,-0.008168396
0.6207499999999999,0.5921,0.6494,0.4723242,0.007766788,-0.007766788
0.6779999999999999,0.6494,0.7066,0.4696476,0.007262746,-0.007262746
0.7448,0.7066,0.783,0.4649482,0.006142618,-0.006142618
0.8212,0.783,0.8594,0.458649,0.005442907,-0.005442907
0.8976,0.8594,0.9358,0.4443689,0.005153472,-0.005153472
0.9931,0.9358,1.0504,0.4301451,0.004437321,-0.004437321
1.0934,1.0504,1.1364,0.4068065,0.004289019,-0.004289019
1.1937,1.1364,1.251,0.3923316,0.003943169,-0.003943169
1.31305,1.251,1.3751,0.3666932,0.00397078,-0.00397078
1.4419499999999998,1.3751,1.5088,0.3336848,0.003958376,-0.003958376
1.5852,1.5088,1.6616,0.3000518,0.003832969,-0.003832969
1.74755,1.6616,1.8335,0.2647662,0.003578917,-0.003578917
1.9242,1.8335,2.0149,0.2328093,0.003321477,-0.003321477
2.11515,2.0149,2.2154,0.1967051,0.00295422,-0.00295422
2.33,2.2154,2.4446,0.1621489,0.002674287,-0.002674287
2.564,2.4446,2.6834,0.1320978,0.002284798,-0.002284798
2.81705,2.6834,2.9507,0.1056102,0.001939138,-0.001939138
3.09875,2.9507,3.2468,0.08255508,0.00164663,-0.00164663
3.4091,3.2468,3.5714,0.06274785,0.001399545,-0.001399545
3.7481,3.5714,3.9248,0.04806526,0.001127254,-0.001127254
4.12055,3.9248,4.3163,0.03569656,0.0009471232,-0.0009471232
4.5359,4.3163,4.7555,0.02494426,0.0007860932,-0.0007860932
4.994249999999999,4.7555,5.233,0.01720602,0.0006447313,-0.0006447313
5.49085,5.233,5.7487,0.01198202,0.000531869,-0.000531869
6.03515,5.7487,6.3216,0.008705768,0.0004164859,-0.0004164859
6.641500000000001,6.3216,6.9614,0.006206241,0.0003046802,-0.0003046802
7.309950000000001,6.9614,7.6585,0.004523949,0.0002397839,-0.0002397839
8.0405,7.6585,8.4225,0.002902889,0.0001962722,-0.0001962722
8.842649999999999,8.4225,9.2628,0.002092673,0.0001546292,-0.0001546292
9.725950000000001,9.2628,10.1891,0.001524308,0.0001171055,-0.0001171055
10.7,10.1891,11.2109,0.001157102,8.800192e-05,-8.800192e-05
11.7695,11.2109,12.3281,0.0007756514,7.698635e-05,-7.698635e-05
12.94405,12.3281,13.56,0.0004821819,6.083034e-05,-6.083034e-05

