#: table_doi: 10.17182/hepdata.70547.v2/t67
#: name: Table 67
#: description: Towards scalar pT sum density vs Z-boson pT, Dressed leptons : Statistical and systematic errors are added in quadrature.

#: data_file: Table79.yaml
#: keyword reactions: P P --> CHARGED Z < E+ E- + MU+ MU- > X
#: keyword observables: D2PT/DETARAP/DPHI
#: keyword phrases: Inclusive | Proton-Proton Scattering | Muon production | Electron production
#: - Dressed leptons,,,
#: - Toward region,,,
#: ABS(ETARAP(P=3)),,,< 2.5
#: PT(P=3) [GEV],,,> 0.5
PT(P=4) [GEV],PT(P=4) [GEV] LOW,PT(P=4) [GEV] HIGH,AVERAGE(SUM(PT(P=3))/DELTA(ETARAP)/DELTA(DELTA(PHI))) [GEV],error +,error -
2.5,0.0,5.0,0.7354379,0.01249626,-0.01249626
7.5,5.0,10.0,0.7886474,0.01298573,-0.01298573
12.5,10.0,15.0,0.8305105,0.01357859,-0.01357859
17.5,15.0,20.0,0.8893547,0.01506386,-0.01506386
22.5,20.0,25.0,0.9172754,0.0162956,-0.0162956
27.5,25.0,30.0,0.9593883,0.01620633,-0.01620633
32.5,30.0,35.0,0.9913756,0.01586441,-0.01586441
37.5,35.0,40.0,1.031554,0.01732034,-0.01732034
45.0,40.0,50.0,1.076872,0.0184797,-0.0184797
55.0,50.0,60.0,1.107249,0.0203365,-0.0203365
70.0,60.0,80.0,1.169236,0.0207968,-0.0207968
95.0,80.0,110.0,1.260055,0.02351113,-0.02351113
135.0,110.0,160.0,1.459991,0.02983591,-0.02983591
185.0,160.0,210.0,1.481317,0.05079537,-0.05079537
355.0,210.0,500.0,1.69424,0.07952552,-0.07952552

