#: table_doi: 10.17182/hepdata.70547.v2/t68
#: name: Table 68
#: description: Transverse scalar pT sum density vs Z-boson pT, Dressed leptons : Statistical and systematic errors are added in quadrature.

#: data_file: Table80.yaml
#: keyword reactions: P P --> CHARGED Z < E+ E- + MU+ MU- > X
#: keyword observables: D2PT/DETARAP/DPHI
#: keyword phrases: Inclusive | Proton-Proton Scattering | Muon production | Electron production
#: - Dressed leptons,,,
#: - Transverse region,,,
#: ABS(ETARAP(P=3)),,,< 2.5
#: PT(P=3) [GEV],,,> 0.5
PT(P=4) [GEV],PT(P=4) [GEV] LOW,PT(P=4) [GEV] HIGH,AVERAGE(SUM(PT(P=3))/DELTA(ETARAP)/DELTA(DELTA(PHI))) [GEV],error +,error -
2.5,0.0,5.0,0.7677171,0.01306416,-0.01306416
7.5,5.0,10.0,0.8581258,0.01425523,-0.01425523
12.5,10.0,15.0,0.9395897,0.01499358,-0.01499358
17.5,15.0,20.0,1.013314,0.01640864,-0.01640864
22.5,20.0,25.0,1.095271,0.0166211,-0.0166211
27.5,25.0,30.0,1.131518,0.01733259,-0.01733259
32.5,30.0,35.0,1.219127,0.01889415,-0.01889415
37.5,35.0,40.0,1.256308,0.02089494,-0.02089494
45.0,40.0,50.0,1.347843,0.02183795,-0.02183795
55.0,50.0,60.0,1.41984,0.02219718,-0.02219718
70.0,60.0,80.0,1.528,0.02243659,-0.02243659
95.0,80.0,110.0,1.695922,0.02736809,-0.02736809
135.0,110.0,160.0,1.914406,0.03560644,-0.03560644
185.0,160.0,210.0,2.212292,0.06252834,-0.06252834
355.0,210.0,500.0,2.562788,0.09114592,-0.09114592

