#: table_doi: 10.17182/hepdata.70547.v2/t72
#: name: Table 72
#: description: Towards charged multiplicity density vs Z-boson pT, Dressed leptons : Statistical and systematic errors are added in quadrature.

#: data_file: Table84.yaml
#: keyword reactions: P P --> CHARGED Z < E+ E- + MU+ MU- > X
#: keyword observables: D2N/DETARAP/DPHI
#: keyword phrases: Inclusive | Proton-Proton Scattering | Muon production | Electron production
#: - Dressed leptons,,,
#: - Toward region,,,
#: ABS(ETARAP(P=3)),,,< 2.5
#: PT(P=3) [GEV],,,> 0.5
PT(P=4) [GEV],PT(P=4) [GEV] LOW,PT(P=4) [GEV] HIGH,AVERAGE(N(P=3)/DELTA(ETARAP)/DELTA(DELTA(PHI))),error +,error -
2.5,0.0,5.0,0.7015057,0.01433818,-0.01433818
7.5,5.0,10.0,0.7341612,0.01477773,-0.01477773
12.5,10.0,15.0,0.7558909,0.01479258,-0.01479258
17.5,15.0,20.0,0.7831363,0.01531237,-0.01531237
22.5,20.0,25.0,0.8005307,0.01570625,-0.01570625
27.5,25.0,30.0,0.8137627,0.01631582,-0.01631582
32.5,30.0,35.0,0.8297517,0.01688242,-0.01688242
37.5,35.0,40.0,0.8363314,0.01759358,-0.01759358
45.0,40.0,50.0,0.8513423,0.0179372,-0.0179372
55.0,50.0,60.0,0.8619983,0.01860578,-0.01860578
70.0,60.0,80.0,0.8736787,0.01828704,-0.01828704
95.0,80.0,110.0,0.8980552,0.01898684,-0.01898684
135.0,110.0,160.0,0.9415047,0.02031452,-0.02031452
185.0,160.0,210.0,0.9300233,0.02550891,-0.02550891
355.0,210.0,500.0,0.9701716,0.03191289,-0.03191289

