#: table_doi: 10.17182/hepdata.70547.v2/t74
#: name: Table 74
#: description: Away charged multiplicity density vs Z-boson pT, Dressed leptons : Statistical and systematic errors are added in quadrature.

#: data_file: Table86.yaml
#: keyword reactions: P P --> CHARGED Z < E+ E- + MU+ MU- > X
#: keyword observables: D2N/DETARAP/DPHI
#: keyword phrases: Inclusive | Proton-Proton Scattering | Muon production | Electron production
#: - Away region,,,
#: - Dressed leptons,,,
#: ABS(ETARAP(P=3)),,,< 2.5
#: PT(P=3) [GEV],,,> 0.5
PT(P=4) [GEV],PT(P=4) [GEV] LOW,PT(P=4) [GEV] HIGH,AVERAGE(N(P=3)/DELTA(ETARAP)/DELTA(DELTA(PHI))),error +,error -
2.5,0.0,5.0,0.7815383,0.0159018,-0.0159018
7.5,5.0,10.0,0.9226925,0.01737244,-0.01737244
12.5,10.0,15.0,1.066189,0.01758738,-0.01758738
17.5,15.0,20.0,1.184972,0.01844129,-0.01844129
22.5,20.0,25.0,1.283443,0.02022811,-0.02022811
27.5,25.0,30.0,1.365283,0.02204881,-0.02204881
32.5,30.0,35.0,1.441985,0.02267939,-0.02267939
37.5,35.0,40.0,1.510866,0.02278424,-0.02278424
45.0,40.0,50.0,1.590144,0.022776,-0.022776
55.0,50.0,60.0,1.692759,0.02355616,-0.02355616
70.0,60.0,80.0,1.810757,0.02373685,-0.02373685
95.0,80.0,110.0,1.978239,0.0253498,-0.0253498
135.0,110.0,160.0,2.200195,0.0282711,-0.0282711
185.0,160.0,210.0,2.383127,0.03532374,-0.03532374
355.0,210.0,500.0,2.606972,0.04367032,-0.04367032

