#: table_doi: 10.17182/hepdata.70547.v2/t80
#: name: Table 80
#: description: Towards scalar pT sum distribution, Z-boson pT = 50 - 110 GeV, Dressed leptons : Statistical and systematic errors are added in quadrature.

#: data_file: Table92.yaml
#: keyword reactions: P P --> CHARGED Z < E+ E- + MU+ MU- > X
#: keyword observables: D3N/DETARAP/DPHI/DPT
#: keyword phrases: Inclusive | Proton-Proton Scattering | Muon production | Electron production
#: - Dressed leptons,,,
#: - Toward region,,,
#: ABS(ETARAP(P=3)),,,< 2.5
#: PT(P=3) [GEV],,,> 0.5
#: PT(P=4) [GeV],,,50.0-110.0
SUM(PT(P=3))/DELTA(ETARAP)/DELTA(DELTA(PHI)) [GEV],SUM(PT(P=3))/DELTA(ETARAP)/DELTA(DELTA(PHI)) [GEV] LOW,SUM(PT(P=3))/DELTA(ETARAP)/DELTA(DELTA(PHI)) [GEV] HIGH,1/N(EVT)*D(N(EVT))/D(SUM(PT(P=3))/DELTA(ETARAP)/DELTA(DELTA(PHI))) [GEV**-1],error +,error -
0.0501,0.0477,0.0525,1.345387,0.06682554,-0.06682554
0.0554,0.0525,0.0583,0.9995376,0.05672108,-0.05672108
0.061149999999999996,0.0583,0.064,0.8394911,0.05763654,-0.05763654
0.06684999999999999,0.064,0.0697,0.6723642,0.06157157,-0.06157157
0.07305,0.0697,0.0764,0.5944269,0.04602243,-0.04602243
0.0802,0.0764,0.084,0.4378925,0.04029686,-0.04029686
0.0888,0.084,0.0936,0.3645653,0.03562993,-0.03562993
0.09834999999999999,0.0936,0.1031,0.4252239,0.03069527,-0.03069527
0.10885,0.1031,0.1146,0.5818602,0.0280623,-0.0280623
0.12034999999999998,0.1146,0.1261,0.6740987,0.02907885,-0.02907885
0.13085,0.1261,0.1356,0.5839491,0.02922099,-0.02922099
0.14179999999999998,0.1356,0.148,0.6059534,0.02847944,-0.02847944
0.15515,0.148,0.1623,0.5711801,0.02758785,-0.02758785
0.17185,0.1623,0.1814,0.562062,0.02381623,-0.02381623
0.19095,0.1814,0.2005,0.623685,0.02320094,-0.02320094
0.21005000000000001,0.2005,0.2196,0.5930774,0.02222523,-0.02222523
0.22915,0.2196,0.2387,0.6014645,0.02107464,-0.02107464
0.25305,0.2387,0.2674,0.6139567,0.02005803,-0.02005803
0.2817,0.2674,0.296,0.6282161,0.01944067,-0.01944067
0.31035,0.296,0.3247,0.6163907,0.0195278,-0.0195278
0.33899999999999997,0.3247,0.3533,0.6222674,0.0173052,-0.0173052
0.3724,0.3533,0.3915,0.6043521,0.01724964,-0.01724964
0.4106,0.3915,0.4297,0.6029616,0.02063792,-0.02063792
0.4488,0.4297,0.4679,0.6028583,0.01642197,-0.01642197
0.49655,0.4679,0.5252,0.5835056,0.01494277,-0.01494277
0.5467,0.5252,0.5682,0.5792636,0.01398268,-0.01398268
0.59685,0.5682,0.6255,0.5820522,0.01295525,-0.01295525
0.6565,0.6255,0.6875,0.5593708,0.01152897,-0.01152897
0.72095,0.6875,0.7544,0.551735,0.01041429,-0.01041429
0.7926,0.7544,0.8308,0.5203218,0.009484318,-0.009484318
0.87375,0.8308,0.9167,0.4914962,0.008438871,-0.008438871
0.9621,0.9167,1.0075,0.4542978,0.008041918,-0.008041918
1.0575999999999999,1.0075,1.1077,0.4190363,0.007128915,-0.007128915
1.165,1.1077,1.2223,0.3840396,0.006595542,-0.006595542
1.282,1.2223,1.3417,0.3340925,0.006016575,-0.006016575
1.40855,1.3417,1.4754,0.2934053,0.005708484,-0.005708484
1.5493999999999999,1.4754,1.6234,0.2492658,0.005170046,-0.005170046
1.70455,1.6234,1.7857,0.2064056,0.005136807,-0.005136807
1.87405,1.7857,1.9624,0.1712306,0.004395349,-0.004395349
2.06025,1.9624,2.1581,0.1394625,0.004097564,-0.004097564
2.26795,2.1581,2.3778,0.1130447,0.003497575,-0.003497575
2.49715,2.3778,2.6165,0.09326483,0.00297982,-0.00297982
2.7454,2.6165,2.8743,0.06813401,0.002561842,-0.002561842
3.01755,2.8743,3.1608,0.05020741,0.001984762,-0.001984762
3.3207500000000003,3.1608,3.4807,0.03609188,0.001708554,-0.001708554
3.6550000000000002,3.4807,3.8293,0.0249544,0.001393059,-0.001393059
4.02025,3.8293,4.2112,0.01666981,0.001066825,-0.001066825
4.4213000000000005,4.2112,4.6314,0.01258728,0.0009233009,-0.0009233009
4.86295,4.6314,5.0945,0.008764693,0.0007290472,-0.0007290472
5.34995,5.0945,5.6054,0.007574361,0.0005986786,-0.0005986786
5.88475,5.6054,6.1641,0.005239739,0.0005175608,-0.0005175608
6.47205,6.1641,6.78,0.003450831,0.0004229177,-0.0004229177
7.119,6.78,7.458,0.002335024,0.000325274,-0.000325274
7.8304,7.458,8.2028,0.00182999,0.0002282008,-0.0002282008
8.61345,8.2028,9.0241,0.001210769,0.0002004544,-0.0002004544
9.4777,9.0241,9.9313,0.0009815014,0.0001541665,-0.0001541665

