#: table_doi: 10.17182/hepdata.70547.v2/t82
#: name: Table 82
#: description: Trans.max. charged multiplicity density vs Z-boson pT, Dressed leptons : Statistical and systematic errors are added in quadrature.

#: data_file: Table94.yaml
#: keyword reactions: P P --> CHARGED Z < E+ E- + MU+ MU- > X
#: keyword observables: D2N/DETARAP/DPHI
#: keyword phrases: Inclusive | Proton-Proton Scattering | Muon production | Electron production
#: - Dressed leptons,,,
#: - Trans-max region,,,
#: ABS(ETARAP(P=3)),,,< 2.5
#: PT(P=3) [GEV],,,> 0.5
PT(P=4) [GEV],PT(P=4) [GEV] LOW,PT(P=4) [GEV] HIGH,AVERAGE(N(P=3)/DELTA(ETARAP)/DELTA(DELTA(PHI))),error +,error -
2.5,0.0,5.0,0.9165093,0.01354623,-0.01354623
7.5,5.0,10.0,0.985994,0.01420661,-0.01420661
12.5,10.0,15.0,1.038412,0.01428878,-0.01428878
17.5,15.0,20.0,1.081252,0.01452345,-0.01452345
22.5,20.0,25.0,1.122078,0.0150398,-0.0150398
27.5,25.0,30.0,1.141651,0.01532279,-0.01532279
32.5,30.0,35.0,1.178433,0.01600632,-0.01600632
37.5,35.0,40.0,1.190232,0.01654405,-0.01654405
45.0,40.0,50.0,1.228448,0.01661106,-0.01661106
55.0,50.0,60.0,1.260993,0.01689889,-0.01689889
70.0,60.0,80.0,1.305986,0.01676099,-0.01676099
95.0,80.0,110.0,1.350954,0.01763192,-0.01763192
135.0,110.0,160.0,1.432153,0.01992886,-0.01992886
185.0,160.0,210.0,1.502481,0.03202137,-0.03202137
355.0,210.0,500.0,1.579451,0.03921446,-0.03921446

