#: table_doi: 10.17182/hepdata.70547.v2/t84
#: name: Table 84
#: description: Towards charged multiplicity distribution, Z-boson pT = 5 - 10 GeV, Dressed leptons : Statistical and systematic errors are added in quadrature.

#: data_file: Table96.yaml
#: keyword reactions: P P --> CHARGED Z < E+ E- + MU+ MU- > X
#: keyword observables: D2N/DETARAP/DPHI
#: keyword phrases: Inclusive | Proton-Proton Scattering | Muon production | Electron production
#: - Dressed leptons,,,
#: - Toward region,,,
#: ABS(ETARAP(P=3)),,,< 2.5
#: PT(P=3) [GEV],,,> 0.5
#: PT(P=4) [GeV],,,5.0-10.0
N(P=3)/DELTA(ETARAP)/DELTA(DELTA(PHI)),N(P=3)/DELTA(ETARAP)/DELTA(DELTA(PHI)) LOW,N(P=3)/DELTA(ETARAP)/DELTA(DELTA(PHI)) HIGH,1/N(EVT)*D(N(EVT))/D(N(P=3)/DELTA(ETARAP)/DELTA(DELTA(PHI))),error +,error -
0.09545,0.0477,0.1432,0.7114132,0.01161067,-0.01161067
0.19095,0.1432,0.2387,0.7627604,0.01119818,-0.01119818
0.28645,0.2387,0.3342,0.8222307,0.01092049,-0.01092049
0.38195,0.3342,0.4297,0.8286027,0.01080179,-0.01080179
0.47745000000000004,0.4297,0.5252,0.7994403,0.01058371,-0.01058371
0.5729500000000001,0.5252,0.6207,0.7440447,0.01027989,-0.01027989
0.66845,0.6207,0.7162,0.6974067,0.00889429,-0.00889429
0.7639499999999999,0.7162,0.8117,0.652444,0.007536315,-0.007536315
0.85945,0.8117,0.9072,0.5761005,0.006405507,-0.006405507
0.95495,0.9072,1.0027,0.513575,0.005330843,-0.005330843
1.05045,1.0027,1.0982,0.4518251,0.004882341,-0.004882341
1.14595,1.0982,1.1937,0.39511,0.004691141,-0.004691141
1.24145,1.1937,1.2892,0.3445431,0.00537968,-0.00537968
1.3369,1.2892,1.3846,0.2910175,0.005959019,-0.005959019
1.43235,1.3846,1.4801,0.2451305,0.006329356,-0.006329356
1.52785,1.4801,1.5756,0.2036305,0.006604876,-0.006604876
1.6233499999999998,1.5756,1.6711,0.1647611,0.006460928,-0.006460928
1.71885,1.6711,1.7666,0.133893,0.006296182,-0.006296182
1.8143500000000001,1.7666,1.8621,0.1091661,0.006211462,-0.006211462
1.90985,1.8621,1.9576,0.0876994,0.005769723,-0.005769723
2.00535,1.9576,2.0531,0.07053397,0.005216025,-0.005216025
2.1008500000000003,2.0531,2.1486,0.05666512,0.004860027,-0.004860027
2.19635,2.1486,2.2441,0.04552951,0.004294129,-0.004294129
2.29185,2.2441,2.3396,0.03779879,0.003844437,-0.003844437
2.3873499999999996,2.3396,2.4351,0.03015591,0.003134917,-0.003134917
2.48285,2.4351,2.5306,0.02390686,0.002420552,-0.002420552
2.5783500000000004,2.5306,2.6261,0.01784541,0.00187456,-0.00187456
2.72155,2.6261,2.817,0.01290191,0.001530691,-0.001530691
2.9125,2.817,3.008,0.008228845,0.001161756,-0.001161756
3.1035,3.008,3.199,0.005165139,0.0007299334,-0.0007299334
3.2945,3.199,3.39,0.003190608,0.0005112055,-0.0005112055
3.4855,3.39,3.581,0.001756999,0.0003372964,-0.0003372964

