#: table_doi: 10.17182/hepdata.70547.v2/t9
#: name: Table 9
#: description: Trans.min. charged multiplicity density vs Z-boson pT, Born leptons : Statistical and systematic errors are added in quadrature.

#: data_file: Table9.yaml
#: keyword reactions: P P --> CHARGED Z < E+ E- + MU+ MU- > X
#: keyword observables: D2N/DETARAP/DPHI
#: keyword phrases: Inclusive | Proton-Proton Scattering | Muon production | Electron production
#: - Born leptons,,,
#: - Trans-min region,,,
#: ABS(ETARAP(P=3)),,,< 2.5
#: PT(P=3) [GEV],,,> 0.5
PT(P=4) [GEV],PT(P=4) [GEV] LOW,PT(P=4) [GEV] HIGH,AVERAGE(N(P=3)/DELTA(ETARAP)/DELTA(DELTA(PHI))),error +,error -
2.5,0.0,5.0,0.5337577,0.01212704,-0.01212704
7.5,5.0,10.0,0.5808192,0.01273444,-0.01273444
12.5,10.0,15.0,0.619138,0.01273261,-0.01273261
17.5,15.0,20.0,0.6440891,0.01253038,-0.01253038
22.5,20.0,25.0,0.6699786,0.01246071,-0.01246071
27.5,25.0,30.0,0.6785549,0.01223602,-0.01223602
32.5,30.0,35.0,0.6965456,0.01262346,-0.01262346
37.5,35.0,40.0,0.7015265,0.01288656,-0.01288656
45.0,40.0,50.0,0.7126156,0.01306477,-0.01306477
55.0,50.0,60.0,0.727237,0.01318697,-0.01318697
70.0,60.0,80.0,0.734393,0.01268963,-0.01268963
95.0,80.0,110.0,0.7582005,0.01343987,-0.01343987
135.0,110.0,160.0,0.7825534,0.01484474,-0.01484474
185.0,160.0,210.0,0.7736643,0.02130321,-0.02130321
355.0,210.0,500.0,0.7782437,0.03068039,-0.03068039

