#: table_doi: 10.17182/hepdata.70547.v2/t94
#: name: Table 94
#: description: Transverse charged multiplicity distribution, Z-boson pT = 110 - 500 GeV, Dressed leptons : Statistical and systematic errors are added in quadrature.

#: data_file: Table106.yaml
#: keyword reactions: P P --> CHARGED Z < E+ E- + MU+ MU- > X
#: keyword observables: D2N/DETARAP/DPHI
#: keyword phrases: Inclusive | Proton-Proton Scattering | Muon production | Electron production
#: - Dressed leptons,,,
#: - Transverse region,,,
#: ABS(ETARAP(P=3)),,,< 2.5
#: PT(P=3) [GEV],,,> 0.5
#: PT(P=4) [GeV],,,110.0-500.0
N(P=3)/DELTA(ETARAP)/DELTA(DELTA(PHI)),N(P=3)/DELTA(ETARAP)/DELTA(DELTA(PHI)) LOW,N(P=3)/DELTA(ETARAP)/DELTA(DELTA(PHI)) HIGH,1/N(EVT)*D(N(EVT))/D(N(P=3)/DELTA(ETARAP)/DELTA(DELTA(PHI))),error +,error -
0.09545,0.0477,0.1432,0.2709328,0.01702912,-0.01702912
0.19095,0.1432,0.2387,0.3752063,0.01938214,-0.01938214
0.28645,0.2387,0.3342,0.4549293,0.02006594,-0.02006594
0.38195,0.3342,0.4297,0.5382911,0.02227317,-0.02227317
0.47745000000000004,0.4297,0.5252,0.6062047,0.02502091,-0.02502091
0.5729500000000001,0.5252,0.6207,0.6358815,0.02606763,-0.02606763
0.66845,0.6207,0.7162,0.6290541,0.02595345,-0.02595345
0.7639499999999999,0.7162,0.8117,0.6357252,0.02125453,-0.02125453
0.85945,0.8117,0.9072,0.6266543,0.02146582,-0.02146582
0.95495,0.9072,1.0027,0.6066722,0.02102234,-0.02102234
1.05045,1.0027,1.0982,0.5490231,0.01896417,-0.01896417
1.14595,1.0982,1.1937,0.517997,0.01862812,-0.01862812
1.24145,1.1937,1.2892,0.4714123,0.01645779,-0.01645779
1.3369,1.2892,1.3846,0.4230751,0.01579064,-0.01579064
1.43235,1.3846,1.4801,0.3806974,0.01576213,-0.01576213
1.52785,1.4801,1.5756,0.3372284,0.01489645,-0.01489645
1.6233499999999998,1.5756,1.6711,0.2783522,0.01438529,-0.01438529
1.71885,1.6711,1.7666,0.2533049,0.01315259,-0.01315259
1.8143500000000001,1.7666,1.8621,0.2257382,0.01382601,-0.01382601
1.90985,1.8621,1.9576,0.209636,0.01326159,-0.01326159
2.00535,1.9576,2.0531,0.190241,0.01320008,-0.01320008
2.1008500000000003,2.0531,2.1486,0.1587258,0.01134034,-0.01134034
2.19635,2.1486,2.2441,0.1361118,0.01110688,-0.01110688
2.29185,2.2441,2.3396,0.1267418,0.01099815,-0.01099815
2.3873499999999996,2.3396,2.4351,0.1026501,0.008936658,-0.008936658
2.48285,2.4351,2.5306,0.08093695,0.008106927,-0.008106927
2.5783500000000004,2.5306,2.6261,0.06963758,0.007545492,-0.007545492
2.72155,2.6261,2.817,0.05433773,0.006537816,-0.006537816
2.9125,2.817,3.008,0.04022818,0.005876471,-0.005876471
3.1035,3.008,3.199,0.03239576,0.004801974,-0.004801974
3.2945,3.199,3.39,0.02367767,0.003283576,-0.003283576
3.4855,3.39,3.581,0.01846169,0.002645376,-0.002645376
4.1778,3.581,4.7746,0.00745668,0.00148962,-0.00148962

