#: table_doi: 10.17182/hepdata.70547.v2/t98
#: name: Table 98
#: description: Trans.min. charged multiplicity distribution, Z-boson pT = 20 - 50 GeV, Dressed leptons : Statistical and systematic errors are added in quadrature.

#: data_file: Table116.yaml
#: keyword reactions: P P --> CHARGED Z < E+ E- + MU+ MU- > X
#: keyword observables: D2N/DETARAP/DPHI
#: keyword phrases: Inclusive | Proton-Proton Scattering | Muon production | Electron production
#: - Dressed leptons,,,
#: - Trans-min region,,,
#: ABS(ETARAP(P=3)),,,< 2.5
#: PT(P=3) [GEV],,,> 0.5
#: PT(P=4) [GeV],,,20.0-50.0
N(P=3)/DELTA(ETARAP)/DELTA(DELTA(PHI)),N(P=3)/DELTA(ETARAP)/DELTA(DELTA(PHI)) LOW,N(P=3)/DELTA(ETARAP)/DELTA(DELTA(PHI)) HIGH,1/N(EVT)*D(N(EVT))/D(N(P=3)/DELTA(ETARAP)/DELTA(DELTA(PHI))),error +,error -
0.191,0.0955,0.2865,0.8350164,0.01060749,-0.01060749
0.382,0.2865,0.4775,0.7882323,0.008382362,-0.008382362
0.573,0.4775,0.6685,0.6829614,0.006554776,-0.006554776
0.76395,0.6685,0.8594,0.5566554,0.003895551,-0.003895551
0.9549000000000001,0.8594,1.0504,0.4440208,0.002760879,-0.002760879
1.1459000000000001,1.0504,1.2414,0.3462838,0.004137914,-0.004137914
1.3369,1.2414,1.4324,0.2491678,0.005007419,-0.005007419
1.5278999999999998,1.4324,1.6234,0.1838922,0.005186623,-0.005186623
1.7189,1.6234,1.8144,0.1269594,0.00503062,-0.00503062
1.9099,1.8144,2.0054,0.08876821,0.004505885,-0.004505885
2.10085,2.0054,2.1963,0.06249105,0.004075239,-0.004075239
2.2918000000000003,2.1963,2.3873,0.04235776,0.003288667,-0.003288667
2.4828,2.3873,2.5783,0.02919817,0.002646944,-0.002646944
2.6738,2.5783,2.7693,0.01979098,0.002108922,-0.002108922
2.8648,2.7693,2.9603,0.01247659,0.00166807,-0.00166807
3.0558,2.9603,3.1513,0.008022881,0.001288813,-0.001288813
3.2468,3.1513,3.3423,0.005059031,0.0009860127,-0.0009860127
3.43775,3.3423,3.5332,0.003624733,0.0006953191,-0.0006953191
3.6287000000000003,3.5332,3.7242,0.002546439,0.000536705,-0.000536705
3.8197,3.7242,3.9152,0.001663404,0.0003847573,-0.0003847573
4.0107,3.9152,4.1062,0.00110011,0.0003214636,-0.0003214636
4.201700000000001,4.1062,4.2972,0.0007109671,0.0002158761,-0.0002158761
4.3927,4.2972,4.4882,0.0005451794,0.0001500228,-0.0001500228

