#: table_doi: 10.17182/hepdata.80167.v1/t1
#: name: Table 1
#: description: Unfolded distributions of particle density in Z events, as a function of $p_{T}^{\mu\mu}$ in the towards ($\Delta\phi< 60^{\circ}$) region. Error bars represent the statistical and systematic uncertainties added in quadrature.
#: data_file: systematics_nchg_ptmm_towards_CMS_13TeV.yaml
#: keyword reactions: $pp \rightarrow Z + X \rightarrow \mu^{+}\mu^{-} + X$
#: keyword observables: particle density
#: keyword cmenergies: 13000.0
#: $M_{\mu\mu} (GeV)$,,,81-101
#: charged particle $|\eta|$,,,< 2
#: charged particle $p_{T}$ (GeV},,,> 0.5
#: SQRT(S) [GeV],,,13000.0
dimuon pT (GeV),dimuon pT (GeV) LOW,dimuon pT (GeV) HIGH,$1/[\Delta\eta\Delta(\Delta\phi)] < N_{ch} > [rad^{-1}]$,error +,error -
2.5,0.0,5.0,0.902,0.049,-0.049
7.5,5.0,10.0,0.936,0.051,-0.051
12.5,10.0,15.0,0.973,0.054,-0.054
17.5,15.0,20.0,1,0.057,-0.057
22.5,20.0,25.0,1.02,0.059,-0.059
27.5,25.0,30.0,1.03,0.059,-0.059
32.5,30.0,35.0,1.05,0.062,-0.062
37.5,35.0,40.0,1.06,0.063,-0.063
42.5,40.0,45.0,1.07,0.06,-0.06
47.5,45.0,50.0,1.06,0.062,-0.062
52.5,50.0,55.0,1.1,0.06,-0.06
57.5,55.0,60.0,1.11,0.068,-0.068
62.5,60.0,65.0,1.1,0.066,-0.066
67.5,65.0,70.0,1.13,0.065,-0.065
75.0,70.0,80.0,1.11,0.064,-0.064
85.0,80.0,90.0,1.11,0.062,-0.062
95.0,90.0,100.0,1.13,0.064,-0.064

