#: table_doi: 10.17182/hepdata.80167.v1/t3
#: name: Table 3
#: description: Unfolded distributions of particle density in Z events, as a function of $p_{T}^{\mu\mu}$ in the away ($\Delta\phi> 120^{\circ}$) region. Error bars represent the statistical and systematic uncertainties added in quadrature.
#: data_file: systematics_nchg_ptmm_away_CMS_13TeV.yaml
#: keyword reactions: $pp \rightarrow Z + X \rightarrow \mu^{+}\mu^{-} + X$
#: keyword observables: particle density
#: keyword cmenergies: 13000.0
#: $M_{\mu\mu} (GeV)$,,,81-101
#: charged particle $|\eta|$,,,< 2
#: charged particle $p_{T}$ (GeV},,,> 0.5
#: SQRT(S) [GeV],,,13000.0
dimuon pT (GeV),dimuon pT (GeV) LOW,dimuon pT (GeV) HIGH,$1/[\Delta\eta\Delta(\Delta\phi)] < N_{ch} > [rad^{-1}]$,error +,error -
2.5,0.0,5.0,0.97,0.05,-0.05
7.5,5.0,10.0,1.1,0.057,-0.057
12.5,10.0,15.0,1.25,0.065,-0.065
17.5,15.0,20.0,1.37,0.072,-0.072
22.5,20.0,25.0,1.47,0.076,-0.076
27.5,25.0,30.0,1.54,0.078,-0.078
32.5,30.0,35.0,1.63,0.082,-0.082
37.5,35.0,40.0,1.7,0.087,-0.087
42.5,40.0,45.0,1.75,0.087,-0.087
47.5,45.0,50.0,1.81,0.092,-0.092
52.5,50.0,55.0,1.87,0.092,-0.092
57.5,55.0,60.0,1.89,0.094,-0.094
62.5,60.0,65.0,1.96,0.101,-0.101
67.5,65.0,70.0,2.01,0.099,-0.099
75.0,70.0,80.0,2.06,0.103,-0.103
85.0,80.0,90.0,2.16,0.105,-0.105
95.0,90.0,100.0,2.23,0.106,-0.106

