#: table_doi: 10.17182/hepdata.80167.v1/t4
#: name: Table 4
#: description: Unfolded distributions of $\Sigma p_{T}$ density in Z events, as a function of $p_{T}^{\mu\mu}$ in the towards ($\Delta\phi< 60^{\circ}$) region. Error bars represent the statistical and systematic uncertainties added in quadrature.
#: data_file: systematics_ptsum_ptmm_towards_CMS_13TeV.yaml
#: keyword reactions: $pp \rightarrow Z + X \rightarrow \mu^{+}\mu^{-} + X$
#: keyword observables: $\Sigma p_{T}$ density
#: keyword cmenergies: 13000.0
#: $M_{\mu\mu} (GeV)$,,,81-101
#: charged particle $|\eta|$,,,< 2
#: charged particle $p_{T}$ (GeV},,,> 0.5
#: SQRT(S) [GeV],,,13000.0
dimuon pT (GeV),dimuon pT (GeV) LOW,dimuon pT (GeV) HIGH,$1/[\Delta\eta\Delta(\Delta\phi)] < \Sigma p_T > [GeV/rad]$,error +,error -
2.5,0.0,5.0,0.989,0.057,-0.057
7.5,5.0,10.0,1.05,0.062,-0.062
12.5,10.0,15.0,1.11,0.067,-0.067
17.5,15.0,20.0,1.17,0.074,-0.074
22.5,20.0,25.0,1.21,0.082,-0.082
27.5,25.0,30.0,1.24,0.081,-0.081
32.5,30.0,35.0,1.3,0.09,-0.09
37.5,35.0,40.0,1.34,0.097,-0.097
42.5,40.0,45.0,1.37,0.096,-0.096
47.5,45.0,50.0,1.38,0.094,-0.094
52.5,50.0,55.0,1.43,0.096,-0.096
57.5,55.0,60.0,1.48,0.112,-0.112
62.5,60.0,65.0,1.49,0.111,-0.111
67.5,65.0,70.0,1.51,0.102,-0.102
75.0,70.0,80.0,1.52,0.105,-0.105
85.0,80.0,90.0,1.56,0.108,-0.108
95.0,90.0,100.0,1.59,0.111,-0.111

