#: table_doi: 10.17182/hepdata.80167.v1/t6
#: name: Table 6
#: description: Unfolded distributions of $\Sigma p_{T}$ density in Z events, as a function of $p_{T}^{\mu\mu}$ in the away ($\Delta\phi> 120^{\circ}$) region. Error bars represent the statistical and systematic uncertainties added in quadrature.
#: data_file: systematics_ptsum_ptmm_away_CMS_13TeV.yaml
#: keyword reactions: $pp \rightarrow Z + X \rightarrow \mu^{+}\mu^{-} + X$
#: keyword observables: $\Sigma p_{T}$ density
#: keyword cmenergies: 13000.0
#: $M_{\mu\mu} (GeV)$,,,81-101
#: charged particle $|\eta|$,,,< 2
#: charged particle $p_{T}$ (GeV},,,> 0.5
#: SQRT(S) [GeV],,,13000.0
dimuon pT (GeV),dimuon pT (GeV) LOW,dimuon pT (GeV) HIGH,$1/[\Delta\eta\Delta(\Delta\phi)] < \Sigma p_T > [GeV/rad]$,error +,error -
2.5,0.0,5.0,1.08,0.059,-0.059
7.5,5.0,10.0,1.3,0.072,-0.072
12.5,10.0,15.0,1.58,0.088,-0.088
17.5,15.0,20.0,1.89,0.107,-0.107
22.5,20.0,25.0,2.19,0.121,-0.121
27.5,25.0,30.0,2.5,0.136,-0.136
32.5,30.0,35.0,2.84,0.147,-0.147
37.5,35.0,40.0,3.15,0.169,-0.169
42.5,40.0,45.0,3.46,0.175,-0.175
47.5,45.0,50.0,3.77,0.191,-0.191
52.5,50.0,55.0,4.08,0.201,-0.201
57.5,55.0,60.0,4.42,0.222,-0.222
62.5,60.0,65.0,4.69,0.233,-0.233
67.5,65.0,70.0,5.03,0.237,-0.237
75.0,70.0,80.0,5.51,0.276,-0.276
85.0,80.0,90.0,6.16,0.29,-0.29
95.0,90.0,100.0,6.8,0.33,-0.33

