#: table_doi: 10.17182/hepdata.90831.v1/t108
#: name: table no 108
#: description: Figure 05b,  nTracks transmin_zptregion7, $\frac{1}{N_{ev}} \frac{dN_{ev}}{dN_{ch}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.$,transmin region,$120GeV<p_{T}^{Z}<200GeV$

#: data_file: table_no_108.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$N_{ch}/(\delta\eta\delta\phi)$,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ LOW,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ HIGH,$1/N_{ev} dN_{ev}/d(N_{ch}/\delta\eta\delta\phi)$,statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.0,-0.1,0.1,0.412,0.016,-0.016,0.009,-0.009,0.02,-0.02
0.195,0.1,0.29,0.539,0.019,-0.019,0.009,-0.009,0.018,-0.018
0.385,0.29,0.48,0.579,0.016,-0.016,0.008,-0.008,0.014,-0.014
0.575,0.48,0.67,0.562,0.015,-0.015,0.007,-0.007,0.011,-0.011
0.765,0.67,0.86,0.555,0.014,-0.014,0.007,-0.007,0.009,-0.009
0.9550000000000001,0.86,1.05,0.487,0.012,-0.012,0.006,-0.006,0.007,-0.007
1.145,1.05,1.24,0.4,0.01,-0.01,0,0,0.01,-0.01
1.335,1.24,1.43,0.3366,0.0092,-0.0092,0.0047,-0.0047,0.0068,-0.0068
1.525,1.43,1.62,0.2914,0.0081,-0.0081,0.004,-0.004,0.0068,-0.0068
1.715,1.62,1.81,0.2475,0.0077,-0.0077,0.0035,-0.0035,0.0071,-0.0071
1.91,1.81,2.01,0.183,0.007,-0.007,0.003,-0.003,0.007,-0.007
2.105,2.01,2.2,0.1423,0.0053,-0.0053,0.003,-0.003,0.0064,-0.0064
2.295,2.2,2.39,0.1036,0.0048,-0.0048,0.0028,-0.0028,0.0054,-0.0054
2.4850000000000003,2.39,2.58,0.0883,0.0045,-0.0045,0.0026,-0.0026,0.0047,-0.0047
2.675,2.58,2.77,0.0601,0.0036,-0.0036,0.0021,-0.0021,0.004,-0.004
2.865,2.77,2.96,0.0477,0.0035,-0.0035,0.0015,-0.0015,0.004,-0.004
3.0549999999999997,2.96,3.15,0.0435,0.0034,-0.0034,0.0012,-0.0012,0.0052,-0.0052
3.245,3.15,3.34,0.041,0.0047,-0.0047,0.0009,-0.0009,0.0069,-0.0069
3.4349999999999996,3.34,3.53,0.029,0.0035,-0.0035,0.0015,-0.0015,0.0081,-0.0081
3.625,3.53,3.72,0.0277,0.0034,-0.0034,0.0007,-0.0007,0.0066,-0.0066
3.8200000000000003,3.72,3.92,0.013,0.0021,-0.0021,0.0006,-0.0006,0.0055,-0.0055
4.015000000000001,3.92,4.11,0.0141,0.0029,-0.0029,0.0009,-0.0009,0.0051,-0.0051
4.205,4.11,4.3,0.0138,0.0038,-0.0038,0.0007,-0.0007,0.0057,-0.0057

