#: table_doi: 10.17182/hepdata.90831.v1/t109
#: name: table no 109
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{dN_{ch}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.$,transmin region,$200GeV<p_{T}^{Z}<500GeV$

#: data_file: table_no_109.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$N_{ch}/(\delta\eta\delta\phi)$,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ LOW,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ HIGH,$1/N_{ev} dN_{ev}/d(N_{ch}/\delta\eta\delta\phi)$,statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.0,-0.1,0.1,0.414,0.032,-0.032,0.01,-0.01,0.025,-0.025
0.195,0.1,0.29,0.473,0.037,-0.037,0.01,-0.01,0.024,-0.024
0.385,0.29,0.48,0.581,0.037,-0.037,0.011,-0.011,0.023,-0.023
0.575,0.48,0.67,0.582,0.028,-0.028,0.011,-0.011,0.021,-0.021
0.765,0.67,0.86,0.606,0.029,-0.029,0.011,-0.011,0.019,-0.019
0.9550000000000001,0.86,1.05,0.504,0.024,-0.024,0.01,-0.01,0.017,-0.017
1.145,1.05,1.24,0.444,0.022,-0.022,0.009,-0.009,0.015,-0.015
1.335,1.24,1.43,0.328,0.021,-0.021,0.008,-0.008,0.014,-0.014
1.525,1.43,1.62,0.241,0.016,-0.016,0.006,-0.006,0.013,-0.013
1.715,1.62,1.81,0.205,0.014,-0.014,0.005,-0.005,0.012,-0.012
1.91,1.81,2.01,0.163,0.012,-0.012,0.005,-0.005,0.011,-0.011
2.105,2.01,2.2,0.14,0.013,-0.013,0.004,-0.004,0.011,-0.011
2.295,2.2,2.39,0.116,0.011,-0.011,0.004,-0.004,0.011,-0.011
2.4850000000000003,2.39,2.58,0.079,0.011,-0.011,0.003,-0.003,0.01,-0.01
2.675,2.58,2.77,0.08,0.01,-0.01,0,0,0.01,-0.01
2.865,2.77,2.96,0.064,0.0071,-0.0071,0.0017,-0.0017,0.0104,-0.0104
3.0549999999999997,2.96,3.15,0.058,0.011,-0.011,0.001,-0.001,0.012,-0.012
3.245,3.15,3.34,0.054,0.011,-0.011,0.002,-0.002,0.015,-0.015
3.4349999999999996,3.34,3.53,0.04,0.01,-0.01,0,0,0.01,-0.01
3.625,3.53,3.72,0.014,0.003,-0.003,0.001,-0.001,0.009,-0.009
3.8200000000000003,3.72,3.92,0.0083,0.0038,-0.0038,0.0012,-0.0012,0.0061,-0.0061
4.015000000000001,3.92,4.11,0.013,0.0061,-0.0061,0.0011,-0.0011,0.0057,-0.0057
4.205,4.11,4.3,0.0019,0.0024,-0.0024,0.0009,-0.0009,0.0072,-0.0072

