#: table_doi: 10.17182/hepdata.90831.v1/t112
#: name: table no 112
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{dN_{ch}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.$,transmax region,$20GeV<p_{T}^{Z}<40GeV$

#: data_file: table_no_112.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$N_{ch}/(\delta\eta\delta\phi)$,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ LOW,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ HIGH,$1/N_{ev} dN_{ev}/d(N_{ch}/\delta\eta\delta\phi)$,statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.0,-0.1,0.1,0.0679,0.0016,-0.0016,0.0064,-0.0064,0.0079,-0.0079
0.195,0.1,0.29,0.2341,0.0028,-0.0028,0.0058,-0.0058,0.0093,-0.0093
0.385,0.29,0.48,0.3692,0.0032,-0.0032,0.0047,-0.0047,0.0112,-0.0112
0.575,0.48,0.67,0.4536,0.0031,-0.0031,0.0037,-0.0037,0.0117,-0.0117
0.765,0.67,0.86,0.4962,0.0029,-0.0029,0.0034,-0.0034,0.01,-0.01
0.9550000000000001,0.86,1.05,0.5106,0.0027,-0.0027,0.0036,-0.0036,0.0071,-0.0071
1.145,1.05,1.24,0.484,0.0026,-0.0026,0.0038,-0.0038,0.0044,-0.0044
1.335,1.24,1.43,0.4463,0.0024,-0.0024,0.0039,-0.0039,0.0029,-0.0029
1.525,1.43,1.62,0.4027,0.0022,-0.0022,0.0035,-0.0035,0.0027,-0.0027
1.715,1.62,1.81,0.3447,0.0021,-0.0021,0.0029,-0.0029,0.0035,-0.0035
1.91,1.81,2.01,0.2878,0.0018,-0.0018,0.0023,-0.0023,0.0046,-0.0046
2.105,2.01,2.2,0.239,0.0017,-0.0017,0.0019,-0.0019,0.0053,-0.0053
2.295,2.2,2.39,0.1932,0.0015,-0.0015,0.0015,-0.0015,0.0056,-0.0056
2.4850000000000003,2.39,2.58,0.1572,0.0014,-0.0014,0.0014,-0.0014,0.0055,-0.0055
2.675,2.58,2.77,0.1248,0.0012,-0.0012,0.0013,-0.0013,0.0053,-0.0053
2.865,2.77,2.96,0.1008,0.0011,-0.0011,0.0014,-0.0014,0.0048,-0.0048
3.0549999999999997,2.96,3.15,0.07787,0.00098,-0.00098,0.00121,-0.00121,0.0043,-0.0043
3.245,3.15,3.34,0.06041,0.00084,-0.00084,0.00107,-0.00107,0.00369,-0.00369
3.4349999999999996,3.34,3.53,0.04634,0.00073,-0.00073,0.00093,-0.00093,0.0032,-0.0032
3.625,3.53,3.72,0.03623,0.00065,-0.00065,0.00093,-0.00093,0.00262,-0.00262
3.8200000000000003,3.72,3.92,0.02595,0.00051,-0.00051,0.00099,-0.00099,0.0021,-0.0021
4.015000000000001,3.92,4.11,0.02025,0.00048,-0.00048,0.00089,-0.00089,0.00166,-0.00166
4.205,4.11,4.3,0.01497,0.00044,-0.00044,0.00083,-0.00083,0.00131,-0.00131

