#: table_doi: 10.17182/hepdata.90831.v1/t122
#: name: table no 122
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{dN_{ch}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.$,away region,$60GeV<p_{T}^{Z}<80GeV$

#: data_file: table_no_122.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$N_{ch}/(\delta\eta\delta\phi)$,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ LOW,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ HIGH,$1/N_{ev} dN_{ev}/d(N_{ch}/\delta\eta\delta\phi)$,statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.0,-0.05,0.05,0.0079,0.0019,-0.0019,0.0006,-0.0006,0.0011,-0.0011
0.095,0.05,0.14,0.0215,0.0032,-0.0032,0.001,-0.001,0.0013,-0.0013
0.19,0.14,0.24,0.0323,0.0033,-0.0033,0.0015,-0.0015,0.0017,-0.0017
0.28500000000000003,0.24,0.33,0.0395,0.0031,-0.0031,0.0019,-0.0019,0.0023,-0.0023
0.38,0.33,0.43,0.054,0.0036,-0.0036,0.0024,-0.0024,0.0031,-0.0031
0.48,0.43,0.53,0.0718,0.0039,-0.0039,0.0028,-0.0028,0.0045,-0.0045
0.575,0.53,0.62,0.1078,0.0048,-0.0048,0.0039,-0.0039,0.0062,-0.0062
0.6699999999999999,0.62,0.72,0.1394,0.0054,-0.0054,0.0052,-0.0052,0.0081,-0.0081
0.765,0.72,0.81,0.183,0.006,-0.006,0.007,-0.007,0.01,-0.01
0.8600000000000001,0.81,0.91,0.2258,0.0064,-0.0064,0.009,-0.009,0.0112,-0.0112
0.9550000000000001,0.91,1.0,0.2662,0.0068,-0.0068,0.0104,-0.0104,0.0121,-0.0121
1.05,1.0,1.1,0.3024,0.0069,-0.0069,0.0115,-0.0115,0.0129,-0.0129
1.145,1.1,1.19,0.3544,0.0073,-0.0073,0.0128,-0.0128,0.0135,-0.0135
1.24,1.19,1.29,0.377,0.0072,-0.0072,0.0136,-0.0136,0.0136,-0.0136
1.335,1.29,1.38,0.4143,0.0073,-0.0073,0.0148,-0.0148,0.0128,-0.0128
1.43,1.38,1.48,0.4556,0.0083,-0.0083,0.0164,-0.0164,0.0117,-0.0117
1.53,1.48,1.58,0.4651,0.0077,-0.0077,0.0165,-0.0165,0.0101,-0.0101
1.625,1.58,1.67,0.4719,0.0073,-0.0073,0.0167,-0.0167,0.0085,-0.0085
1.72,1.67,1.77,0.4785,0.0073,-0.0073,0.0169,-0.0169,0.007,-0.007
1.815,1.77,1.86,0.4603,0.0075,-0.0075,0.0163,-0.0163,0.0062,-0.0062
1.9100000000000001,1.86,1.96,0.4556,0.0073,-0.0073,0.0161,-0.0161,0.0052,-0.0052
2.005,1.96,2.05,0.4367,0.0072,-0.0072,0.0154,-0.0154,0.0043,-0.0043
2.0999999999999996,2.05,2.15,0.434,0.007,-0.007,0.015,-0.015,0.004,-0.004
2.1950000000000003,2.15,2.24,0.4018,0.0068,-0.0068,0.0141,-0.0141,0.0041,-0.0041
2.29,2.24,2.34,0.379,0.0062,-0.0062,0.0134,-0.0134,0.005,-0.005
2.3899999999999997,2.34,2.44,0.3651,0.0064,-0.0064,0.0129,-0.0129,0.0061,-0.0061
2.485,2.44,2.53,0.323,0.0057,-0.0057,0.0115,-0.0115,0.0077,-0.0077
2.58,2.53,2.63,0.3129,0.0059,-0.0059,0.0111,-0.0111,0.0104,-0.0104
2.7249999999999996,2.63,2.82,0.275,0.0052,-0.0052,0.0096,-0.0096,0.007,-0.007
2.915,2.82,3.01,0.2304,0.0048,-0.0048,0.0081,-0.0081,0.0081,-0.0081
3.105,3.01,3.2,0.185,0.004,-0.004,0.007,-0.007,0.008,-0.008
3.295,3.2,3.39,0.1407,0.0037,-0.0037,0.0052,-0.0052,0.0078,-0.0078
3.4850000000000003,3.39,3.58,0.1056,0.0034,-0.0034,0.0042,-0.0042,0.0076,-0.0076
3.725,3.58,3.87,0.0725,0.0026,-0.0026,0.0032,-0.0032,0.0049,-0.0049
4.105,3.87,4.34,0.041,0.0016,-0.0016,0.0019,-0.0019,0.0027,-0.0027

