#: table_doi: 10.17182/hepdata.90831.v1/t129
#: name: table no 129
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{d\Sigma p_{t}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,toward region,$40GeV<p_{T}^{Z}<60GeV$

#: data_file: table_no_129.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV],Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] LOW,Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(\Sigma p_{T}/\delta\eta\delta\phi)$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.07,0,0.14,0.425,0.007,-0.007,0.016,-0.016,0.018,-0.018
0.23500000000000001,0.14,0.33,0.4319,0.0068,-0.0068,0.0111,-0.0111,0.0128,-0.0128
0.43000000000000005,0.33,0.53,0.4981,0.0058,-0.0058,0.0091,-0.0091,0.0108,-0.0108
0.625,0.53,0.72,0.4785,0.0055,-0.0055,0.0072,-0.0072,0.0085,-0.0085
0.815,0.72,0.91,0.4622,0.0051,-0.0051,0.0066,-0.0066,0.0062,-0.0062
1.0050000000000001,0.91,1.1,0.4295,0.0048,-0.0048,0.0061,-0.0061,0.0043,-0.0043
1.195,1.1,1.29,0.3914,0.0045,-0.0045,0.0056,-0.0056,0.0033,-0.0033
1.385,1.29,1.48,0.351,0.0042,-0.0042,0.005,-0.005,0.0029,-0.0029
1.575,1.48,1.67,0.2916,0.0038,-0.0038,0.0042,-0.0042,0.0033,-0.0033
1.7650000000000001,1.67,1.86,0.2394,0.0032,-0.0032,0.0036,-0.0036,0.0043,-0.0043
2.1,1.86,2.34,0.1867,0.0023,-0.0023,0.0026,-0.0026,0.0023,-0.0023
2.5300000000000002,2.34,2.72,0.1271,0.0021,-0.0021,0.0019,-0.0019,0.0032,-0.0032
2.91,2.72,3.1,0.0884,0.0018,-0.0018,0.0014,-0.0014,0.003,-0.003
3.295,3.1,3.49,0.064,0.0015,-0.0015,0.0012,-0.0012,0.0024,-0.0024
3.68,3.49,3.87,0.041,0.0012,-0.0012,0.0011,-0.0011,0.0019,-0.0019
4.105,3.87,4.34,0.02673,0.00091,-0.00091,0.00098,-0.00098,0.00127,-0.00127
4.58,4.34,4.82,0.01637,0.00065,-0.00065,0.00104,-0.00104,0.00097,-0.00097
5.0600000000000005,4.82,5.3,0.01121,0.00048,-0.00048,0.00114,-0.00114,0.00078,-0.00078
5.54,5.3,5.78,0.0096,0.00052,-0.00052,0.00104,-0.00104,0.00071,-0.00071

