#: table_doi: 10.17182/hepdata.90831.v1/t132
#: name: table no 132
#: description: Figure 02c from auxiliary figures,  sumPt toward_zptregion7, $\frac{1}{N_{ev}} \frac{dN_{ev}}{d\Sigma p_{t}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,toward region,$120GeV<p_{T}^{Z}<200GeV$

#: data_file: table_no_132.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV],Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] LOW,Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(\Sigma p_{T}/\delta\eta\delta\phi)$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.07,0,0.14,0.34,0.016,-0.016,0.014,-0.014,0.014,-0.014
0.23500000000000001,0.14,0.33,0.34,0.015,-0.015,0.01,-0.01,0.011,-0.011
0.43000000000000005,0.33,0.53,0.427,0.014,-0.014,0.01,-0.01,0.011,-0.011
0.625,0.53,0.72,0.467,0.014,-0.014,0.008,-0.008,0.011,-0.011
0.815,0.72,0.91,0.444,0.012,-0.012,0.007,-0.007,0.01,-0.01
1.0050000000000001,0.91,1.1,0.386,0.011,-0.011,0.006,-0.006,0.007,-0.007
1.195,1.1,1.29,0.33,0.01,-0.01,0.01,-0.01,0.01,-0.01
1.385,1.29,1.48,0.3236,0.0098,-0.0098,0.0048,-0.0048,0.0062,-0.0062
1.575,1.48,1.67,0.2794,0.0088,-0.0088,0.0048,-0.0048,0.0067,-0.0067
1.7650000000000001,1.67,1.86,0.2361,0.0083,-0.0083,0.0046,-0.0046,0.0061,-0.0061
2.1,1.86,2.34,0.185,0.006,-0.006,0.003,-0.003,0.003,-0.003
2.5300000000000002,2.34,2.72,0.144,0.0058,-0.0058,0.0025,-0.0025,0.0033,-0.0033
2.91,2.72,3.1,0.0971,0.0049,-0.0049,0.0019,-0.0019,0.0038,-0.0038
3.295,3.1,3.49,0.0667,0.0038,-0.0038,0.0014,-0.0014,0.0034,-0.0034
3.68,3.49,3.87,0.0692,0.0036,-0.0036,0.0013,-0.0013,0.0031,-0.0031
4.105,3.87,4.34,0.0446,0.0032,-0.0032,0.0008,-0.0008,0.0021,-0.0021
4.58,4.34,4.82,0.0305,0.0026,-0.0026,0.0005,-0.0005,0.002,-0.002
5.0600000000000005,4.82,5.3,0.0189,0.0017,-0.0017,0.0004,-0.0004,0.0018,-0.0018
5.54,5.3,5.78,0.0152,0.0016,-0.0016,0.0004,-0.0004,0.0017,-0.0017

