#: table_doi: 10.17182/hepdata.90831.v1/t134
#: name: table no 134
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{d\Sigma p_{t}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,transverse region,$0GeV<p_{T}^{Z}<10GeV$

#: data_file: table_no_134.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV],Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] LOW,Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(\Sigma p_{T}/\delta\eta\delta\phi)$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.07,0,0.14,0.6044,0.0035,-0.0035,0.0049,-0.0049,0.0217,-0.0217
0.23500000000000001,0.14,0.33,0.582,0.003,-0.003,0.003,-0.003,0.015,-0.015
0.43000000000000005,0.33,0.53,0.62,0.0025,-0.0025,0.0023,-0.0023,0.0109,-0.0109
0.625,0.53,0.72,0.5812,0.0023,-0.0023,0.0017,-0.0017,0.007,-0.007
0.815,0.72,0.91,0.5142,0.0021,-0.0021,0.0015,-0.0015,0.004,-0.004
1.0050000000000001,0.91,1.1,0.4491,0.0018,-0.0018,0.0015,-0.0015,0.0025,-0.0025
1.195,1.1,1.29,0.3802,0.0016,-0.0016,0.0016,-0.0016,0.0026,-0.0026
1.385,1.29,1.48,0.3177,0.0014,-0.0014,0.0014,-0.0014,0.0034,-0.0034
1.575,1.48,1.67,0.2607,0.0013,-0.0013,0.0015,-0.0015,0.005,-0.005
1.7650000000000001,1.67,1.86,0.2135,0.0012,-0.0012,0.0015,-0.0015,0.0066,-0.0066
2.1,1.86,2.34,0.14916,0.00085,-0.00085,0.00067,-0.00067,0.0032,-0.0032
2.5300000000000002,2.34,2.72,0.09018,0.00064,-0.00064,0.00056,-0.00056,0.00379,-0.00379
2.91,2.72,3.1,0.05627,0.00052,-0.00052,0.00036,-0.00036,0.00313,-0.00313
3.295,3.1,3.49,0.03587,0.00042,-0.00042,0.00022,-0.00022,0.00223,-0.00223
3.68,3.49,3.87,0.02245,0.00032,-0.00032,0.00023,-0.00023,0.00158,-0.00158
4.105,3.87,4.34,0.01333,0.00025,-0.00025,0.00019,-0.00019,0.0009,-0.0009
4.58,4.34,4.82,0.0075,0.0002,-0.0002,0.0002,-0.0002,0.0006,-0.0006
5.0600000000000005,4.82,5.3,0.00409,0.00014,-0.00014,0.00011,-0.00011,0.00041,-0.00041
5.54,5.3,5.78,0.00247,0.00011,-0.00011,8e-05,-8e-05,0.00026,-0.00026

