#: table_doi: 10.17182/hepdata.90831.v1/t148
#: name: table no 148
#: description: Figure 05c,  sumPt transmin_zptregion7, $\frac{1}{N_{ev}} \frac{dN_{ev}}{d\Sigma p_{t}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,transmin region,$120GeV<p_{T}^{Z}<200GeV$

#: data_file: table_no_148.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV],Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] LOW,Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(\Sigma p_{T}/\delta\eta\delta\phi)$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.145,0,0.29,0.724,0.015,-0.015,0.007,-0.007,0.017,-0.017
0.48,0.29,0.67,0.532,0.013,-0.013,0.005,-0.005,0.011,-0.011
0.8600000000000001,0.67,1.05,0.425,0.011,-0.011,0.004,-0.004,0.008,-0.008
1.24,1.05,1.43,0.323,0.0085,-0.0085,0.0029,-0.0029,0.0058,-0.0058
1.62,1.43,1.81,0.2161,0.0069,-0.0069,0.0022,-0.0022,0.0045,-0.0045
2.005,1.81,2.2,0.1604,0.0059,-0.0059,0.0018,-0.0018,0.004,-0.004
2.39,2.2,2.58,0.1073,0.0043,-0.0043,0.0014,-0.0014,0.0034,-0.0034
2.77,2.58,2.96,0.0718,0.0037,-0.0037,0.0013,-0.0013,0.0027,-0.0027
3.15,2.96,3.34,0.047,0.003,-0.003,0.001,-0.001,0.002,-0.002
3.5300000000000002,3.34,3.72,0.0369,0.0025,-0.0025,0.001,-0.001,0.0021,-0.0021
4.2,3.72,4.68,0.0256,0.0018,-0.0018,0.0003,-0.0003,0.0009,-0.0009
5.0600000000000005,4.68,5.44,0.0122,0.0014,-0.0014,0.0002,-0.0002,0.0011,-0.0011

