#: table_doi: 10.17182/hepdata.90831.v1/t167
#: name: table no 167
#: description: Figure 01d from auxiliary figures,  meanPt toward_zptregion2, $\frac{N_{ev}}{d(mean p_{t})}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,toward region,$10GeV<p_{T}^{Z}<20GeV$

#: data_file: table_no_167.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$mean p_{T}$ [GeV],Bin limits$mean p_{T}$ [GeV] LOW,Bin limits$mean p_{T}$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(mean p_{T})$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.5,0.45,0.55,0.0527,0.0017,-0.0017,0.0243,-0.0243,0.0086,-0.0086
0.6000000000000001,0.55,0.65,0.257,0.0037,-0.0037,0.0238,-0.0238,0.0085,-0.0085
0.7,0.65,0.75,0.5845,0.0056,-0.0056,0.0276,-0.0276,0.0094,-0.0094
0.8,0.75,0.85,1.0614,0.0068,-0.0068,0.0405,-0.0405,0.0115,-0.0115
0.8999999999999999,0.85,0.95,1.5279,0.0081,-0.0081,0.0542,-0.0542,0.0146,-0.0146
1.0,0.95,1.05,1.704,0.008,-0.008,0.059,-0.059,0.015,-0.015
1.1,1.05,1.15,1.4631,0.0073,-0.0073,0.0496,-0.0496,0.0126,-0.0126
1.2,1.15,1.25,1.092,0.006,-0.006,0.037,-0.037,0.008,-0.008
1.3,1.25,1.35,0.7301,0.0049,-0.0049,0.0247,-0.0247,0.0054,-0.0054
1.4,1.35,1.45,0.4738,0.0039,-0.0039,0.0162,-0.0162,0.0046,-0.0046
1.5,1.45,1.55,0.3072,0.0029,-0.0029,0.0108,-0.0108,0.0041,-0.0041
1.6,1.55,1.65,0.1997,0.0023,-0.0023,0.0072,-0.0072,0.0037,-0.0037
1.7,1.65,1.75,0.1346,0.0019,-0.0019,0.0048,-0.0048,0.0032,-0.0032
1.8,1.75,1.85,0.0911,0.0016,-0.0016,0.0034,-0.0034,0.0027,-0.0027
1.9,1.85,1.95,0.0647,0.0012,-0.0012,0.0025,-0.0025,0.0021,-0.0021
2.0,1.95,2.05,0.048,0.001,-0.001,0.002,-0.002,0.002,-0.002
2.0999999999999996,2.05,2.15,0.0387,0.00097,-0.00097,0.0018,-0.0018,0.00146,-0.00146
2.2,2.15,2.25,0.02912,0.00086,-0.00086,0.00158,-0.00158,0.00118,-0.00118
2.3,2.25,2.35,0.02359,0.00071,-0.00071,0.00134,-0.00134,0.00097,-0.00097
2.4000000000000004,2.35,2.45,0.0169,0.0007,-0.0007,0.0012,-0.0012,0.0008,-0.0008
2.5,2.45,2.55,0.01446,0.00065,-0.00065,0.00098,-0.00098,0.00077,-0.00077
2.5999999999999996,2.55,2.65,0.01163,0.00054,-0.00054,0.00077,-0.00077,0.00068,-0.00068
2.7,2.65,2.75,0.01003,0.00047,-0.00047,0.00064,-0.00064,0.00066,-0.00066
2.8,2.75,2.85,0.00874,0.00049,-0.00049,0.00056,-0.00056,0.00061,-0.00061
2.9000000000000004,2.85,2.95,0.00719,0.00046,-0.00046,0.00052,-0.00052,0.00056,-0.00056

