#: table_doi: 10.17182/hepdata.90831.v1/t171
#: name: table no 171
#: description: $\frac{N_{ev}}{d(mean p_{t})}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,toward region,$80GeV<p_{T}^{Z}<120GeV$

#: data_file: table_no_171.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$mean p_{T}$ [GeV],Bin limits$mean p_{T}$ [GeV] LOW,Bin limits$mean p_{T}$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(mean p_{T})$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.5,0.45,0.55,0.0254,0.0043,-0.0043,0.0124,-0.0124,0.0073,-0.0073
0.6000000000000001,0.55,0.65,0.18,0.01,-0.01,0.01,-0.01,0.01,-0.01
0.7,0.65,0.75,0.358,0.015,-0.015,0.022,-0.022,0.009,-0.009
0.8,0.75,0.85,0.79,0.02,-0.02,0.04,-0.04,0.01,-0.01
0.8999999999999999,0.85,0.95,1.163,0.025,-0.025,0.055,-0.055,0.014,-0.014
1.0,0.95,1.05,1.368,0.025,-0.025,0.062,-0.062,0.015,-0.015
1.1,1.05,1.15,1.319,0.024,-0.024,0.058,-0.058,0.016,-0.016
1.2,1.15,1.25,1.079,0.022,-0.022,0.046,-0.046,0.013,-0.013
1.3,1.25,1.35,0.77,0.017,-0.017,0.033,-0.033,0.011,-0.011
1.4,1.35,1.45,0.581,0.015,-0.015,0.025,-0.025,0.01,-0.01
1.5,1.45,1.55,0.436,0.013,-0.013,0.019,-0.019,0.01,-0.01
1.6,1.55,1.65,0.31,0.011,-0.011,0.015,-0.015,0.008,-0.008
1.7,1.65,1.75,0.23,0.008,-0.008,0.012,-0.012,0.007,-0.007
1.8,1.75,1.85,0.1818,0.0064,-0.0064,0.0113,-0.0113,0.0066,-0.0066
1.9,1.85,1.95,0.186,0.007,-0.007,0.012,-0.012,0.007,-0.007
2.0,1.95,2.05,0.1368,0.0058,-0.0058,0.0094,-0.0094,0.0064,-0.0064
2.0999999999999996,2.05,2.15,0.1131,0.0048,-0.0048,0.0087,-0.0087,0.0061,-0.0061
2.2,2.15,2.25,0.1083,0.0059,-0.0059,0.008,-0.008,0.0051,-0.0051
2.3,2.25,2.35,0.072,0.0039,-0.0039,0.0058,-0.0058,0.0043,-0.0043
2.4000000000000004,2.35,2.45,0.0643,0.0037,-0.0037,0.005,-0.005,0.0039,-0.0039
2.5,2.45,2.55,0.048,0.003,-0.003,0.004,-0.004,0.004,-0.004
2.5999999999999996,2.55,2.65,0.0453,0.0036,-0.0036,0.0044,-0.0044,0.0046,-0.0046
2.7,2.65,2.75,0.0379,0.0033,-0.0033,0.0054,-0.0054,0.0051,-0.0051
2.8,2.75,2.85,0.0226,0.0023,-0.0023,0.0048,-0.0048,0.0055,-0.0055
2.9000000000000004,2.85,2.95,0.0321,0.0032,-0.0032,0.005,-0.005,0.0062,-0.0062

