#: table_doi: 10.17182/hepdata.90831.v1/t181
#: name: table no 181
#: description: $\frac{N_{ev}}{d(mean p_{t})}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,transverse region,$200GeV<p_{T}^{Z}<500GeV$

#: data_file: table_no_181.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$mean p_{T}$ [GeV],Bin limits$mean p_{T}$ [GeV] LOW,Bin limits$mean p_{T}$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(mean p_{T})$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.5,0.45,0.55,0.0133,0.0089,-0.0089,0.0064,-0.0064,0.0084,-0.0084
0.6000000000000001,0.55,0.65,0.078,0.018,-0.018,0.008,-0.008,0.01,-0.01
0.7,0.65,0.75,0.217,0.036,-0.036,0.011,-0.011,0.015,-0.015
0.8,0.75,0.85,0.508,0.049,-0.049,0.018,-0.018,0.023,-0.023
0.8999999999999999,0.85,0.95,0.839,0.062,-0.062,0.026,-0.026,0.031,-0.031
1.0,0.95,1.05,1.008,0.067,-0.067,0.031,-0.031,0.034,-0.034
1.1,1.05,1.15,0.865,0.056,-0.056,0.029,-0.029,0.029,-0.029
1.2,1.15,1.25,0.827,0.055,-0.055,0.026,-0.026,0.025,-0.025
1.3,1.25,1.35,0.874,0.051,-0.051,0.024,-0.024,0.023,-0.023
1.4,1.35,1.45,0.673,0.047,-0.047,0.018,-0.018,0.023,-0.023
1.5,1.45,1.55,0.532,0.038,-0.038,0.014,-0.014,0.021,-0.021
1.6,1.55,1.65,0.395,0.032,-0.032,0.011,-0.011,0.02,-0.02
1.7,1.65,1.75,0.324,0.029,-0.029,0.009,-0.009,0.021,-0.021
1.8,1.75,1.85,0.266,0.025,-0.025,0.008,-0.008,0.023,-0.023
1.9,1.85,1.95,0.246,0.028,-0.028,0.007,-0.007,0.025,-0.025
2.0,1.95,2.05,0.227,0.021,-0.021,0.007,-0.007,0.026,-0.026
2.0999999999999996,2.05,2.15,0.2,0.023,-0.023,0.008,-0.008,0.026,-0.026
2.2,2.15,2.25,0.183,0.022,-0.022,0.008,-0.008,0.021,-0.021
2.3,2.25,2.35,0.128,0.013,-0.013,0.006,-0.006,0.018,-0.018
2.4000000000000004,2.35,2.45,0.089,0.012,-0.012,0.004,-0.004,0.016,-0.016
2.5,2.45,2.55,0.109,0.014,-0.014,0.004,-0.004,0.017,-0.017
2.5999999999999996,2.55,2.65,0.116,0.022,-0.022,0.004,-0.004,0.018,-0.018
2.7,2.65,2.75,0.097,0.016,-0.016,0.004,-0.004,0.019,-0.019
2.8,2.75,2.85,0.0668,0.0098,-0.0098,0.0042,-0.0042,0.0193,-0.0193
2.9000000000000004,2.85,2.95,0.0501,0.0088,-0.0088,0.0039,-0.0039,0.0184,-0.0184

