#: table_doi: 10.17182/hepdata.90831.v1/t182
#: name: table no 182
#: description: $\frac{N_{ev}}{d(mean p_{t})}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,transmin region,$0GeV<p_{T}^{Z}<10GeV$

#: data_file: table_no_182.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$mean p_{T}$ [GeV],Bin limits$mean p_{T}$ [GeV] LOW,Bin limits$mean p_{T}$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(mean p_{T})$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.5,0.45,0.55,0.1414,0.0023,-0.0023,0.1485,-0.1485,0.0222,-0.0222
0.6000000000000001,0.55,0.65,0.7183,0.0056,-0.0056,0.1313,-0.1313,0.0215,-0.0215
0.7,0.65,0.75,1.2144,0.0062,-0.0062,0.0999,-0.0999,0.0194,-0.0194
0.8,0.75,0.85,1.5821,0.0066,-0.0066,0.0913,-0.0913,0.0201,-0.0201
0.8999999999999999,0.85,0.95,1.6191,0.0057,-0.0057,0.0908,-0.0908,0.0204,-0.0204
1.0,0.95,1.05,1.3951,0.0049,-0.0049,0.0898,-0.0898,0.0194,-0.0194
1.1,1.05,1.15,1.04,0.004,-0.004,0.073,-0.073,0.014,-0.014
1.2,1.15,1.25,0.7327,0.0034,-0.0034,0.0503,-0.0503,0.0086,-0.0086
1.3,1.25,1.35,0.4923,0.0028,-0.0028,0.0296,-0.0296,0.0048,-0.0048
1.4,1.35,1.45,0.327,0.0022,-0.0022,0.0155,-0.0155,0.0038,-0.0038
1.5,1.45,1.55,0.2117,0.0017,-0.0017,0.0075,-0.0075,0.0037,-0.0037
1.6,1.55,1.65,0.1477,0.0014,-0.0014,0.0052,-0.0052,0.0034,-0.0034
1.7,1.65,1.75,0.0997,0.0011,-0.0011,0.0054,-0.0054,0.0029,-0.0029
1.8,1.75,1.85,0.06912,0.00096,-0.00096,0.00625,-0.00625,0.00246,-0.00246
1.9,1.85,1.95,0.04961,0.00081,-0.00081,0.00639,-0.00639,0.00218,-0.00218
2.0,1.95,2.05,0.03476,0.00069,-0.00069,0.00579,-0.00579,0.00194,-0.00194
2.0999999999999996,2.05,2.15,0.0269,0.0006,-0.0006,0.005,-0.005,0.0017,-0.0017
2.2,2.15,2.25,0.02111,0.00054,-0.00054,0.00417,-0.00417,0.00143,-0.00143
2.3,2.25,2.35,0.0162,0.00048,-0.00048,0.00351,-0.00351,0.00118,-0.00118
2.4000000000000004,2.35,2.45,0.01185,0.00042,-0.00042,0.00305,-0.00305,0.00093,-0.00093
2.5,2.45,2.55,0.00873,0.00037,-0.00037,0.00268,-0.00268,0.00068,-0.00068
2.5999999999999996,2.55,2.65,0.0058,0.0003,-0.0003,0.0024,-0.0024,0.0006,-0.0006
2.7,2.65,2.75,0.0054,0.00027,-0.00027,0.00204,-0.00204,0.00059,-0.00059
2.8,2.75,2.85,0.00383,0.00022,-0.00022,0.00171,-0.00171,0.00059,-0.00059
2.9000000000000004,2.85,2.95,0.00353,0.00028,-0.00028,0.0013,-0.0013,0.0005,-0.0005

