#: table_doi: 10.17182/hepdata.90831.v1/t183
#: name: table no 183
#: description: Figure 04d,  meanPt transmin_zptregion2, $\frac{N_{ev}}{d(mean p_{t})}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,transmin region,$10GeV<p_{T}^{Z}<20GeV$

#: data_file: table_no_183.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$mean p_{T}$ [GeV],Bin limits$mean p_{T}$ [GeV] LOW,Bin limits$mean p_{T}$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(mean p_{T})$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.5,0.45,0.55,0.1441,0.0032,-0.0032,0.1041,-0.1041,0.0194,-0.0194
0.6000000000000001,0.55,0.65,0.655,0.006,-0.006,0.09,-0.09,0.019,-0.019
0.7,0.65,0.75,1.1086,0.0076,-0.0076,0.0668,-0.0668,0.0182,-0.0182
0.8,0.75,0.85,1.4446,0.0085,-0.0085,0.0624,-0.0624,0.0188,-0.0188
0.8999999999999999,0.85,0.95,1.543,0.0081,-0.0081,0.0622,-0.0622,0.0176,-0.0176
1.0,0.95,1.05,1.3854,0.0068,-0.0068,0.0592,-0.0592,0.0159,-0.0159
1.1,1.05,1.15,1.0848,0.0059,-0.0059,0.0446,-0.0446,0.0121,-0.0121
1.2,1.15,1.25,0.7903,0.0051,-0.0051,0.0294,-0.0294,0.0078,-0.0078
1.3,1.25,1.35,0.5372,0.0041,-0.0041,0.0171,-0.0171,0.0048,-0.0048
1.4,1.35,1.45,0.3617,0.0032,-0.0032,0.0097,-0.0097,0.0038,-0.0038
1.5,1.45,1.55,0.2507,0.0027,-0.0027,0.006,-0.006,0.0038,-0.0038
1.6,1.55,1.65,0.1879,0.0023,-0.0023,0.0045,-0.0045,0.0037,-0.0037
1.7,1.65,1.75,0.1218,0.0019,-0.0019,0.0038,-0.0038,0.0033,-0.0033
1.8,1.75,1.85,0.0859,0.0016,-0.0016,0.0037,-0.0037,0.0028,-0.0028
1.9,1.85,1.95,0.0644,0.0015,-0.0015,0.0036,-0.0036,0.0024,-0.0024
2.0,1.95,2.05,0.0468,0.0012,-0.0012,0.0032,-0.0032,0.0021,-0.0021
2.0999999999999996,2.05,2.15,0.03397,0.00098,-0.00098,0.00272,-0.00272,0.00193,-0.00193
2.2,2.15,2.25,0.02727,0.00094,-0.00094,0.00214,-0.00214,0.00176,-0.00176
2.3,2.25,2.35,0.021,0.00084,-0.00084,0.0016,-0.0016,0.00162,-0.00162
2.4000000000000004,2.35,2.45,0.01717,0.00087,-0.00087,0.00114,-0.00114,0.0014,-0.0014
2.5,2.45,2.55,0.0119,0.0007,-0.0007,0.001,-0.001,0.0011,-0.0011
2.5999999999999996,2.55,2.65,0.01121,0.00064,-0.00064,0.0009,-0.0009,0.00091,-0.00091
2.7,2.65,2.75,0.007,0.00044,-0.00044,0.00074,-0.00074,0.00086,-0.00086
2.8,2.75,2.85,0.00853,0.00068,-0.00068,0.00051,-0.00051,0.00096,-0.00096
2.9000000000000004,2.85,2.95,0.00797,0.00057,-0.00057,0.00042,-0.00042,0.00103,-0.00103

