#: table_doi: 10.17182/hepdata.90831.v1/t192
#: name: table no 192
#: description: $\frac{N_{ev}}{d(mean p_{t})}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,transmax region,$20GeV<p_{T}^{Z}<40GeV$

#: data_file: table_no_192.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$mean p_{T}$ [GeV],Bin limits$mean p_{T}$ [GeV] LOW,Bin limits$mean p_{T}$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(mean p_{T})$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.5,0.45,0.55,0.0325,0.0015,-0.0015,0.0152,-0.0152,0.0073,-0.0073
0.6000000000000001,0.55,0.65,0.178,0.0037,-0.0037,0.0154,-0.0154,0.0074,-0.0074
0.7,0.65,0.75,0.4107,0.0052,-0.0052,0.018,-0.018,0.0077,-0.0077
0.8,0.75,0.85,0.7513,0.0067,-0.0067,0.0248,-0.0248,0.0087,-0.0087
0.8999999999999999,0.85,0.95,1.0513,0.0077,-0.0077,0.0313,-0.0313,0.0104,-0.0104
1.0,0.95,1.05,1.2071,0.0076,-0.0076,0.0334,-0.0334,0.0114,-0.0114
1.1,1.05,1.15,1.181,0.0074,-0.0074,0.0307,-0.0307,0.0102,-0.0102
1.2,1.15,1.25,1.0222,0.0067,-0.0067,0.0249,-0.0249,0.0076,-0.0076
1.3,1.25,1.35,0.8368,0.0058,-0.0058,0.0198,-0.0198,0.0052,-0.0052
1.4,1.35,1.45,0.6522,0.0051,-0.0051,0.0152,-0.0152,0.0042,-0.0042
1.5,1.45,1.55,0.5061,0.0045,-0.0045,0.0121,-0.0121,0.0041,-0.0041
1.6,1.55,1.65,0.3793,0.0039,-0.0039,0.0095,-0.0095,0.0037,-0.0037
1.7,1.65,1.75,0.2999,0.0032,-0.0032,0.0079,-0.0079,0.0035,-0.0035
1.8,1.75,1.85,0.2257,0.0026,-0.0026,0.0067,-0.0067,0.0032,-0.0032
1.9,1.85,1.95,0.1817,0.0027,-0.0027,0.006,-0.006,0.003,-0.003
2.0,1.95,2.05,0.1489,0.0023,-0.0023,0.0053,-0.0053,0.0024,-0.0024
2.0999999999999996,2.05,2.15,0.1235,0.0019,-0.0019,0.0043,-0.0043,0.0021,-0.0021
2.2,2.15,2.25,0.0994,0.0019,-0.0019,0.0034,-0.0034,0.0017,-0.0017
2.3,2.25,2.35,0.0823,0.0016,-0.0016,0.0028,-0.0028,0.0017,-0.0017
2.4000000000000004,2.35,2.45,0.0723,0.0016,-0.0016,0.0023,-0.0023,0.0018,-0.0018
2.5,2.45,2.55,0.0622,0.0016,-0.0016,0.002,-0.002,0.002,-0.002
2.5999999999999996,2.55,2.65,0.0518,0.0013,-0.0013,0.0019,-0.0019,0.0018,-0.0018
2.7,2.65,2.75,0.0449,0.0012,-0.0012,0.0021,-0.0021,0.0015,-0.0015
2.8,2.75,2.85,0.0386,0.0011,-0.0011,0.0022,-0.0022,0.0012,-0.0012
2.9000000000000004,2.85,2.95,0.0354,0.00093,-0.00093,0.00188,-0.00188,0.00101,-0.00101

