#: table_doi: 10.17182/hepdata.90831.v1/t205
#: name: table no 205
#: description: $\frac{N_{ev}}{d(mean p_{t})}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,away region,$200GeV<p_{T}^{Z}<500GeV$

#: data_file: table_no_205.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$mean p_{T}$ [GeV],Bin limits$mean p_{T}$ [GeV] LOW,Bin limits$mean p_{T}$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(mean p_{T})$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.5,0.45,0.55,0.0125,0.0068,-0.0068,0.0035,-0.0035,0.0048,-0.0048
0.6000000000000001,0.55,0.65,0.0019,0.0072,-0.0072,0.0037,-0.0037,0.005,-0.005
0.7,0.65,0.75,0.0137,0.0072,-0.0072,0.0036,-0.0036,0.0049,-0.0049
0.8,0.75,0.85,0.0144,0.0065,-0.0065,0.0029,-0.0029,0.005,-0.005
0.8999999999999999,0.85,0.95,0.0188,0.0099,-0.0099,0.003,-0.003,0.0059,-0.0059
1.0,0.95,1.05,0.032,0.012,-0.012,0.003,-0.003,0.008,-0.008
1.1,1.05,1.15,0.03,0.01,-0.01,0,0,0.01,-0.01
1.2,1.15,1.25,0.03,0.01,-0.01,0,0,0.01,-0.01
1.3,1.25,1.35,0.038,0.014,-0.014,0.005,-0.005,0.014,-0.014
1.4,1.35,1.45,0.041,0.018,-0.018,0.004,-0.004,0.015,-0.015
1.5,1.45,1.55,0.053,0.012,-0.012,0.005,-0.005,0.015,-0.015
1.6,1.55,1.65,0.03,0.01,-0.01,0,0,0.02,-0.02
1.7,1.65,1.75,0.0448,0.0092,-0.0092,0.0061,-0.0061,0.0209,-0.0209
1.8,1.75,1.85,0.087,0.016,-0.016,0.008,-0.008,0.025,-0.025
1.9,1.85,1.95,0.08,0.018,-0.018,0.009,-0.009,0.026,-0.026
2.0,1.95,2.05,0.065,0.017,-0.017,0.009,-0.009,0.026,-0.026
2.0999999999999996,2.05,2.15,0.068,0.016,-0.016,0.008,-0.008,0.024,-0.024
2.2,2.15,2.25,0.113,0.021,-0.021,0.009,-0.009,0.023,-0.023
2.3,2.25,2.35,0.057,0.018,-0.018,0.006,-0.006,0.021,-0.021
2.4000000000000004,2.35,2.45,0.116,0.018,-0.018,0.008,-0.008,0.02,-0.02
2.5,2.45,2.55,0.129,0.025,-0.025,0.009,-0.009,0.021,-0.021
2.5999999999999996,2.55,2.65,0.137,0.019,-0.019,0.009,-0.009,0.022,-0.022
2.7,2.65,2.75,0.13,0.02,-0.02,0.01,-0.01,0.03,-0.03
2.8,2.75,2.85,0.188,0.025,-0.025,0.012,-0.012,0.027,-0.027
2.9000000000000004,2.85,2.95,0.234,0.022,-0.022,0.013,-0.013,0.028,-0.028

