#: table_doi: 10.17182/hepdata.90831.v1/t206
#: name: table no 206
#: description: $\frac{1}{N_{ch}} \frac{dN_{ch}}{dp_{t}}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,low thrust(T<0.75),toward region,$0GeV<p_{T}^{Z}<10GeV$

#: data_file: table_no_206.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$p_{T}$ [GeV],Bin limits$p_{T}$ [GeV] LOW,Bin limits$p_{T}$ [GeV] HIGH,$1/N_{ch} dN_{ch}/d(p_{T})$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.5,0.45,0.55,0.9274,0.0017,-0.0017,0.0126,-0.0126,0.0031,-0.0031
0.6000000000000001,0.55,0.65,1.5832,0.0024,-0.0024,0.0214,-0.0214,0.0026,-0.0026
0.7,0.65,0.75,1.2745,0.0021,-0.0021,0.0172,-0.0172,0.0023,-0.0023
0.8,0.75,0.85,1.034,0.002,-0.002,0.014,-0.014,0.001,-0.001
0.8999999999999999,0.85,0.95,0.8511,0.0017,-0.0017,0.0113,-0.0113,0.0008,-0.0008
1.0,0.95,1.05,0.6951,0.0017,-0.0017,0.0096,-0.0096,0.0007,-0.0007
1.1,1.05,1.15,0.5744,0.0016,-0.0016,0.0077,-0.0077,0.0007,-0.0007
1.2,1.15,1.25,0.4706,0.0015,-0.0015,0.0064,-0.0064,0.0004,-0.0004
1.3,1.25,1.35,0.3899,0.0015,-0.0015,0.0052,-0.0052,0.0006,-0.0006
1.4,1.35,1.45,0.3273,0.0013,-0.0013,0.0044,-0.0044,0.0007,-0.0007
1.5,1.45,1.55,0.2737,0.0012,-0.0012,0.0037,-0.0037,0.0008,-0.0008
1.6,1.55,1.65,0.2297,0.0011,-0.0011,0.0031,-0.0031,0.0007,-0.0007
1.7,1.65,1.75,0.1938,0.0011,-0.0011,0.0027,-0.0027,0.0008,-0.0008
1.8,1.75,1.85,0.162,0.001,-0.001,0.002,-0.002,0.001,-0.001
1.9,1.85,1.95,0.1373,0.0009,-0.0009,0.0018,-0.0018,0.0005,-0.0005
2.0,1.95,2.05,0.11794,0.00083,-0.00083,0.00162,-0.00162,0.00043,-0.00043
2.0999999999999996,2.05,2.15,0.10069,0.00082,-0.00082,0.0014,-0.0014,0.00038,-0.00038
2.2,2.15,2.25,0.08462,0.00075,-0.00075,0.0013,-0.0013,0.00038,-0.00038
2.3,2.25,2.35,0.07215,0.00064,-0.00064,0.00098,-0.00098,0.0003,-0.0003
2.4000000000000004,2.35,2.45,0.0621,0.0006,-0.0006,0.0009,-0.0009,0.0003,-0.0003
2.5,2.45,2.55,0.05337,0.00057,-0.00057,0.00082,-0.00082,0.00021,-0.00021
2.5999999999999996,2.55,2.65,0.04583,0.00049,-0.00049,0.00063,-0.00063,0.00024,-0.00024
2.7,2.65,2.75,0.03987,0.00044,-0.00044,0.00077,-0.00077,0.00029,-0.00029
2.8,2.75,2.85,0.03509,0.00044,-0.00044,0.00052,-0.00052,0.00028,-0.00028
2.9000000000000004,2.85,2.95,0.02983,0.00039,-0.00039,0.00061,-0.00061,0.00021,-0.00021
3.0,2.95,3.05,0.02589,0.00036,-0.00036,0.00036,-0.00036,0.00015,-0.00015
3.0999999999999996,3.05,3.15,0.02236,0.00035,-0.00035,0.00062,-0.00062,0.00014,-0.00014
3.2,3.15,3.25,0.01983,0.00029,-0.00029,0.00029,-0.00029,0.00014,-0.00014
3.3,3.25,3.35,0.01769,0.00028,-0.00028,0.00029,-0.00029,0.00011,-0.00011
3.4000000000000004,3.35,3.45,0.015,0.00025,-0.00025,0.00022,-0.00022,0.00012,-0.00012
3.5,3.45,3.55,0.01367,0.00024,-0.00024,0.00022,-0.00022,9e-05,-9e-05
3.5999999999999996,3.55,3.65,0.01221,0.00022,-0.00022,0.00023,-0.00023,0.0001,-0.0001
3.7,3.65,3.75,0.01072,0.00022,-0.00022,0.00016,-0.00016,9e-05,-9e-05
3.8,3.75,3.85,0.00962,0.00019,-0.00019,0.00017,-0.00017,9e-05,-9e-05
3.9000000000000004,3.85,3.95,0.00813,0.00018,-0.00018,0.00022,-0.00022,0.0001,-0.0001
4.0,3.95,4.05,0.00698,0.00018,-0.00018,0.00012,-0.00012,8e-05,-8e-05
4.1,4.05,4.15,0.00662,0.00016,-0.00016,0.00014,-0.00014,8e-05,-8e-05
