#: table_doi: 10.17182/hepdata.90831.v1/t207
#: name: table no 207
#: description: Figure 03a from auxiliary figures,  ptSpec toward_zptregion2 low thrust, $\frac{1}{N_{ch}} \frac{dN_{ch}}{dp_{t}}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,low thrust(T<0.75),toward region,$10GeV<p_{T}^{Z}<20GeV$

#: data_file: table_no_207.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$p_{T}$ [GeV],Bin limits$p_{T}$ [GeV] LOW,Bin limits$p_{T}$ [GeV] HIGH,$1/N_{ch} dN_{ch}/d(p_{T})$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.5,0.45,0.55,0.9078,0.0021,-0.0021,0.0083,-0.0083,0.0031,-0.0031
0.6000000000000001,0.55,0.65,1.5559,0.0027,-0.0027,0.0122,-0.0122,0.0026,-0.0026
0.7,0.65,0.75,1.2504,0.0026,-0.0026,0.0097,-0.0097,0.0023,-0.0023
0.8,0.75,0.85,1.0251,0.0026,-0.0026,0.0079,-0.0079,0.0013,-0.0013
0.8999999999999999,0.85,0.95,0.8355,0.0023,-0.0023,0.0067,-0.0067,0.0014,-0.0014
1.0,0.95,1.05,0.695,0.0021,-0.0021,0.0058,-0.0058,0.0012,-0.0012
1.1,1.05,1.15,0.571,0.002,-0.002,0.004,-0.004,0.001,-0.001
1.2,1.15,1.25,0.473,0.0019,-0.0019,0.0037,-0.0037,0.001,-0.001
1.3,1.25,1.35,0.3985,0.0018,-0.0018,0.003,-0.003,0.001,-0.001
1.4,1.35,1.45,0.3318,0.0017,-0.0017,0.0032,-0.0032,0.001,-0.001
1.5,1.45,1.55,0.2773,0.0015,-0.0015,0.0025,-0.0025,0.0009,-0.0009
1.6,1.55,1.65,0.2314,0.0015,-0.0015,0.0024,-0.0024,0.0008,-0.0008
1.7,1.65,1.75,0.2014,0.0014,-0.0014,0.0019,-0.0019,0.0006,-0.0006
1.8,1.75,1.85,0.1644,0.0012,-0.0012,0.0014,-0.0014,0.0005,-0.0005
1.9,1.85,1.95,0.1436,0.0012,-0.0012,0.0011,-0.0011,0.0005,-0.0005
2.0,1.95,2.05,0.1214,0.0011,-0.0011,0.0011,-0.0011,0.0006,-0.0006
2.0999999999999996,2.05,2.15,0.101,0.001,-0.001,0.001,-0.001,0,0
2.2,2.15,2.25,0.08848,0.00091,-0.00091,0.00069,-0.00069,0.00037,-0.00037
2.3,2.25,2.35,0.07633,0.00083,-0.00083,0.00061,-0.00061,0.00039,-0.00039
2.4000000000000004,2.35,2.45,0.06572,0.00081,-0.00081,0.00081,-0.00081,0.0004,-0.0004
2.5,2.45,2.55,0.05688,0.00072,-0.00072,0.00057,-0.00057,0.00035,-0.00035
2.5999999999999996,2.55,2.65,0.04922,0.00066,-0.00066,0.00058,-0.00058,0.00031,-0.00031
2.7,2.65,2.75,0.04324,0.00061,-0.00061,0.00073,-0.00073,0.00027,-0.00027
2.8,2.75,2.85,0.03689,0.00057,-0.00057,0.00045,-0.00045,0.00029,-0.00029
2.9000000000000004,2.85,2.95,0.03302,0.00055,-0.00055,0.00038,-0.00038,0.00025,-0.00025
3.0,2.95,3.05,0.0283,0.0005,-0.0005,0.0004,-0.0004,0.0002,-0.0002
