#: table_doi: 10.17182/hepdata.90831.v1/t212
#: name: table no 212
#: description: Figure 03c from auxiliary figures,  ptSpec toward_zptregion7 low thrust, $\frac{1}{N_{ch}} \frac{dN_{ch}}{dp_{t}}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,low thrust(T<0.75),toward region,$120GeV<p_{T}^{Z}<200GeV$

#: data_file: table_no_212.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$p_{T}$ [GeV],Bin limits$p_{T}$ [GeV] LOW,Bin limits$p_{T}$ [GeV] HIGH,$1/N_{ch} dN_{ch}/d(p_{T})$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.5,0.45,0.55,0.808,0.018,-0.018,0.025,-0.025,0.008,-0.008
0.6000000000000001,0.55,0.65,1.449,0.025,-0.025,0.014,-0.014,0.008,-0.008
0.7,0.65,0.75,1.157,0.022,-0.022,0.027,-0.027,0.009,-0.009
0.8,0.75,0.85,0.95,0.021,-0.021,0.016,-0.016,0.007,-0.007
0.8999999999999999,0.85,0.95,0.76,0.019,-0.019,0.04,-0.04,0.009,-0.009
1.0,0.95,1.05,0.7,0.02,-0.02,0.02,-0.02,0.01,-0.01
1.1,1.05,1.15,0.548,0.018,-0.018,0.008,-0.008,0.009,-0.009
1.2,1.15,1.25,0.436,0.015,-0.015,0.048,-0.048,0.006,-0.006
1.3,1.25,1.35,0.402,0.016,-0.016,0.004,-0.004,0.005,-0.005
1.4,1.35,1.45,0.33,0.013,-0.013,0.021,-0.021,0.005,-0.005
1.5,1.45,1.55,0.288,0.015,-0.015,0.004,-0.004,0.006,-0.006
1.6,1.55,1.65,0.234,0.014,-0.014,0.017,-0.017,0.006,-0.006
1.7,1.65,1.75,0.249,0.013,-0.013,0.021,-0.021,0.006,-0.006
1.8,1.75,1.85,0.171,0.011,-0.011,0.025,-0.025,0.005,-0.005
1.9,1.85,1.95,0.1397,0.0098,-0.0098,0.0145,-0.0145,0.0048,-0.0048
2.0,1.95,2.05,0.1404,0.0097,-0.0097,0.0043,-0.0043,0.0047,-0.0047
2.0999999999999996,2.05,2.15,0.1339,0.0094,-0.0094,0.0021,-0.0021,0.004,-0.004
2.2,2.15,2.25,0.0923,0.0084,-0.0084,0.007,-0.007,0.0037,-0.0037
2.3,2.25,2.35,0.097,0.0082,-0.0082,0.0062,-0.0062,0.0037,-0.0037
2.4000000000000004,2.35,2.45,0.0875,0.0081,-0.0081,0.0023,-0.0023,0.0042,-0.0042
2.5,2.45,2.55,0.0804,0.0077,-0.0077,0.0037,-0.0037,0.0041,-0.0041
2.5999999999999996,2.55,2.65,0.0583,0.0069,-0.0069,0.0059,-0.0059,0.0032,-0.0032
2.7,2.65,2.75,0.0507,0.0057,-0.0057,0.0013,-0.0013,0.0029,-0.0029
2.8,2.75,2.85,0.0463,0.0057,-0.0057,0.0016,-0.0016,0.0025,-0.0025
2.9000000000000004,2.85,2.95,0.0469,0.0053,-0.0053,0.0031,-0.0031,0.0023,-0.0023
3.0,2.95,3.05,0.041,0.0049,-0.0049,0.001,-0.001,0.0023,-0.0023
