#: table_doi: 10.17182/hepdata.90831.v1/t217
#: name: table no 217
#: description: $\frac{1}{N_{ch}} \frac{dN_{ch}}{dp_{t}}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,low thrust(T<0.75),transverse region,$40GeV<p_{T}^{Z}<60GeV$

#: data_file: table_no_217.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$p_{T}$ [GeV],Bin limits$p_{T}$ [GeV] LOW,Bin limits$p_{T}$ [GeV] HIGH,$1/N_{ch} dN_{ch}/d(p_{T})$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.5,0.45,0.55,0.7894,0.0045,-0.0045,0.0103,-0.0103,0.0039,-0.0039
0.6000000000000001,0.55,0.65,1.3677,0.0057,-0.0057,0.0082,-0.0082,0.0041,-0.0041
0.7,0.65,0.75,1.1312,0.0056,-0.0056,0.0064,-0.0064,0.0032,-0.0032
0.8,0.75,0.85,0.9457,0.0049,-0.0049,0.0073,-0.0073,0.0028,-0.0028
0.8999999999999999,0.85,0.95,0.7859,0.0048,-0.0048,0.0044,-0.0044,0.0016,-0.0016
1.0,0.95,1.05,0.655,0.0045,-0.0045,0.0036,-0.0036,0.0015,-0.0015
1.1,1.05,1.15,0.5537,0.0043,-0.0043,0.0035,-0.0035,0.0011,-0.0011
1.2,1.15,1.25,0.4741,0.0041,-0.0041,0.0025,-0.0025,0.0014,-0.0014
1.3,1.25,1.35,0.4088,0.0039,-0.0039,0.0021,-0.0021,0.0014,-0.0014
1.4,1.35,1.45,0.3401,0.0036,-0.0036,0.0018,-0.0018,0.0019,-0.0019
1.5,1.45,1.55,0.2961,0.0034,-0.0034,0.0015,-0.0015,0.0015,-0.0015
1.6,1.55,1.65,0.2568,0.0033,-0.0033,0.0036,-0.0036,0.0013,-0.0013
1.7,1.65,1.75,0.2141,0.0032,-0.0032,0.0012,-0.0012,0.0009,-0.0009
1.8,1.75,1.85,0.1887,0.0029,-0.0029,0.0016,-0.0016,0.0009,-0.0009
1.9,1.85,1.95,0.1624,0.0027,-0.0027,0.0009,-0.0009,0.0011,-0.0011
2.0,1.95,2.05,0.1471,0.0026,-0.0026,0.0034,-0.0034,0.0011,-0.0011
2.0999999999999996,2.05,2.15,0.1269,0.0025,-0.0025,0.0047,-0.0047,0.0011,-0.0011
2.2,2.15,2.25,0.108,0.0021,-0.0021,0.0024,-0.0024,0.0008,-0.0008
2.3,2.25,2.35,0.0969,0.0021,-0.0021,0.0006,-0.0006,0.0007,-0.0007
2.4000000000000004,2.35,2.45,0.0862,0.0019,-0.0019,0.0005,-0.0005,0.0007,-0.0007
