#: table_doi: 10.17182/hepdata.90831.v1/t223
#: name: table no 223
#: description: Figure 06a,  ptSpec transmin_zptregion2 low thrust, $\frac{1}{N_{ch}} \frac{dN_{ch}}{dp_{t}}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,low thrust(T<0.75),transmin region,$10GeV<p_{T}^{Z}<20GeV$

#: data_file: table_no_223.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$p_{T}$ [GeV],Bin limits$p_{T}$ [GeV] LOW,Bin limits$p_{T}$ [GeV] HIGH,$1/N_{ch} dN_{ch}/d(p_{T})$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.5,0.45,0.55,0.982,0.0034,-0.0034,0.0096,-0.0096,0.0033,-0.0033
0.6000000000000001,0.55,0.65,1.6576,0.0043,-0.0043,0.0164,-0.0164,0.0029,-0.0029
0.7,0.65,0.75,1.3203,0.0039,-0.0039,0.0127,-0.0127,0.0021,-0.0021
0.8,0.75,0.85,1.0695,0.0038,-0.0038,0.0107,-0.0107,0.0019,-0.0019
0.8999999999999999,0.85,0.95,0.8585,0.0036,-0.0036,0.0082,-0.0082,0.0016,-0.0016
1.0,0.95,1.05,0.7019,0.0035,-0.0035,0.0084,-0.0084,0.0017,-0.0017
1.1,1.05,1.15,0.5631,0.0031,-0.0031,0.0057,-0.0057,0.0019,-0.0019
1.2,1.15,1.25,0.4728,0.0029,-0.0029,0.0044,-0.0044,0.0018,-0.0018
1.3,1.25,1.35,0.3831,0.0028,-0.0028,0.0051,-0.0051,0.0015,-0.0015
1.4,1.35,1.45,0.3159,0.0025,-0.0025,0.0035,-0.0035,0.0012,-0.0012
1.5,1.45,1.55,0.2645,0.0023,-0.0023,0.0026,-0.0026,0.0012,-0.0012
1.6,1.55,1.65,0.2137,0.0022,-0.0022,0.0027,-0.0027,0.0012,-0.0012
1.7,1.65,1.75,0.1804,0.0021,-0.0021,0.0021,-0.0021,0.0008,-0.0008
1.8,1.75,1.85,0.1534,0.0019,-0.0019,0.0015,-0.0015,0.0007,-0.0007
1.9,1.85,1.95,0.1239,0.0016,-0.0016,0.0012,-0.0012,0.0008,-0.0008
2.0,1.95,2.05,0.1038,0.0015,-0.0015,0.0016,-0.0016,0.0008,-0.0008
2.0999999999999996,2.05,2.15,0.0904,0.0015,-0.0015,0.001,-0.001,0.0008,-0.0008
2.2,2.15,2.25,0.0748,0.0013,-0.0013,0.0007,-0.0007,0.0006,-0.0006
2.3,2.25,2.35,0.0626,0.0012,-0.0012,0.0024,-0.0024,0.0005,-0.0005
2.4000000000000004,2.35,2.45,0.0577,0.0011,-0.0011,0.0006,-0.0006,0.0005,-0.0005
2.5,2.45,2.55,0.048,0.001,-0.001,0,0,0,0
2.5999999999999996,2.55,2.65,0.03792,0.00088,-0.00088,0.00101,-0.00101,0.00034,-0.00034
2.7,2.65,2.75,0.03177,0.00083,-0.00083,0.00053,-0.00053,0.00043,-0.00043
2.8,2.75,2.85,0.0305,0.0008,-0.0008,0.0012,-0.0012,0.0004,-0.0004
2.9000000000000004,2.85,2.95,0.02639,0.00072,-0.00072,0.00077,-0.00077,0.00049,-0.00049
3.0,2.95,3.05,0.02018,0.00066,-0.00066,0.00087,-0.00087,0.00043,-0.00043
3.0999999999999996,3.05,3.15,0.01898,0.00062,-0.00062,0.00067,-0.00067,0.00039,-0.00039
3.2,3.15,3.25,0.01664,0.00059,-0.00059,0.00113,-0.00113,0.00023,-0.00023
3.3,3.25,3.35,0.01311,0.00047,-0.00047,0.00061,-0.00061,0.00021,-0.00021
3.4000000000000004,3.35,3.45,0.01184,0.00047,-0.00047,0.00025,-0.00025,0.00021,-0.00021
3.5,3.45,3.55,0.01053,0.00046,-0.00046,0.00071,-0.00071,0.00023,-0.00023
3.5999999999999996,3.55,3.65,0.00866,0.00041,-0.00041,0.00076,-0.00076,0.00027,-0.00027
3.7,3.65,3.75,0.00825,0.00039,-0.00039,0.0007,-0.0007,0.00027,-0.00027
3.8,3.75,3.85,0.00773,0.00033,-0.00033,0.00051,-0.00051,0.00027,-0.00027
3.9000000000000004,3.85,3.95,0.00581,0.00028,-0.00028,0.0002,-0.0002,0.00023,-0.00023
4.0,3.95,4.05,0.00525,0.00029,-0.00029,0.00026,-0.00026,0.00019,-0.00019
4.1,4.05,4.15,0.00547,0.00031,-0.00031,0.00049,-0.00049,0.00015,-0.00015
4.2,4.15,4.25,0.00453,0.00027,-0.00027,0.00064,-0.00064,0.00014,-0.00014
4.3,4.25,4.35,0.00349,0.00024,-0.00024,0.00038,-0.00038,0.00012,-0.00012
4.4,4.35,4.45,0.00349,0.00024,-0.00024,4e-05,-4e-05,0.00012,-0.00012
4.5,4.45,4.55,0.00323,0.00024,-0.00024,0.0001,-0.0001,0.0001,-0.0001
4.6,4.55,4.65,0.0024,0.00018,-0.00018,0.00019,-0.00019,0.00012,-0.00012
4.7,4.65,4.75,0.00198,0.00019,-0.00019,0.00013,-0.00013,0.00012,-0.00012
4.8,4.75,4.85,0.00238,0.00016,-0.00016,0.00026,-0.00026,0.00014,-0.00014
4.9,4.85,4.95,0.00222,0.00016,-0.00016,0.00021,-0.00021,0.00015,-0.00015
5.0,4.95,5.05,0.00136,0.00017,-0.00017,0.00017,-0.00017,0.00011,-0.00011
5.1,5.05,5.15,0.00111,0.00012,-0.00012,0.0001,-0.0001,0.00011,-0.00011
5.2,5.15,5.25,0.00169,0.00016,-0.00016,0.00022,-0.00022,0.00011,-0.00011
5.3,5.25,5.35,0.00132,0.00013,-0.00013,0.00013,-0.00013,0.00015,-0.00015
5.4,5.35,5.45,0.00116,0.00013,-0.00013,5e-05,-5e-05,0.00012,-0.00012

