#: table_doi: 10.17182/hepdata.90831.v1/t228
#: name: table no 228
#: description: Figure 06c,  ptSpec transmin_zptregion7 low thrust, $\frac{1}{N_{ch}} \frac{dN_{ch}}{dp_{t}}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,low thrust(T<0.75),transmin region,$120GeV<p_{T}^{Z}<200GeV$

#: data_file: table_no_228.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$p_{T}$ [GeV],Bin limits$p_{T}$ [GeV] LOW,Bin limits$p_{T}$ [GeV] HIGH,$1/N_{ch} dN_{ch}/d(p_{T})$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.5,0.45,0.55,0.801,0.026,-0.026,0.008,-0.008,0.049,-0.049
0.6000000000000001,0.55,0.65,1.464,0.036,-0.036,0.013,-0.013,0.052,-0.052
0.7,0.65,0.75,1.165,0.033,-0.033,0.008,-0.008,0.053,-0.053
0.8,0.75,0.85,0.93,0.03,-0.03,0.02,-0.02,0.04,-0.04
0.8999999999999999,0.85,0.95,0.716,0.025,-0.025,0.068,-0.068,0.036,-0.036
1.0,0.95,1.05,0.618,0.027,-0.027,0.06,-0.06,0.03,-0.03
1.1,1.05,1.15,0.552,0.024,-0.024,0.047,-0.047,0.027,-0.027
1.2,1.15,1.25,0.452,0.023,-0.023,0.036,-0.036,0.023,-0.023
1.3,1.25,1.35,0.381,0.021,-0.021,0.018,-0.018,0.02,-0.02
1.4,1.35,1.45,0.33,0.02,-0.02,0,0,0.02,-0.02
1.5,1.45,1.55,0.31,0.02,-0.02,0.03,-0.03,0.01,-0.01
1.6,1.55,1.65,0.202,0.016,-0.016,0.011,-0.011,0.012,-0.012
1.7,1.65,1.75,0.185,0.016,-0.016,0.021,-0.021,0.01,-0.01
1.8,1.75,1.85,0.198,0.015,-0.015,0.003,-0.003,0.01,-0.01
1.9,1.85,1.95,0.142,0.013,-0.013,0.002,-0.002,0.012,-0.012
2.0,1.95,2.05,0.147,0.013,-0.013,0.02,-0.02,0.012,-0.012
2.0999999999999996,2.05,2.15,0.118,0.013,-0.013,0.015,-0.015,0.01,-0.01
2.2,2.15,2.25,0.126,0.012,-0.012,0.009,-0.009,0.008,-0.008
2.3,2.25,2.35,0.112,0.013,-0.013,0.007,-0.007,0.006,-0.006
2.4000000000000004,2.35,2.45,0.082,0.011,-0.011,0.021,-0.021,0.008,-0.008
2.5,2.45,2.55,0.1,0.011,-0.011,0.012,-0.012,0.006,-0.006
2.5999999999999996,2.55,2.65,0.059,0.0089,-0.0089,0.0224,-0.0224,0.0065,-0.0065
2.7,2.65,2.75,0.059,0.0088,-0.0088,0.0195,-0.0195,0.0045,-0.0045
2.8,2.75,2.85,0.056,0.008,-0.008,0.001,-0.001,0.004,-0.004
2.9000000000000004,2.85,2.95,0.0409,0.0071,-0.0071,0.006,-0.006,0.0037,-0.0037
3.0,2.95,3.05,0.0502,0.0075,-0.0075,0.0042,-0.0042,0.0036,-0.0036
3.0999999999999996,3.05,3.15,0.036,0.005,-0.005,0.002,-0.002,0.004,-0.004
3.2,3.15,3.25,0.0366,0.0055,-0.0055,0.007,-0.007,0.0042,-0.0042
3.3,3.25,3.35,0.042,0.008,-0.008,0.007,-0.007,0.004,-0.004
3.4000000000000004,3.35,3.45,0.0241,0.0048,-0.0048,0.0013,-0.0013,0.0037,-0.0037
3.5,3.45,3.55,0.0231,0.0042,-0.0042,0.0042,-0.0042,0.0036,-0.0036
3.5999999999999996,3.55,3.65,0.0442,0.0077,-0.0077,0.0052,-0.0052,0.0048,-0.0048
3.7,3.65,3.75,0.016,0.0052,-0.0052,0.0003,-0.0003,0.0041,-0.0041
3.8,3.75,3.85,0.022,0.0053,-0.0053,0.0011,-0.0011,0.0049,-0.0049
3.9000000000000004,3.85,3.95,0.0303,0.0071,-0.0071,0.0038,-0.0038,0.0049,-0.0049
4.0,3.95,4.05,0.0291,0.0072,-0.0072,0.0006,-0.0006,0.0048,-0.0048
4.1,4.05,4.15,0.0161,0.0045,-0.0045,0.002,-0.002,0.0044,-0.0044
4.2,4.15,4.25,0.017,0.0028,-0.0028,0.0022,-0.0022,0.0042,-0.0042
4.3,4.25,4.35,0.0124,0.0037,-0.0037,0.0024,-0.0024,0.0044,-0.0044
4.4,4.35,4.45,0.0162,0.0054,-0.0054,0.0016,-0.0016,0.004,-0.004
4.5,4.45,4.55,0.0067,0.0021,-0.0021,0.0035,-0.0035,0.0029,-0.0029
4.6,4.55,4.65,0.011,0.0037,-0.0037,0.0004,-0.0004,0.0031,-0.0031
4.7,4.65,4.75,0.0096,0.0034,-0.0034,0.0001,-0.0001,0.0024,-0.0024
4.8,4.75,4.85,0.0042,0.0021,-0.0021,0.0024,-0.0024,0.0041,-0.0041
4.9,4.85,4.95,0.009,0.004,-0.004,0.001,-0.001,0.003,-0.003
5.0,4.95,5.05,0.0014,0.00086,-0.00086,0.0001,-0.0001,0.0048,-0.0048
5.1,5.05,5.15,0.0123,0.0041,-0.0041,0.0006,-0.0006,0.0037,-0.0037
5.2,5.15,5.25,0.001,0.001,-0.001,0.002,-0.002,0.004,-0.004
5.3,5.25,5.35,0.0097,0.0031,-0.0031,0.0007,-0.0007,0.0039,-0.0039
5.4,5.35,5.45,0.0144,0.0046,-0.0046,0.0004,-0.0004,0.0043,-0.0043

