#: table_doi: 10.17182/hepdata.90831.v1/t229
#: name: table no 229
#: description: $\frac{1}{N_{ch}} \frac{dN_{ch}}{dp_{t}}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,low thrust(T<0.75),transmin region,$200GeV<p_{T}^{Z}<500GeV$

#: data_file: table_no_229.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$p_{T}$ [GeV],Bin limits$p_{T}$ [GeV] LOW,Bin limits$p_{T}$ [GeV] HIGH,$1/N_{ch} dN_{ch}/d(p_{T})$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.5,0.45,0.55,0.799,0.053,-0.053,0.12,-0.12,0.049,-0.049
0.6000000000000001,0.55,0.65,1.338,0.075,-0.075,0.142,-0.142,0.049,-0.049
0.7,0.65,0.75,1.1,0.07,-0.07,0.08,-0.08,0.05,-0.05
0.8,0.75,0.85,0.833,0.056,-0.056,0.154,-0.154,0.044,-0.044
0.8999999999999999,0.85,0.95,0.779,0.056,-0.056,0.029,-0.029,0.034,-0.034
1.0,0.95,1.05,0.665,0.055,-0.055,0.056,-0.056,0.019,-0.019
1.1,1.05,1.15,0.559,0.054,-0.054,0.064,-0.064,0.02,-0.02
1.2,1.15,1.25,0.416,0.053,-0.053,0.087,-0.087,0.021,-0.021
1.3,1.25,1.35,0.404,0.048,-0.048,0.054,-0.054,0.026,-0.026
1.4,1.35,1.45,0.234,0.038,-0.038,0.012,-0.012,0.024,-0.024
1.5,1.45,1.55,0.215,0.038,-0.038,0.01,-0.01,0.022,-0.022
1.6,1.55,1.65,0.263,0.044,-0.044,0.087,-0.087,0.022,-0.022
1.7,1.65,1.75,0.168,0.033,-0.033,0.052,-0.052,0.023,-0.023
1.8,1.75,1.85,0.186,0.032,-0.032,0.108,-0.108,0.023,-0.023
1.9,1.85,1.95,0.234,0.032,-0.032,0.005,-0.005,0.023,-0.023
2.0,1.95,2.05,0.14,0.03,-0.03,0.01,-0.01,0.02,-0.02
2.0999999999999996,2.05,2.15,0.102,0.022,-0.022,0.006,-0.006,0.021,-0.021
2.2,2.15,2.25,0.243,0.041,-0.041,0.096,-0.096,0.018,-0.018
2.3,2.25,2.35,0.09,0.025,-0.025,0.007,-0.007,0.018,-0.018
2.4000000000000004,2.35,2.45,0.073,0.022,-0.022,0.009,-0.009,0.02,-0.02
2.5,2.45,2.55,0.102,0.022,-0.022,0.024,-0.024,0.02,-0.02
2.5999999999999996,2.55,2.65,0.04,0.018,-0.018,0.001,-0.001,0.017,-0.017
2.7,2.65,2.75,0.046,0.019,-0.019,0.011,-0.011,0.018,-0.018
2.8,2.75,2.85,0.104,0.026,-0.026,0.028,-0.028,0.023,-0.023
2.9000000000000004,2.85,2.95,0.144,0.031,-0.031,0.029,-0.029,0.022,-0.022
3.0,2.95,3.05,0.047,0.017,-0.017,0.031,-0.031,0.019,-0.019
3.0999999999999996,3.05,3.15,0.055,0.015,-0.015,0.001,-0.001,0.014,-0.014
3.2,3.15,3.25,0.043,0.014,-0.014,0.03,-0.03,0.01,-0.01
3.3,3.25,3.35,0.0037,0.0069,-0.0069,0.0064,-0.0064,0.0244,-0.0244
3.4000000000000004,3.35,3.45,0.105,0.027,-0.027,0.009,-0.009,0.029,-0.029
3.5,3.45,3.55,0.0206,0.0094,-0.0094,0.0236,-0.0236,0.0274,-0.0274
3.5999999999999996,3.55,3.65,0.0009,0.0028,-0.0028,0.0027,-0.0027,0.0118,-0.0118
3.7,3.65,3.75,0.0066,0.0067,-0.0067,0.0014,-0.0014,0.004,-0.004
3.8,3.75,3.85,0.038,0.013,-0.013,0.008,-0.008,0.009,-0.009
3.9000000000000004,3.85,3.95,0.0077,0.0098,-0.0098,0.0011,-0.0011,0.0199,-0.0199
4.0,3.95,4.05,0.081,0.022,-0.022,0.011,-0.011,0.036,-0.036
4.1,4.05,4.15,0.062,0.019,-0.019,0.002,-0.002,0.034,-0.034
4.2,4.15,4.25,0,0.001,-0.001,0.033,-0.033,0.023,-0.023
4.3,4.25,4.35,0.0159,0.0062,-0.0062,0.0033,-0.0033,0.0067,-0.0067
4.4,4.35,4.45,0.0004,0.0035,-0.0035,0.0001,-0.0001,0.0068,-0.0068
4.5,4.45,4.55,0.0004,0.0011,-0.0011,0.0066,-0.0066,0.0029,-0.0029
4.6,4.55,4.65,0.0047,0.0024,-0.0024,0.0071,-0.0071,0.008,-0.008
4.7,4.65,4.75,0.0042,0.0041,-0.0041,0.0131,-0.0131,0.0099,-0.0099
4.8,4.75,4.85,0.007,0.0041,-0.0041,0.0048,-0.0048,0.0135,-0.0135
4.9,4.85,4.95,0.052,0.012,-0.012,0,0,0.009,-0.009
5.0,4.95,5.05,3e-05,0.00053,-0.00053,0.00113,-0.00113,0.00716,-0.00716
5.1,5.05,5.15,3e-05,0.00043,-0.00043,0.00033,-0.00033,0.00262,-0.00262
5.2,5.15,5.25,0.03,0.01,-0.01,0,0,0,0
5.3,5.25,5.35,0,1.1e-06,-1.1e-06,6e-05,-6e-05,0.00224,-0.00224
5.4,5.35,5.45,0,0.0016,-0.0016,0.0241,-0.0241,0.0022,-0.0022

