#: table_doi: 10.17182/hepdata.90831.v1/t230
#: name: table no 230
#: description: $\frac{1}{N_{ch}} \frac{dN_{ch}}{dp_{t}}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,low thrust(T<0.75),transmax region,$0GeV<p_{T}^{Z}<10GeV$

#: data_file: table_no_230.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$p_{T}$ [GeV],Bin limits$p_{T}$ [GeV] LOW,Bin limits$p_{T}$ [GeV] HIGH,$1/N_{ch} dN_{ch}/d(p_{T})$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.5,0.45,0.55,0.8549,0.0021,-0.0021,0.0089,-0.0089,0.0036,-0.0036
0.6000000000000001,0.55,0.65,1.4579,0.0029,-0.0029,0.0148,-0.0148,0.003,-0.003
0.7,0.65,0.75,1.2054,0.0026,-0.0026,0.0119,-0.0119,0.0025,-0.0025
0.8,0.75,0.85,0.9881,0.0025,-0.0025,0.0102,-0.0102,0.0013,-0.0013
0.8999999999999999,0.85,0.95,0.8299,0.0022,-0.0022,0.0087,-0.0087,0.001,-0.001
1.0,0.95,1.05,0.6903,0.0021,-0.0021,0.0072,-0.0072,0.0011,-0.0011
1.1,1.05,1.15,0.579,0.002,-0.002,0.006,-0.006,0.001,-0.001
1.2,1.15,1.25,0.486,0.002,-0.002,0.005,-0.005,0.001,-0.001
1.3,1.25,1.35,0.4078,0.0019,-0.0019,0.0044,-0.0044,0.001,-0.001
1.4,1.35,1.45,0.3464,0.0017,-0.0017,0.0038,-0.0038,0.0012,-0.0012
1.5,1.45,1.55,0.2903,0.0016,-0.0016,0.0029,-0.0029,0.0009,-0.0009
1.6,1.55,1.65,0.2479,0.0015,-0.0015,0.0025,-0.0025,0.001,-0.001
1.7,1.65,1.75,0.2116,0.0014,-0.0014,0.0024,-0.0024,0.0008,-0.0008
1.8,1.75,1.85,0.1815,0.0013,-0.0013,0.0024,-0.0024,0.0008,-0.0008
1.9,1.85,1.95,0.1538,0.0012,-0.0012,0.0021,-0.0021,0.0007,-0.0007
2.0,1.95,2.05,0.1343,0.0011,-0.0011,0.0014,-0.0014,0.0005,-0.0005
