#: table_doi: 10.17182/hepdata.90831.v1/t239
#: name: table no 239
#: description: $\frac{1}{N_{ch}} \frac{dN_{ch}}{dp_{t}}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,low thrust(T<0.75),away region,$10GeV<p_{T}^{Z}<20GeV$

#: data_file: table_no_239.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$p_{T}$ [GeV],Bin limits$p_{T}$ [GeV] LOW,Bin limits$p_{T}$ [GeV] HIGH,$1/N_{ch} dN_{ch}/d(p_{T})$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.5,0.45,0.55,0.8255,0.0019,-0.0019,0.0051,-0.0051,0.0029,-0.0029
0.6000000000000001,0.55,0.65,1.4273,0.0025,-0.0025,0.008,-0.008,0.0023,-0.0023
0.7,0.65,0.75,1.1687,0.0023,-0.0023,0.0065,-0.0065,0.002,-0.002
0.8,0.75,0.85,0.9657,0.0023,-0.0023,0.0054,-0.0054,0.0011,-0.0011
0.8999999999999999,0.85,0.95,0.805,0.002,-0.002,0.004,-0.004,0.001,-0.001
1.0,0.95,1.05,0.6731,0.0019,-0.0019,0.0038,-0.0038,0.0005,-0.0005
1.1,1.05,1.15,0.5633,0.0018,-0.0018,0.0035,-0.0035,0.0007,-0.0007
1.2,1.15,1.25,0.4758,0.0017,-0.0017,0.0034,-0.0034,0.0007,-0.0007
1.3,1.25,1.35,0.4004,0.0016,-0.0016,0.0026,-0.0026,0.0008,-0.0008
1.4,1.35,1.45,0.3385,0.0016,-0.0016,0.0019,-0.0019,0.0005,-0.0005
1.5,1.45,1.55,0.2915,0.0015,-0.0015,0.0019,-0.0019,0.0006,-0.0006
1.6,1.55,1.65,0.2487,0.0014,-0.0014,0.0015,-0.0015,0.0007,-0.0007
1.7,1.65,1.75,0.2148,0.0013,-0.0013,0.0013,-0.0013,0.0006,-0.0006
1.8,1.75,1.85,0.1823,0.0012,-0.0012,0.0012,-0.0012,0.0006,-0.0006
1.9,1.85,1.95,0.1582,0.0012,-0.0012,0.0013,-0.0013,0.0005,-0.0005
2.0,1.95,2.05,0.1384,0.0011,-0.0011,0.0015,-0.0015,0.0005,-0.0005
2.0999999999999996,2.05,2.15,0.118,0.001,-0.001,0.001,-0.001,0,0
2.2,2.15,2.25,0.10473,0.00087,-0.00087,0.00105,-0.00105,0.00033,-0.00033
2.3,2.25,2.35,0.09042,0.00084,-0.00084,0.00055,-0.00055,0.0003,-0.0003
2.4000000000000004,2.35,2.45,0.08058,0.00076,-0.00076,0.00049,-0.00049,0.00033,-0.00033
2.5,2.45,2.55,0.07139,0.00079,-0.00079,0.00045,-0.00045,0.00031,-0.00031
2.5999999999999996,2.55,2.65,0.0621,0.0007,-0.0007,0.0008,-0.0008,0.0003,-0.0003
2.7,2.65,2.75,0.05359,0.00063,-0.00063,0.00035,-0.00035,0.00025,-0.00025
2.8,2.75,2.85,0.04951,0.00062,-0.00062,0.00032,-0.00032,0.00022,-0.00022
2.9000000000000004,2.85,2.95,0.04331,0.00055,-0.00055,0.00038,-0.00038,0.0002,-0.0002
3.0,2.95,3.05,0.03915,0.00054,-0.00054,0.00031,-0.00031,0.00018,-0.00018
3.0999999999999996,3.05,3.15,0.03473,0.00048,-0.00048,0.00066,-0.00066,0.00018,-0.00018
3.2,3.15,3.25,0.03063,0.00044,-0.00044,0.00022,-0.00022,0.00017,-0.00017
3.3,3.25,3.35,0.02705,0.00041,-0.00041,0.00027,-0.00027,0.00016,-0.00016
3.4000000000000004,3.35,3.45,0.0246,0.0004,-0.0004,0.0002,-0.0002,0.0001,-0.0001
3.5,3.45,3.55,0.02324,0.00035,-0.00035,0.00036,-0.00036,0.0001,-0.0001
3.5999999999999996,3.55,3.65,0.02071,0.00035,-0.00035,0.00015,-0.00015,0.00011,-0.00011
3.7,3.65,3.75,0.01843,0.00034,-0.00034,0.00037,-0.00037,0.00013,-0.00013
3.8,3.75,3.85,0.01677,0.00033,-0.00033,0.0003,-0.0003,0.00013,-0.00013
3.9000000000000004,3.85,3.95,0.01542,0.00032,-0.00032,0.00019,-0.00019,0.00012,-0.00012
4.0,3.95,4.05,0.01429,0.00027,-0.00027,0.00018,-0.00018,0.00011,-0.00011
4.1,4.05,4.15,0.01357,0.00028,-0.00028,0.00027,-0.00027,0.0001,-0.0001
4.2,4.15,4.25,0.01134,0.00025,-0.00025,9e-05,-9e-05,0.00011,-0.00011
4.3,4.25,4.35,0.0101,0.00023,-0.00023,9e-05,-9e-05,0.0001,-0.0001
4.4,4.35,4.45,0.01024,0.00023,-0.00023,0.00017,-0.00017,8e-05,-8e-05
4.5,4.45,4.55,0.00952,0.00022,-0.00022,8e-05,-8e-05,6e-05,-6e-05
4.6,4.55,4.65,0.00794,0.00021,-0.00021,0.0002,-0.0002,7e-05,-7e-05
4.7,4.65,4.75,0.00747,0.00019,-0.00019,8e-05,-8e-05,7e-05,-7e-05
4.8,4.75,4.85,0.00661,0.00018,-0.00018,0.00013,-0.00013,7e-05,-7e-05
4.9,4.85,4.95,0.00638,0.00017,-0.00017,6e-05,-6e-05,6e-05,-6e-05
5.0,4.95,5.05,0.00656,0.00017,-0.00017,0.00023,-0.00023,7e-05,-7e-05
5.1,5.05,5.15,0.00578,0.00016,-0.00016,6e-05,-6e-05,6e-05,-6e-05
5.2,5.15,5.25,0.00546,0.00016,-0.00016,5e-05,-5e-05,7e-05,-7e-05
5.3,5.25,5.35,0.00478,0.00015,-0.00015,4e-05,-4e-05,6e-05,-6e-05
5.4,5.35,5.45,0.0041,0.00013,-0.00013,0.00011,-0.00011,6e-05,-6e-05

