#: table_doi: 10.17182/hepdata.90831.v1/t247
#: name: table no 247
#: description: Figure 05a from auxiliary figures,  nTracks toward_zptregion2 low thrust, $\frac{1}{N_{ev}} \frac{dN_{ev}}{dN_{ch}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.$,low thrust(T<0.75),toward region,$10GeV<p_{T}^{Z}<20GeV$

#: data_file: table_no_247.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$N_{ch}/(\delta\eta\delta\phi)$,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ LOW,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ HIGH,$1/N_{ev} dN_{ev}/d(N_{ch}/\delta\eta\delta\phi)$,statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.0,-0.05,0.05,0.0684,0.0031,-0.0031,0.0029,-0.0029,0.0051,-0.0051
0.095,0.05,0.14,0.1553,0.0043,-0.0043,0.002,-0.002,0.0068,-0.0068
0.19,0.14,0.24,0.2392,0.0043,-0.0043,0.0016,-0.0016,0.0113,-0.0113
0.28500000000000003,0.24,0.33,0.3511,0.0051,-0.0051,0.0035,-0.0035,0.0146,-0.0146
0.38,0.33,0.43,0.4344,0.0049,-0.0049,0.006,-0.006,0.016,-0.016
0.48,0.43,0.53,0.4932,0.0051,-0.0051,0.0042,-0.0042,0.0156,-0.0156
0.575,0.53,0.62,0.5501,0.0051,-0.0051,0.0128,-0.0128,0.0143,-0.0143
0.6699999999999999,0.62,0.72,0.577,0.0048,-0.0048,0.01,-0.01,0.0133,-0.0133
0.765,0.72,0.81,0.5851,0.0048,-0.0048,0.0071,-0.0071,0.0118,-0.0118
0.8600000000000001,0.81,0.91,0.5952,0.0046,-0.0046,0.01,-0.01,0.0093,-0.0093
0.9550000000000001,0.91,1.0,0.5979,0.0042,-0.0042,0.0045,-0.0045,0.0072,-0.0072
1.05,1.0,1.1,0.5832,0.0041,-0.0041,0.0077,-0.0077,0.0049,-0.0049
1.145,1.1,1.19,0.5677,0.0044,-0.0044,0.0076,-0.0076,0.0033,-0.0033
1.24,1.19,1.29,0.5284,0.0041,-0.0041,0.0017,-0.0017,0.0028,-0.0028
1.335,1.29,1.38,0.4849,0.0037,-0.0037,0.0028,-0.0028,0.0029,-0.0029
1.43,1.38,1.48,0.4474,0.0032,-0.0032,0.0011,-0.0011,0.0046,-0.0046
1.53,1.48,1.58,0.403,0.003,-0.003,0.001,-0.001,0.006,-0.006
1.625,1.58,1.67,0.3645,0.0029,-0.0029,0.0076,-0.0076,0.0078,-0.0078
1.72,1.67,1.77,0.327,0.003,-0.003,0.009,-0.009,0.007,-0.007
1.815,1.77,1.86,0.2906,0.0027,-0.0027,0.0007,-0.0007,0.0069,-0.0069
1.9100000000000001,1.86,1.96,0.257,0.0025,-0.0025,0.0058,-0.0058,0.0072,-0.0072
2.005,1.96,2.05,0.2338,0.0023,-0.0023,0.0069,-0.0069,0.0082,-0.0082
2.0999999999999996,2.05,2.15,0.2056,0.0022,-0.0022,0.0068,-0.0068,0.0082,-0.0082
2.1950000000000003,2.15,2.24,0.176,0.002,-0.002,0.004,-0.004,0.008,-0.008
2.29,2.24,2.34,0.1515,0.0019,-0.0019,0.0015,-0.0015,0.007,-0.007
2.3899999999999997,2.34,2.44,0.1353,0.0018,-0.0018,0.0043,-0.0043,0.0064,-0.0064
2.485,2.44,2.53,0.1108,0.0017,-0.0017,0.0046,-0.0046,0.0061,-0.0061
2.58,2.53,2.63,0.0948,0.0015,-0.0015,0.0022,-0.0022,0.0068,-0.0068
2.7249999999999996,2.63,2.82,0.073,0.0013,-0.0013,0.0016,-0.0016,0.0038,-0.0038
2.915,2.82,3.01,0.051,0.001,-0.001,0,0,0.004,-0.004
3.105,3.01,3.2,0.03354,0.00085,-0.00085,0.00181,-0.00181,0.00308,-0.00308
3.295,3.2,3.39,0.02321,0.00067,-0.00067,0.00114,-0.00114,0.00232,-0.00232
3.4850000000000003,3.39,3.58,0.01582,0.00056,-0.00056,0.00095,-0.00095,0.00192,-0.00192
3.725,3.58,3.87,0.01062,0.00045,-0.00045,0.0015,-0.0015,0.00105,-0.00105
4.105,3.87,4.34,0.0052,0.0003,-0.0003,0.0013,-0.0013,0.0005,-0.0005

