#: table_doi: 10.17182/hepdata.90831.v1/t250
#: name: table no 250
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{dN_{ch}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.$,low thrust(T<0.75),toward region,$60GeV<p_{T}^{Z}<80GeV$

#: data_file: table_no_250.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$N_{ch}/(\delta\eta\delta\phi)$,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ LOW,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ HIGH,$1/N_{ev} dN_{ev}/d(N_{ch}/\delta\eta\delta\phi)$,statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.0,-0.05,0.05,0.039,0.0093,-0.0093,0.0101,-0.0101,0.0099,-0.0099
0.095,0.05,0.14,0.14,0.016,-0.016,0.008,-0.008,0.01,-0.01
0.19,0.14,0.24,0.167,0.017,-0.017,0.017,-0.017,0.013,-0.013
0.28500000000000003,0.24,0.33,0.216,0.013,-0.013,0.013,-0.013,0.01,-0.01
0.38,0.33,0.43,0.266,0.016,-0.016,0.024,-0.024,0.011,-0.011
0.48,0.43,0.53,0.321,0.016,-0.016,0.014,-0.014,0.013,-0.013
0.575,0.53,0.62,0.409,0.022,-0.022,0.019,-0.019,0.018,-0.018
0.6699999999999999,0.62,0.72,0.404,0.017,-0.017,0.023,-0.023,0.023,-0.023
0.765,0.72,0.81,0.47,0.02,-0.02,0.01,-0.01,0.03,-0.03
0.8600000000000001,0.81,0.91,0.512,0.019,-0.019,0.019,-0.019,0.025,-0.025
0.9550000000000001,0.91,1.0,0.559,0.021,-0.021,0.045,-0.045,0.021,-0.021
1.05,1.0,1.1,0.56,0.02,-0.02,0.04,-0.04,0.02,-0.02
1.145,1.1,1.19,0.554,0.018,-0.018,0.022,-0.022,0.016,-0.016
1.24,1.19,1.29,0.549,0.017,-0.017,0.013,-0.013,0.014,-0.014
1.335,1.29,1.38,0.522,0.019,-0.019,0.015,-0.015,0.013,-0.013
1.43,1.38,1.48,0.468,0.017,-0.017,0.068,-0.068,0.013,-0.013
1.53,1.48,1.58,0.455,0.016,-0.016,0.012,-0.012,0.014,-0.014
1.625,1.58,1.67,0.41,0.014,-0.014,0.01,-0.01,0.014,-0.014
1.72,1.67,1.77,0.404,0.016,-0.016,0.011,-0.011,0.013,-0.013
1.815,1.77,1.86,0.358,0.012,-0.012,0.007,-0.007,0.012,-0.012
1.9100000000000001,1.86,1.96,0.353,0.015,-0.015,0.025,-0.025,0.012,-0.012
2.005,1.96,2.05,0.308,0.014,-0.014,0.021,-0.021,0.013,-0.013
2.0999999999999996,2.05,2.15,0.277,0.012,-0.012,0.027,-0.027,0.011,-0.011
2.1950000000000003,2.15,2.24,0.23,0.01,-0.01,0.01,-0.01,0.01,-0.01
2.29,2.24,2.34,0.2,0.01,-0.01,0.01,-0.01,0.01,-0.01
2.3899999999999997,2.34,2.44,0.184,0.009,-0.009,0.005,-0.005,0.011,-0.011
2.485,2.44,2.53,0.1352,0.0078,-0.0078,0.004,-0.004,0.0137,-0.0137
2.58,2.53,2.63,0.1486,0.0091,-0.0091,0.0258,-0.0258,0.0128,-0.0128
2.7249999999999996,2.63,2.82,0.1171,0.0075,-0.0075,0.002,-0.002,0.0094,-0.0094
2.915,2.82,3.01,0.1088,0.0084,-0.0084,0.0025,-0.0025,0.0084,-0.0084
3.105,3.01,3.2,0.0684,0.0057,-0.0057,0.0043,-0.0043,0.008,-0.008
3.295,3.2,3.39,0.0411,0.0042,-0.0042,0.0014,-0.0014,0.0065,-0.0065
3.4850000000000003,3.39,3.58,0.0271,0.0051,-0.0051,0.0026,-0.0026,0.0051,-0.0051
3.725,3.58,3.87,0.0163,0.0027,-0.0027,0.0084,-0.0084,0.0036,-0.0036
4.105,3.87,4.34,0.0146,0.0028,-0.0028,0.0019,-0.0019,0.0016,-0.0016

