#: table_doi: 10.17182/hepdata.90831.v1/t255
#: name: table no 255
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{dN_{ch}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.$,low thrust(T<0.75),transverse region,$10GeV<p_{T}^{Z}<20GeV$

#: data_file: table_no_255.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$N_{ch}/(\delta\eta\delta\phi)$,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ LOW,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ HIGH,$1/N_{ev} dN_{ev}/d(N_{ch}/\delta\eta\delta\phi)$,statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.0,-0.05,0.05,0.00417,0.00079,-0.00079,0.0008,-0.0008,0.00144,-0.00144
0.095,0.05,0.14,0.0449,0.0023,-0.0023,0.0044,-0.0044,0.0029,-0.0029
0.19,0.14,0.24,0.117,0.0034,-0.0034,0.0076,-0.0076,0.0067,-0.0067
0.28500000000000003,0.24,0.33,0.2035,0.0038,-0.0038,0.0027,-0.0027,0.0115,-0.0115
0.38,0.33,0.43,0.3133,0.0044,-0.0044,0.0044,-0.0044,0.015,-0.015
0.48,0.43,0.53,0.4117,0.0043,-0.0043,0.0023,-0.0023,0.017,-0.017
0.575,0.53,0.62,0.4897,0.0046,-0.0046,0.0083,-0.0083,0.0167,-0.0167
0.6699999999999999,0.62,0.72,0.5509,0.0049,-0.0049,0.011,-0.011,0.0157,-0.0157
0.765,0.72,0.81,0.5832,0.0047,-0.0047,0.0201,-0.0201,0.014,-0.014
0.8600000000000001,0.81,0.91,0.6045,0.0046,-0.0046,0.0059,-0.0059,0.0128,-0.0128
0.9550000000000001,0.91,1.0,0.6183,0.0045,-0.0045,0.01,-0.01,0.0106,-0.0106
1.05,1.0,1.1,0.6092,0.0045,-0.0045,0.008,-0.008,0.0081,-0.0081
1.145,1.1,1.19,0.5982,0.0041,-0.0041,0.0096,-0.0096,0.0056,-0.0056
1.24,1.19,1.29,0.5706,0.0039,-0.0039,0.0036,-0.0036,0.0038,-0.0038
1.335,1.29,1.38,0.5382,0.0039,-0.0039,0.0033,-0.0033,0.0035,-0.0035
1.43,1.38,1.48,0.4995,0.0037,-0.0037,0.0128,-0.0128,0.0034,-0.0034
1.53,1.48,1.58,0.4531,0.0034,-0.0034,0.014,-0.014,0.0047,-0.0047
1.625,1.58,1.67,0.4105,0.0031,-0.0031,0.0089,-0.0089,0.0067,-0.0067
1.72,1.67,1.77,0.374,0.003,-0.003,0.007,-0.007,0.008,-0.008
1.815,1.77,1.86,0.3274,0.0026,-0.0026,0.012,-0.012,0.0084,-0.0084
1.9100000000000001,1.86,1.96,0.2949,0.0026,-0.0026,0.0087,-0.0087,0.0087,-0.0087
2.005,1.96,2.05,0.2633,0.0025,-0.0025,0.0113,-0.0113,0.0079,-0.0079
2.0999999999999996,2.05,2.15,0.2229,0.0022,-0.0022,0.0088,-0.0088,0.0074,-0.0074
2.1950000000000003,2.15,2.24,0.2002,0.0021,-0.0021,0.011,-0.011,0.0063,-0.0063
2.29,2.24,2.34,0.1739,0.0019,-0.0019,0.0078,-0.0078,0.0065,-0.0065
2.3899999999999997,2.34,2.44,0.1482,0.0018,-0.0018,0.0061,-0.0061,0.0065,-0.0065
2.485,2.44,2.53,0.1297,0.0017,-0.0017,0.0055,-0.0055,0.0063,-0.0063
2.58,2.53,2.63,0.1122,0.0015,-0.0015,0.005,-0.005,0.008,-0.008
2.7249999999999996,2.63,2.82,0.0868,0.0014,-0.0014,0.0008,-0.0008,0.0045,-0.0045
2.915,2.82,3.01,0.0639,0.0012,-0.0012,0.0013,-0.0013,0.0049,-0.0049
3.105,3.01,3.2,0.0463,0.00094,-0.00094,0.00116,-0.00116,0.00369,-0.00369
3.295,3.2,3.39,0.03294,0.00076,-0.00076,0.00076,-0.00076,0.00282,-0.00282
3.4850000000000003,3.39,3.58,0.02223,0.00065,-0.00065,0.00208,-0.00208,0.00226,-0.00226
3.725,3.58,3.87,0.01541,0.00055,-0.00055,0.00084,-0.00084,0.00148,-0.00148
4.105,3.87,4.34,0.00731,0.00036,-0.00036,0.0014,-0.0014,0.00074,-0.00074

