#: table_doi: 10.17182/hepdata.90831.v1/t262
#: name: table no 262
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{dN_{ch}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.$,low thrust(T<0.75),transmin region,$0GeV<p_{T}^{Z}<10GeV$

#: data_file: table_no_262.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$N_{ch}/(\delta\eta\delta\phi)$,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ LOW,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ HIGH,$1/N_{ev} dN_{ev}/d(N_{ch}/\delta\eta\delta\phi)$,statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.0,-0.1,0.1,0.24,0.003,-0.003,0.012,-0.012,0.016,-0.016
0.195,0.1,0.29,0.536,0.004,-0.004,0.022,-0.022,0.016,-0.016
0.385,0.29,0.48,0.6676,0.0035,-0.0035,0.0199,-0.0199,0.0158,-0.0158
0.575,0.48,0.67,0.6835,0.0032,-0.0032,0.0121,-0.0121,0.0117,-0.0117
0.765,0.67,0.86,0.6346,0.0029,-0.0029,0.0041,-0.0041,0.007,-0.007
0.9550000000000001,0.86,1.05,0.5494,0.0025,-0.0025,0.0039,-0.0039,0.0045,-0.0045
1.145,1.05,1.24,0.4561,0.0021,-0.0021,0.0119,-0.0119,0.0039,-0.0039
1.335,1.24,1.43,0.3627,0.0018,-0.0018,0.0165,-0.0165,0.0056,-0.0056
1.525,1.43,1.62,0.2826,0.0016,-0.0016,0.0165,-0.0165,0.0067,-0.0067
1.715,1.62,1.81,0.2175,0.0014,-0.0014,0.0149,-0.0149,0.0078,-0.0078
1.91,1.81,2.01,0.1629,0.0012,-0.0012,0.0128,-0.0128,0.0074,-0.0074
2.105,2.01,2.2,0.122,0.001,-0.001,0.008,-0.008,0.006,-0.006
2.295,2.2,2.39,0.08936,0.00083,-0.00083,0.00201,-0.00201,0.00526,-0.00526
2.4850000000000003,2.39,2.58,0.06643,0.00075,-0.00075,0.001,-0.001,0.00462,-0.00462
2.675,2.58,2.77,0.04967,0.00062,-0.00062,0.00182,-0.00182,0.00405,-0.00405
2.865,2.77,2.96,0.0337,0.0005,-0.0005,0.0022,-0.0022,0.0033,-0.0033
3.0549999999999997,2.96,3.15,0.02454,0.00042,-0.00042,0.00324,-0.00324,0.00246,-0.00246
3.245,3.15,3.34,0.01708,0.00038,-0.00038,0.00246,-0.00246,0.002,-0.002
3.4349999999999996,3.34,3.53,0.01307,0.00033,-0.00033,0.00116,-0.00116,0.00157,-0.00157
3.625,3.53,3.72,0.0079,0.00023,-0.00023,0.00182,-0.00182,0.00116,-0.00116
3.8200000000000003,3.72,3.92,0.00658,0.00025,-0.00025,0.00119,-0.00119,0.0008,-0.0008
4.015000000000001,3.92,4.11,0.00465,0.00028,-0.00028,0.00026,-0.00026,0.00063,-0.00063
4.205,4.11,4.3,0.0031,0.00023,-0.00023,0.00017,-0.00017,0.00052,-0.00052

