#: table_doi: 10.17182/hepdata.90831.v1/t263
#: name: table no 263
#: description: Figure 07a,  nTracks transmin_zptregion2 low thrust, $\frac{1}{N_{ev}} \frac{dN_{ev}}{dN_{ch}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.$,low thrust(T<0.75),transmin region,$10GeV<p_{T}^{Z}<20GeV$

#: data_file: table_no_263.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$N_{ch}/(\delta\eta\delta\phi)$,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ LOW,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ HIGH,$1/N_{ev} dN_{ev}/d(N_{ch}/\delta\eta\delta\phi)$,statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.0,-0.1,0.1,0.157,0.0032,-0.0032,0.0081,-0.0081,0.0122,-0.0122
0.195,0.1,0.29,0.386,0.0045,-0.0045,0.0143,-0.0143,0.0144,-0.0144
0.385,0.29,0.48,0.5646,0.0046,-0.0046,0.0186,-0.0186,0.0167,-0.0167
0.575,0.48,0.67,0.636,0.004,-0.004,0.016,-0.016,0.013,-0.013
0.765,0.67,0.86,0.641,0.004,-0.004,0.007,-0.007,0.008,-0.008
0.9550000000000001,0.86,1.05,0.5948,0.0035,-0.0035,0.0027,-0.0027,0.0046,-0.0046
1.145,1.05,1.24,0.5121,0.0031,-0.0031,0.0094,-0.0094,0.0042,-0.0042
1.335,1.24,1.43,0.412,0.0027,-0.0027,0.0057,-0.0057,0.005,-0.005
1.525,1.43,1.62,0.3296,0.0023,-0.0023,0.0189,-0.0189,0.0069,-0.0069
1.715,1.62,1.81,0.2527,0.0021,-0.0021,0.0137,-0.0137,0.0072,-0.0072
1.91,1.81,2.01,0.1971,0.0017,-0.0017,0.0119,-0.0119,0.007,-0.007
2.105,2.01,2.2,0.1491,0.0015,-0.0015,0.0086,-0.0086,0.0063,-0.0063
2.295,2.2,2.39,0.1084,0.0013,-0.0013,0.0031,-0.0031,0.0056,-0.0056
2.4850000000000003,2.39,2.58,0.0815,0.0011,-0.0011,0.0011,-0.0011,0.0048,-0.0048
2.675,2.58,2.77,0.062,0.001,-0.001,0,0,0.004,-0.004
2.865,2.77,2.96,0.04531,0.00082,-0.00082,0.00088,-0.00088,0.00359,-0.00359
3.0549999999999997,2.96,3.15,0.03107,0.00066,-0.00066,0.00219,-0.00219,0.00293,-0.00293
3.245,3.15,3.34,0.02346,0.00058,-0.00058,0.0005,-0.0005,0.00222,-0.00222
3.4349999999999996,3.34,3.53,0.0163,0.0005,-0.0005,0.0009,-0.0009,0.0015,-0.0015
3.625,3.53,3.72,0.01108,0.00042,-0.00042,0.00241,-0.00241,0.00117,-0.00117
3.8200000000000003,3.72,3.92,0.00858,0.00038,-0.00038,0.00127,-0.00127,0.00111,-0.00111
4.015000000000001,3.92,4.11,0.00479,0.00029,-0.00029,0.0019,-0.0019,0.00089,-0.00089
4.205,4.11,4.3,0.0045,0.00031,-0.00031,0.00027,-0.00027,0.0008,-0.0008

