#: table_doi: 10.17182/hepdata.90831.v1/t276
#: name: table no 276
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{dN_{ch}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.$,low thrust(T<0.75),transmax region,$120GeV<p_{T}^{Z}<200GeV$

#: data_file: table_no_276.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$N_{ch}/(\delta\eta\delta\phi)$,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ LOW,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ HIGH,$1/N_{ev} dN_{ev}/d(N_{ch}/\delta\eta\delta\phi)$,statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.0,-0.1,0.1,0,0,0,0.000434,-0.000434,0.00058,-0.00058
0.195,0.1,0.29,0.0004,0.0024,-0.0024,0.0023,-0.0023,0.0054,-0.0054
0.385,0.29,0.48,0.026,0.011,-0.011,0.004,-0.004,0.011,-0.011
0.575,0.48,0.67,0.108,0.022,-0.022,0.016,-0.016,0.016,-0.016
0.765,0.67,0.86,0.077,0.015,-0.015,0.02,-0.02,0.017,-0.017
0.9550000000000001,0.86,1.05,0.122,0.016,-0.016,0.014,-0.014,0.019,-0.019
1.145,1.05,1.24,0.173,0.018,-0.018,0.014,-0.014,0.019,-0.019
1.335,1.24,1.43,0.267,0.028,-0.028,0.01,-0.01,0.019,-0.019
1.525,1.43,1.62,0.389,0.029,-0.029,0.042,-0.042,0.024,-0.024
1.715,1.62,1.81,0.358,0.029,-0.029,0.033,-0.033,0.026,-0.026
1.91,1.81,2.01,0.373,0.029,-0.029,0.008,-0.008,0.032,-0.032
2.105,2.01,2.2,0.335,0.025,-0.025,0.01,-0.01,0.026,-0.026
2.295,2.2,2.39,0.303,0.022,-0.022,0.036,-0.036,0.028,-0.028
2.4850000000000003,2.39,2.58,0.33,0.024,-0.024,0.061,-0.061,0.025,-0.025
2.675,2.58,2.77,0.364,0.028,-0.028,0.012,-0.012,0.03,-0.03
2.865,2.77,2.96,0.362,0.028,-0.028,0.086,-0.086,0.027,-0.027
3.0549999999999997,2.96,3.15,0.333,0.025,-0.025,0.012,-0.012,0.03,-0.03
3.245,3.15,3.34,0.197,0.017,-0.017,0.045,-0.045,0.029,-0.029
3.4349999999999996,3.34,3.53,0.201,0.019,-0.019,0.051,-0.051,0.036,-0.036
3.625,3.53,3.72,0.209,0.026,-0.026,0.025,-0.025,0.032,-0.032
3.8200000000000003,3.72,3.92,0.153,0.014,-0.014,0.021,-0.021,0.028,-0.028
4.015000000000001,3.92,4.11,0.076,0.013,-0.013,0.014,-0.014,0.024,-0.024
4.205,4.11,4.3,0.12,0.02,-0.02,0.05,-0.05,0.02,-0.02

