#: table_doi: 10.17182/hepdata.90831.v1/t285
#: name: table no 285
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{dN_{ch}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.$,low thrust(T<0.75),away region,$200GeV<p_{T}^{Z}<500GeV$

#: data_file: table_no_285.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$N_{ch}/(\delta\eta\delta\phi)$,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ LOW,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ HIGH,$1/N_{ev} dN_{ev}/d(N_{ch}/\delta\eta\delta\phi)$,statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.0,-0.05,0.05,0,0,0,0.000159,-0.000159,0,0
0.095,0.05,0.14,0,0,0,0.0001,-0.0001,0,0
0.19,0.14,0.24,0,0,0,0.000421,-0.000421,0,0
0.28500000000000003,0.24,0.33,0,0,0,0.000172,-0.000172,0.011336,-0.011336
0.38,0.33,0.43,0.059,0.045,-0.045,0,0,0.022,-0.022
0.48,0.43,0.53,0.178,0.079,-0.079,0.001,-0.001,0.028,-0.028
0.575,0.53,0.62,0.015,0.035,-0.035,0.001,-0.001,0.041,-0.041
0.6699999999999999,0.62,0.72,0.047,0.051,-0.051,0.001,-0.001,0.048,-0.048
0.765,0.72,0.81,0.141,0.076,-0.076,0.002,-0.002,0.054,-0.054
0.8600000000000001,0.81,0.91,0.12,0.076,-0.076,0.004,-0.004,0.057,-0.057
0.9550000000000001,0.91,1.0,0.053,0.059,-0.059,0.003,-0.003,0.063,-0.063
1.05,1.0,1.1,0.098,0.063,-0.063,0.007,-0.007,0.067,-0.067
1.145,1.1,1.19,0.032,0.037,-0.037,0.09,-0.09,0.049,-0.049
1.24,1.19,1.29,0.006,0.011,-0.011,0.005,-0.005,0.028,-0.028
1.335,1.29,1.38,0.001,0.013,-0.013,0.009,-0.009,0.018,-0.018
1.43,1.38,1.48,0.008,0.014,-0.014,0.007,-0.007,0.038,-0.038
1.53,1.48,1.58,0.28,0.12,-0.12,0.26,-0.26,0.06,-0.06
1.625,1.58,1.67,0.07,0.043,-0.043,0.052,-0.052,0.075,-0.075
1.72,1.67,1.77,0.078,0.075,-0.075,0.051,-0.051,0.111,-0.111
1.815,1.77,1.86,0.31,0.13,-0.13,0.01,-0.01,0.18,-0.18
1.9100000000000001,1.86,1.96,0.38,0.14,-0.14,0.03,-0.03,0.21,-0.21
2.005,1.96,2.05,0.195,0.078,-0.078,0.022,-0.022,0.225,-0.225
2.0999999999999996,2.05,2.15,0.056,0.052,-0.052,0.021,-0.021,0.179,-0.179
2.1950000000000003,2.15,2.24,0.24,0.12,-0.12,0.02,-0.02,0.15,-0.15
2.29,2.24,2.34,0.184,0.084,-0.084,0.075,-0.075,0.125,-0.125
2.3899999999999997,2.34,2.44,0.148,0.089,-0.089,0.099,-0.099,0.104,-0.104
2.485,2.44,2.53,0.213,0.078,-0.078,0.07,-0.07,0.107,-0.107
2.58,2.53,2.63,0.18,0.064,-0.064,0.054,-0.054,0.115,-0.115
2.7249999999999996,2.63,2.82,0.167,0.043,-0.043,0.017,-0.017,0.064,-0.064
2.915,2.82,3.01,0.66,0.14,-0.14,0.08,-0.08,0.1,-0.1
3.105,3.01,3.2,0.375,0.092,-0.092,0.168,-0.168,0.138,-0.138
3.295,3.2,3.39,0.41,0.083,-0.083,0.124,-0.124,0.129,-0.129
3.4850000000000003,3.39,3.58,0.259,0.069,-0.069,0.016,-0.016,0.112,-0.112
3.725,3.58,3.87,0.181,0.048,-0.048,0.047,-0.047,0.057,-0.057
4.105,3.87,4.34,0.183,0.044,-0.044,0.1,-0.1,0.037,-0.037

