#: table_doi: 10.17182/hepdata.90831.v1/t288
#: name: table no 288
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{d\Sigma p_{t}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,low thrust(T<0.75),toward region,$20GeV<p_{T}^{Z}<40GeV$

#: data_file: table_no_288.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV],Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] LOW,Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(\Sigma p_{T}/\delta\eta\delta\phi)$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.07,0,0.14,0.1686,0.0048,-0.0048,0.0033,-0.0033,0.0095,-0.0095
0.23500000000000001,0.14,0.33,0.2659,0.0048,-0.0048,0.007,-0.007,0.009,-0.009
0.43000000000000005,0.33,0.53,0.3912,0.0051,-0.0051,0.0042,-0.0042,0.0098,-0.0098
0.625,0.53,0.72,0.4527,0.0049,-0.0049,0.0036,-0.0036,0.01,-0.01
0.815,0.72,0.91,0.4839,0.0051,-0.0051,0.0044,-0.0044,0.0078,-0.0078
1.0050000000000001,0.91,1.1,0.4852,0.0046,-0.0046,0.0058,-0.0058,0.0067,-0.0067
1.195,1.1,1.29,0.4634,0.0042,-0.0042,0.0035,-0.0035,0.0042,-0.0042
1.385,1.29,1.48,0.4252,0.0042,-0.0042,0.0043,-0.0043,0.0038,-0.0038
1.575,1.48,1.67,0.365,0.004,-0.004,0.005,-0.005,0.003,-0.003
1.7650000000000001,1.67,1.86,0.314,0.0036,-0.0036,0.0034,-0.0034,0.0059,-0.0059
2.1,1.86,2.34,0.238,0.0025,-0.0025,0.0024,-0.0024,0.0032,-0.0032
2.5300000000000002,2.34,2.72,0.1567,0.0021,-0.0021,0.0032,-0.0032,0.0051,-0.0051
2.91,2.72,3.1,0.1061,0.0017,-0.0017,0.0012,-0.0012,0.0042,-0.0042
3.295,3.1,3.49,0.0624,0.0013,-0.0013,0.0018,-0.0018,0.0032,-0.0032
3.68,3.49,3.87,0.0395,0.0011,-0.0011,0.0007,-0.0007,0.0022,-0.0022
4.105,3.87,4.34,0.0243,0.00074,-0.00074,0.00075,-0.00075,0.0012,-0.0012
4.58,4.34,4.82,0.01416,0.00053,-0.00053,0.0006,-0.0006,0.00092,-0.00092
5.0600000000000005,4.82,5.3,0.00716,0.00042,-0.00042,0.00029,-0.00029,0.00065,-0.00065
5.54,5.3,5.78,0.0045,0.0003,-0.0003,0.0004,-0.0004,0.0006,-0.0006

