#: table_doi: 10.17182/hepdata.90831.v1/t294
#: name: table no 294
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{d\Sigma p_{t}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,low thrust(T<0.75),transverse region,$0GeV<p_{T}^{Z}<10GeV$

#: data_file: table_no_294.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV],Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] LOW,Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(\Sigma p_{T}/\delta\eta\delta\phi)$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.07,0,0.14,0.1189,0.0026,-0.0026,0.0106,-0.0106,0.0117,-0.0117
0.23500000000000001,0.14,0.33,0.3255,0.0033,-0.0033,0.0155,-0.0155,0.0113,-0.0113
0.43000000000000005,0.33,0.53,0.4869,0.0033,-0.0033,0.0116,-0.0116,0.0133,-0.0133
0.625,0.53,0.72,0.5579,0.0033,-0.0033,0.006,-0.006,0.0118,-0.0118
0.815,0.72,0.91,0.561,0.003,-0.003,0.003,-0.003,0.008,-0.008
1.0050000000000001,0.91,1.1,0.5302,0.0028,-0.0028,0.0009,-0.0009,0.0049,-0.0049
1.195,1.1,1.29,0.4778,0.0025,-0.0025,0.0049,-0.0049,0.0026,-0.0026
1.385,1.29,1.48,0.4159,0.0022,-0.0022,0.0086,-0.0086,0.0023,-0.0023
1.575,1.48,1.67,0.348,0.002,-0.002,0.006,-0.006,0.004,-0.004
1.7650000000000001,1.67,1.86,0.2876,0.0018,-0.0018,0.0065,-0.0065,0.0078,-0.0078
2.1,1.86,2.34,0.203,0.0013,-0.0013,0.008,-0.008,0.0039,-0.0039
2.5300000000000002,2.34,2.72,0.12364,0.00099,-0.00099,0.00365,-0.00365,0.00518,-0.00518
2.91,2.72,3.1,0.0761,0.0008,-0.0008,0.0007,-0.0007,0.0037,-0.0037
3.295,3.1,3.49,0.04819,0.00063,-0.00063,0.0005,-0.0005,0.00266,-0.00266
3.68,3.49,3.87,0.02979,0.00044,-0.00044,0.00048,-0.00048,0.00204,-0.00204
4.105,3.87,4.34,0.01742,0.00034,-0.00034,0.00145,-0.00145,0.00116,-0.00116
4.58,4.34,4.82,0.00933,0.00026,-0.00026,0.00097,-0.00097,0.00082,-0.00082
5.0600000000000005,4.82,5.3,0.00457,0.00018,-0.00018,0.00028,-0.00028,0.00055,-0.00055
5.54,5.3,5.78,0.0027,0.00014,-0.00014,0.00021,-0.00021,0.00032,-0.00032

