#: table_doi: 10.17182/hepdata.90831.v1/t314
#: name: table no 314
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{d\Sigma p_{t}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,low thrust(T<0.75),transmax region,$60GeV<p_{T}^{Z}<80GeV$

#: data_file: table_no_314.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV],Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] LOW,Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(\Sigma p_{T}/\delta\eta\delta\phi)$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.145,0,0.29,0.0066,0.0024,-0.0024,0.0025,-0.0025,0.0016,-0.0016
0.48,0.29,0.67,0.0479,0.0046,-0.0046,0.0039,-0.0039,0.0029,-0.0029
0.8600000000000001,0.67,1.05,0.1102,0.0075,-0.0075,0.0068,-0.0068,0.0049,-0.0049
1.24,1.05,1.43,0.1774,0.0083,-0.0083,0.0073,-0.0073,0.007,-0.007
1.62,1.43,1.81,0.2439,0.0089,-0.0089,0.0047,-0.0047,0.0078,-0.0078
2.005,1.81,2.2,0.2763,0.0092,-0.0092,0.0035,-0.0035,0.0066,-0.0066
2.39,2.2,2.58,0.2577,0.0084,-0.0084,0.01,-0.01,0.0055,-0.0055
2.77,2.58,2.96,0.252,0.0086,-0.0086,0.0084,-0.0084,0.0046,-0.0046
3.15,2.96,3.34,0.2362,0.0079,-0.0079,0.0028,-0.0028,0.0044,-0.0044
3.5300000000000002,3.34,3.72,0.2018,0.0077,-0.0077,0.0161,-0.0161,0.0057,-0.0057
4.2,3.72,4.68,0.1354,0.0045,-0.0045,0.0061,-0.0061,0.0023,-0.0023
5.0600000000000005,4.68,5.44,0.0735,0.0038,-0.0038,0.0041,-0.0041,0.0033,-0.0033

