#: table_doi: 10.17182/hepdata.90831.v1/t321
#: name: table no 321
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{d\Sigma p_{t}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,low thrust(T<0.75),away region,$40GeV<p_{T}^{Z}<60GeV$

#: data_file: table_no_321.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV],Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] LOW,Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(\Sigma p_{T}/\delta\eta\delta\phi)$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.07,0,0.14,0.0122,0.0024,-0.0024,0.0016,-0.0016,0.0014,-0.0014
0.23500000000000001,0.14,0.33,0.0234,0.0027,-0.0027,0.0023,-0.0023,0.0017,-0.0017
0.43000000000000005,0.33,0.53,0.0463,0.0034,-0.0034,0.0035,-0.0035,0.0027,-0.0027
0.625,0.53,0.72,0.0826,0.0045,-0.0045,0.0034,-0.0034,0.0037,-0.0037
0.815,0.72,0.91,0.1012,0.0046,-0.0046,0.0034,-0.0034,0.0042,-0.0042
1.0050000000000001,0.91,1.1,0.1084,0.0042,-0.0042,0.006,-0.006,0.0042,-0.0042
1.195,1.1,1.29,0.1277,0.0048,-0.0048,0.0032,-0.0032,0.0046,-0.0046
1.385,1.29,1.48,0.142,0.0043,-0.0043,0.0115,-0.0115,0.0066,-0.0066
1.575,1.48,1.67,0.18,0.006,-0.006,0.004,-0.004,0.007,-0.007
1.7650000000000001,1.67,1.86,0.1905,0.0056,-0.0056,0.0051,-0.0051,0.0084,-0.0084
2.1,1.86,2.34,0.2048,0.0046,-0.0046,0.0067,-0.0067,0.0034,-0.0034
2.5300000000000002,2.34,2.72,0.2259,0.0046,-0.0046,0.0072,-0.0072,0.0044,-0.0044
2.91,2.72,3.1,0.2372,0.0046,-0.0046,0.0093,-0.0093,0.0039,-0.0039
3.295,3.1,3.49,0.235,0.0046,-0.0046,0.0139,-0.0139,0.0033,-0.0033
3.68,3.49,3.87,0.2207,0.0044,-0.0044,0.01,-0.01,0.0037,-0.0037
4.105,3.87,4.34,0.2063,0.0038,-0.0038,0.0077,-0.0077,0.0039,-0.0039
4.58,4.34,4.82,0.1585,0.0037,-0.0037,0.0064,-0.0064,0.0037,-0.0037
5.0600000000000005,4.82,5.3,0.1117,0.0028,-0.0028,0.0048,-0.0048,0.0042,-0.0042
5.54,5.3,5.78,0.0864,0.0024,-0.0024,0.0037,-0.0037,0.0041,-0.0041

