#: table_doi: 10.17182/hepdata.90831.v1/t331
#: name: table no 331
#: description: $\frac{N_{ev}}{d(mean p_{t})}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,high thrust(T<0.75),toward region,$80GeV<p_{T}^{Z}<120GeV$

#: data_file: table_no_331.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$mean p_{T}$ [GeV],Bin limits$mean p_{T}$ [GeV] LOW,Bin limits$mean p_{T}$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(mean p_{T})$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.5,0.45,0.55,0.0105,0.0068,-0.0068,0.003,-0.003,0.0043,-0.0043
0.6000000000000001,0.55,0.65,0.061,0.015,-0.015,0.011,-0.011,0.007,-0.007
0.7,0.65,0.75,0.186,0.024,-0.024,0.033,-0.033,0.018,-0.018
0.8,0.75,0.85,0.699,0.045,-0.045,0.067,-0.067,0.026,-0.026
0.8999999999999999,0.85,0.95,1.24,0.057,-0.057,0.068,-0.068,0.032,-0.032
1.0,0.95,1.05,1.61,0.06,-0.06,0.07,-0.07,0.03,-0.03
1.1,1.05,1.15,1.623,0.053,-0.053,0.096,-0.096,0.031,-0.031
1.2,1.15,1.25,1.412,0.053,-0.053,0.094,-0.094,0.029,-0.029
1.3,1.25,1.35,0.94,0.038,-0.038,0.071,-0.071,0.028,-0.028
1.4,1.35,1.45,0.624,0.036,-0.036,0.043,-0.043,0.027,-0.027
1.5,1.45,1.55,0.427,0.033,-0.033,0.066,-0.066,0.021,-0.021
1.6,1.55,1.65,0.254,0.022,-0.022,0.026,-0.026,0.019,-0.019
1.7,1.65,1.75,0.198,0.021,-0.021,0.041,-0.041,0.018,-0.018
1.8,1.75,1.85,0.158,0.017,-0.017,0.017,-0.017,0.022,-0.022
1.9,1.85,1.95,0.134,0.015,-0.015,0.02,-0.02,0.032,-0.032
2.0,1.95,2.05,0.137,0.025,-0.025,0.025,-0.025,0.026,-0.026
2.0999999999999996,2.05,2.15,0.0466,0.0081,-0.0081,0.012,-0.012,0.0249,-0.0249
2.2,2.15,2.25,0.055,0.014,-0.014,0.007,-0.007,0.019,-0.019
2.3,2.25,2.35,0.0365,0.0074,-0.0074,0.0039,-0.0039,0.0178,-0.0178
2.4000000000000004,2.35,2.45,0.0208,0.0083,-0.0083,0.0186,-0.0186,0.0139,-0.0139
2.5,2.45,2.55,0.007,0.0043,-0.0043,0.0157,-0.0157,0.0198,-0.0198
2.5999999999999996,2.55,2.65,0.039,0.012,-0.012,0.004,-0.004,0.021,-0.021
2.7,2.65,2.75,0.0135,0.0065,-0.0065,0.0034,-0.0034,0.0267,-0.0267
2.8,2.75,2.85,0.0122,0.0065,-0.0065,0.0012,-0.0012,0.0139,-0.0139
2.9000000000000004,2.85,2.95,0.0104,0.0043,-0.0043,0.0074,-0.0074,0.0096,-0.0096

