#: table_doi: 10.17182/hepdata.90831.v1/t335
#: name: table no 335
#: description: $\frac{N_{ev}}{d(mean p_{t})}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,high thrust(T<0.75),transverse region,$10GeV<p_{T}^{Z}<20GeV$

#: data_file: table_no_335.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$mean p_{T}$ [GeV],Bin limits$mean p_{T}$ [GeV] LOW,Bin limits$mean p_{T}$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(mean p_{T})$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.5,0.45,0.55,0.00708,0.00098,-0.00098,0.00202,-0.00202,0.00153,-0.00153
0.6000000000000001,0.55,0.65,0.065,0.003,-0.003,0.011,-0.011,0.003,-0.003
0.7,0.65,0.75,0.2769,0.0058,-0.0058,0.0319,-0.0319,0.0061,-0.0061
0.8,0.75,0.85,0.7792,0.0091,-0.0091,0.0598,-0.0598,0.0101,-0.0101
0.8999999999999999,0.85,0.95,1.5,0.01,-0.01,0.06,-0.06,0.02,-0.02
1.0,0.95,1.05,1.903,0.011,-0.011,0.081,-0.081,0.015,-0.015
1.1,1.05,1.15,1.77,0.01,-0.01,0.08,-0.08,0.01,-0.01
1.2,1.15,1.25,1.3219,0.0088,-0.0088,0.053,-0.053,0.0079,-0.0079
1.3,1.25,1.35,0.8814,0.0072,-0.0072,0.0322,-0.0322,0.0067,-0.0067
1.4,1.35,1.45,0.55,0.0055,-0.0055,0.0219,-0.0219,0.0064,-0.0064
1.5,1.45,1.55,0.3285,0.0041,-0.0041,0.0146,-0.0146,0.0049,-0.0049
1.6,1.55,1.65,0.2095,0.0031,-0.0031,0.0095,-0.0095,0.0036,-0.0036
1.7,1.65,1.75,0.1347,0.0026,-0.0026,0.0071,-0.0071,0.0031,-0.0031
1.8,1.75,1.85,0.0849,0.0017,-0.0017,0.0064,-0.0064,0.0026,-0.0026
1.9,1.85,1.95,0.0547,0.0015,-0.0015,0.0064,-0.0064,0.0018,-0.0018
2.0,1.95,2.05,0.0368,0.0013,-0.0013,0.0032,-0.0032,0.0019,-0.0019
2.0999999999999996,2.05,2.15,0.0266,0.0011,-0.0011,0.0022,-0.0022,0.0014,-0.0014
2.2,2.15,2.25,0.0172,0.00084,-0.00084,0.00154,-0.00154,0.00123,-0.00123
2.3,2.25,2.35,0.0144,0.00075,-0.00075,0.00111,-0.00111,0.0012,-0.0012
2.4000000000000004,2.35,2.45,0.00792,0.00064,-0.00064,0.00096,-0.00096,0.00124,-0.00124
2.5,2.45,2.55,0.008,0.0006,-0.0006,0.001,-0.001,0.0013,-0.0013
2.5999999999999996,2.55,2.65,0.00762,0.00085,-0.00085,0.00066,-0.00066,0.00092,-0.00092
2.7,2.65,2.75,0.00159,0.00024,-0.00024,0.00073,-0.00073,0.00067,-0.00067
2.8,2.75,2.85,0.00257,0.00033,-0.00033,0.00056,-0.00056,0.0005,-0.0005
2.9000000000000004,2.85,2.95,0.00165,0.00034,-0.00034,0.0004,-0.0004,0.00071,-0.00071

