#: table_doi: 10.17182/hepdata.90831.v1/t347
#: name: table no 347
#: description: $\frac{N_{ev}}{d(mean p_{t})}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,high thrust(T<0.75),transmin region,$80GeV<p_{T}^{Z}<120GeV$

#: data_file: table_no_347.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$mean p_{T}$ [GeV],Bin limits$mean p_{T}$ [GeV] LOW,Bin limits$mean p_{T}$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(mean p_{T})$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.5,0.45,0.55,0.027,0.011,-0.011,0.028,-0.028,0.015,-0.015
0.6000000000000001,0.55,0.65,0.213,0.028,-0.028,0.032,-0.032,0.019,-0.019
0.7,0.65,0.75,0.467,0.042,-0.042,0.028,-0.028,0.027,-0.027
0.8,0.75,0.85,0.809,0.048,-0.048,0.035,-0.035,0.029,-0.029
0.8999999999999999,0.85,0.95,1.21,0.06,-0.06,0.07,-0.07,0.03,-0.03
1.0,0.95,1.05,1.38,0.06,-0.06,0.04,-0.04,0.04,-0.04
1.1,1.05,1.15,1.349,0.056,-0.056,0.05,-0.05,0.032,-0.032
1.2,1.15,1.25,1.167,0.049,-0.049,0.092,-0.092,0.029,-0.029
1.3,1.25,1.35,0.89,0.04,-0.04,0.03,-0.03,0.03,-0.03
1.4,1.35,1.45,0.617,0.033,-0.033,0.02,-0.02,0.035,-0.035
1.5,1.45,1.55,0.361,0.025,-0.025,0.061,-0.061,0.033,-0.033
1.6,1.55,1.65,0.265,0.018,-0.018,0.032,-0.032,0.027,-0.027
1.7,1.65,1.75,0.301,0.033,-0.033,0.032,-0.032,0.027,-0.027
1.8,1.75,1.85,0.202,0.016,-0.016,0.039,-0.039,0.026,-0.026
1.9,1.85,1.95,0.143,0.016,-0.016,0.015,-0.015,0.033,-0.033
2.0,1.95,2.05,0.139,0.022,-0.022,0.011,-0.011,0.029,-0.029
2.0999999999999996,2.05,2.15,0.105,0.015,-0.015,0.031,-0.031,0.027,-0.027
2.2,2.15,2.25,0.0603,0.0084,-0.0084,0.013,-0.013,0.0166,-0.0166
2.3,2.25,2.35,0.051,0.011,-0.011,0.01,-0.01,0.02,-0.02
2.4000000000000004,2.35,2.45,0.049,0.012,-0.012,0.001,-0.001,0.019,-0.019
2.5,2.45,2.55,0.0174,0.0046,-0.0046,0.0012,-0.0012,0.0109,-0.0109
2.5999999999999996,2.55,2.65,0.0078,0.0024,-0.0024,0.0045,-0.0045,0.0095,-0.0095
2.7,2.65,2.75,0.047,0.014,-0.014,0.006,-0.006,0.009,-0.009
2.8,2.75,2.85,0.0192,0.0091,-0.0091,0.008,-0.008,0.0131,-0.0131
2.9000000000000004,2.85,2.95,0.0246,0.0093,-0.0093,0.002,-0.002,0.0091,-0.0091

