#: table_doi: 10.17182/hepdata.90831.v1/t352
#: name: table no 352
#: description: $\frac{N_{ev}}{d(mean p_{t})}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,high thrust(T<0.75),transmax region,$20GeV<p_{T}^{Z}<40GeV$

#: data_file: table_no_352.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$mean p_{T}$ [GeV],Bin limits$mean p_{T}$ [GeV] LOW,Bin limits$mean p_{T}$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(mean p_{T})$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.5,0.45,0.55,0.0058,0.0012,-0.0012,0.0012,-0.0012,0.0014,-0.0014
0.6000000000000001,0.55,0.65,0.0428,0.0032,-0.0032,0.0096,-0.0096,0.0024,-0.0024
0.7,0.65,0.75,0.1819,0.0058,-0.0058,0.0303,-0.0303,0.0045,-0.0045
0.8,0.75,0.85,0.55,0.01,-0.01,0.04,-0.04,0.01,-0.01
0.8999999999999999,0.85,0.95,0.989,0.011,-0.011,0.038,-0.038,0.01,-0.01
1.0,0.95,1.05,1.29,0.013,-0.013,0.039,-0.039,0.012,-0.012
1.1,1.05,1.15,1.358,0.012,-0.012,0.045,-0.045,0.013,-0.013
1.2,1.15,1.25,1.238,0.011,-0.011,0.052,-0.052,0.01,-0.01
1.3,1.25,1.35,1.019,0.0099,-0.0099,0.0374,-0.0374,0.0067,-0.0067
1.4,1.35,1.45,0.785,0.0083,-0.0083,0.0226,-0.0226,0.0058,-0.0058
1.5,1.45,1.55,0.6077,0.0072,-0.0072,0.0159,-0.0159,0.0056,-0.0056
1.6,1.55,1.65,0.434,0.006,-0.006,0.013,-0.013,0.005,-0.005
1.7,1.65,1.75,0.3318,0.0048,-0.0048,0.0098,-0.0098,0.0043,-0.0043
1.8,1.75,1.85,0.2312,0.0038,-0.0038,0.0135,-0.0135,0.0032,-0.0032
1.9,1.85,1.95,0.1855,0.0036,-0.0036,0.008,-0.008,0.0026,-0.0026
2.0,1.95,2.05,0.1401,0.0032,-0.0032,0.0052,-0.0052,0.0029,-0.0029
2.0999999999999996,2.05,2.15,0.115,0.003,-0.003,0.004,-0.004,0.003,-0.003
2.2,2.15,2.25,0.0883,0.0026,-0.0026,0.003,-0.003,0.0029,-0.0029
2.3,2.25,2.35,0.0689,0.0021,-0.0021,0.0033,-0.0033,0.0022,-0.0022
2.4000000000000004,2.35,2.45,0.0548,0.0023,-0.0023,0.0022,-0.0022,0.002,-0.002
2.5,2.45,2.55,0.0449,0.0019,-0.0019,0.0019,-0.0019,0.0017,-0.0017
2.5999999999999996,2.55,2.65,0.0341,0.0017,-0.0017,0.0021,-0.0021,0.0016,-0.0016
2.7,2.65,2.75,0.0296,0.0016,-0.0016,0.0024,-0.0024,0.0013,-0.0013
2.8,2.75,2.85,0.0217,0.0011,-0.0011,0.0016,-0.0016,0.0013,-0.0013
2.9000000000000004,2.85,2.95,0.01628,0.00092,-0.00092,0.00114,-0.00114,0.00118,-0.00118

