#: table_doi: 10.17182/hepdata.90831.v1/t365
#: name: table no 365
#: description: $\frac{N_{ev}}{d(mean p_{t})}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,high thrust(T<0.75),away region,$200GeV<p_{T}^{Z}<500GeV$

#: data_file: table_no_365.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$mean p_{T}$ [GeV],Bin limits$mean p_{T}$ [GeV] LOW,Bin limits$mean p_{T}$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(mean p_{T})$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.5,0.45,0.55,0,0,0,0.00069,-0.00069,0,0
0.6000000000000001,0.55,0.65,0,0,0,0.000104,-0.000104,0,0
0.7,0.65,0.75,0,0,0,0.000759,-0.000759,0.017337,-0.017337
0.8,0.75,0.85,0.06,0.05,-0.05,0.08,-0.08,0.04,-0.04
0.8999999999999999,0.85,0.95,0.03,0.03,-0.03,0.26,-0.26,0.06,-0.06
1.0,0.95,1.05,0.268,0.091,-0.091,0.096,-0.096,0.071,-0.071
1.1,1.05,1.15,0.06,0.042,-0.042,0.198,-0.198,0.057,-0.057
1.2,1.15,1.25,0.037,0.042,-0.042,0.243,-0.243,0.094,-0.094
1.3,1.25,1.35,0.49,0.15,-0.15,0.32,-0.32,0.13,-0.13
1.4,1.35,1.45,0.065,0.063,-0.063,0.151,-0.151,0.162,-0.162
1.5,1.45,1.55,0.27,0.11,-0.11,0.18,-0.18,0.12,-0.12
1.6,1.55,1.65,0.054,0.045,-0.045,0.033,-0.033,0.144,-0.144
1.7,1.65,1.75,0.35,0.12,-0.12,0.21,-0.21,0.13,-0.13
1.8,1.75,1.85,0.15,0.08,-0.08,0.04,-0.04,0.15,-0.15
1.9,1.85,1.95,0.121,0.072,-0.072,0.071,-0.071,0.125,-0.125
2.0,1.95,2.05,0.126,0.081,-0.081,0.239,-0.239,0.134,-0.134
2.0999999999999996,2.05,2.15,0.171,0.059,-0.059,0.088,-0.088,0.162,-0.162
2.2,2.15,2.25,0.41,0.16,-0.16,0.07,-0.07,0.16,-0.16
2.3,2.25,2.35,0.151,0.083,-0.083,0.308,-0.308,0.256,-0.256
2.4000000000000004,2.35,2.45,0.63,0.15,-0.15,0.52,-0.52,0.23,-0.23
2.5,2.45,2.55,0.201,0.097,-0.097,0.099,-0.099,0.27,-0.27
2.5999999999999996,2.55,2.65,0.43,0.18,-0.18,0.15,-0.15,0.18,-0.18
2.7,2.65,2.75,0.165,0.088,-0.088,0.246,-0.246,0.203,-0.203
2.8,2.75,2.85,0.6,0.2,-0.2,0.1,-0.1,0.2,-0.2
2.9000000000000004,2.85,2.95,0.229,0.094,-0.094,0.026,-0.026,0.212,-0.212

