#: table_doi: 10.17182/hepdata.90831.v1/t366
#: name: table no 366
#: description: $\frac{1}{N_{ch}} \frac{dN_{ch}}{dp_{T}}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,high thrust (0.75=<T),toward region,$0GeV<p_{T}^{Z}<10GeV$

#: data_file: table_no_366.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$p_{T}$ [GeV],Bin limits$p_{T}$ [GeV] LOW,Bin limits$p_{T}$ [GeV] HIGH,$1/N_{ch} dN_{ch}/d(p_{T})$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.5,0.45,0.55,0.956,0.0024,-0.0024,0.0154,-0.0154,0.0037,-0.0037
0.6000000000000001,0.55,0.65,1.6081,0.0034,-0.0034,0.0233,-0.0233,0.0037,-0.0037
0.7,0.65,0.75,1.279,0.003,-0.003,0.018,-0.018,0.003,-0.003
0.8,0.75,0.85,1.0224,0.0028,-0.0028,0.014,-0.014,0.002,-0.002
0.8999999999999999,0.85,0.95,0.8288,0.0024,-0.0024,0.0115,-0.0115,0.001,-0.001
1.0,0.95,1.05,0.6725,0.0023,-0.0023,0.0095,-0.0095,0.0011,-0.0011
1.1,1.05,1.15,0.5506,0.0022,-0.0022,0.0079,-0.0079,0.0008,-0.0008
1.2,1.15,1.25,0.4564,0.0021,-0.0021,0.0073,-0.0073,0.0009,-0.0009
1.3,1.25,1.35,0.375,0.002,-0.002,0.005,-0.005,0.001,-0.001
1.4,1.35,1.45,0.3127,0.0018,-0.0018,0.0043,-0.0043,0.001,-0.001
1.5,1.45,1.55,0.2665,0.0017,-0.0017,0.0042,-0.0042,0.0008,-0.0008
1.6,1.55,1.65,0.2193,0.0016,-0.0016,0.0033,-0.0033,0.0007,-0.0007
1.7,1.65,1.75,0.1866,0.0015,-0.0015,0.0027,-0.0027,0.0007,-0.0007
1.8,1.75,1.85,0.1594,0.0014,-0.0014,0.0023,-0.0023,0.0008,-0.0008
1.9,1.85,1.95,0.1324,0.0013,-0.0013,0.0028,-0.0028,0.0009,-0.0009
2.0,1.95,2.05,0.1152,0.0012,-0.0012,0.0019,-0.0019,0.0005,-0.0005
2.0999999999999996,2.05,2.15,0.0997,0.0012,-0.0012,0.0014,-0.0014,0.0006,-0.0006
2.2,2.15,2.25,0.084,0.001,-0.001,0.002,-0.002,0.001,-0.001
2.3,2.25,2.35,0.0722,0.0009,-0.0009,0.0016,-0.0016,0.0007,-0.0007
2.4000000000000004,2.35,2.45,0.06548,0.00086,-0.00086,0.00086,-0.00086,0.00053,-0.00053
2.5,2.45,2.55,0.05389,0.00081,-0.00081,0.00095,-0.00095,0.00036,-0.00036
2.5999999999999996,2.55,2.65,0.04885,0.00071,-0.00071,0.0011,-0.0011,0.00036,-0.00036
2.7,2.65,2.75,0.04141,0.00063,-0.00063,0.0011,-0.0011,0.00023,-0.00023
2.8,2.75,2.85,0.03726,0.00064,-0.00064,0.00052,-0.00052,0.00025,-0.00025
2.9000000000000004,2.85,2.95,0.03333,0.00057,-0.00057,0.00062,-0.00062,0.00022,-0.00022
3.0,2.95,3.05,0.02803,0.00053,-0.00053,0.00045,-0.00045,0.00021,-0.00021
3.0999999999999996,3.05,3.15,0.02603,0.00051,-0.00051,0.00032,-0.00032,0.00017,-0.00017
3.2,3.15,3.25,0.02301,0.00042,-0.00042,0.00032,-0.00032,0.00017,-0.00017
3.3,3.25,3.35,0.01997,0.00042,-0.00042,0.00035,-0.00035,0.00018,-0.00018
3.4000000000000004,3.35,3.45,0.01721,0.00039,-0.00039,0.00051,-0.00051,0.00026,-0.00026
3.5,3.45,3.55,0.01647,0.00038,-0.00038,0.00027,-0.00027,0.00029,-0.00029
3.5999999999999996,3.55,3.65,0.01573,0.00036,-0.00036,0.0002,-0.0002,0.00026,-0.00026
3.7,3.65,3.75,0.01353,0.00034,-0.00034,0.00042,-0.00042,0.00017,-0.00017
3.8,3.75,3.85,0.01118,0.00029,-0.00029,0.00055,-0.00055,0.00015,-0.00015
3.9000000000000004,3.85,3.95,0.01036,0.00028,-0.00028,0.00027,-0.00027,0.00013,-0.00013
4.0,3.95,4.05,0.0101,0.00029,-0.00029,0.00012,-0.00012,0.00013,-0.00013
4.1,4.05,4.15,0.00896,0.00026,-0.00026,0.00055,-0.00055,0.00013,-0.00013
4.2,4.15,4.25,0.0081,0.00026,-0.00026,0.00015,-0.00015,0.00013,-0.00013
4.3,4.25,4.35,0.0069,0.00023,-0.00023,0.00017,-0.00017,0.00011,-0.00011
4.4,4.35,4.45,0.00652,0.00022,-0.00022,0.00016,-0.00016,0.00012,-0.00012
4.5,4.45,4.55,0.00593,0.00021,-0.00021,0.0004,-0.0004,0.00011,-0.00011
4.6,4.55,4.65,0.0054,0.00019,-0.00019,0.00021,-0.00021,0.00015,-0.00015
4.7,4.65,4.75,0.00537,0.00019,-0.00019,0.00014,-0.00014,0.0001,-0.0001
4.8,4.75,4.85,0.00506,0.00019,-0.00019,6e-05,-6e-05,0.00012,-0.00012
4.9,4.85,4.95,0.00447,0.00018,-0.00018,0.00011,-0.00011,9e-05,-9e-05
5.0,4.95,5.05,0.00401,0.00016,-0.00016,0.00013,-0.00013,9e-05,-9e-05
5.1,5.05,5.15,0.00344,0.00014,-0.00014,0.00019,-0.00019,9e-05,-9e-05
5.2,5.15,5.25,0.00361,0.00016,-0.00016,0.00034,-0.00034,8e-05,-8e-05
5.3,5.25,5.35,0.00344,0.00016,-0.00016,0.00011,-0.00011,7e-05,-7e-05
5.4,5.35,5.45,0.00295,0.00015,-0.00015,8e-05,-8e-05,7e-05,-7e-05

