#: table_doi: 10.17182/hepdata.90831.v1/t367
#: name: table no 367
#: description: Figure 03b from auxiliary figures,  ptSpec toward_zptregion2 high thrust, $\frac{1}{N_{ch}} \frac{dN_{ch}}{dp_{T}}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,high thrust (0.75=<T),toward region,$10GeV<p_{T}^{Z}<20GeV$

#: data_file: table_no_367.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$p_{T}$ [GeV],Bin limits$p_{T}$ [GeV] LOW,Bin limits$p_{T}$ [GeV] HIGH,$1/N_{ch} dN_{ch}/d(p_{T})$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.5,0.45,0.55,0.9219,0.0028,-0.0028,0.0198,-0.0198,0.0021,-0.0021
0.6000000000000001,0.55,0.65,1.5426,0.0036,-0.0036,0.0193,-0.0193,0.002,-0.002
0.7,0.65,0.75,1.2443,0.0033,-0.0033,0.0128,-0.0128,0.0015,-0.0015
0.8,0.75,0.85,1.0033,0.0031,-0.0031,0.0096,-0.0096,0.0013,-0.0013
0.8999999999999999,0.85,0.95,0.8068,0.0029,-0.0029,0.0069,-0.0069,0.0011,-0.0011
1.0,0.95,1.05,0.6747,0.0028,-0.0028,0.0053,-0.0053,0.0012,-0.0012
1.1,1.05,1.15,0.5475,0.0026,-0.0026,0.0044,-0.0044,0.0011,-0.0011
1.2,1.15,1.25,0.4623,0.0025,-0.0025,0.0036,-0.0036,0.001,-0.001
1.3,1.25,1.35,0.3835,0.0021,-0.0021,0.0042,-0.0042,0.0009,-0.0009
1.4,1.35,1.45,0.3176,0.0021,-0.0021,0.0029,-0.0029,0.0009,-0.0009
1.5,1.45,1.55,0.264,0.002,-0.002,0.003,-0.003,0.001,-0.001
1.6,1.55,1.65,0.2271,0.0018,-0.0018,0.0018,-0.0018,0.0007,-0.0007
1.7,1.65,1.75,0.1913,0.0017,-0.0017,0.003,-0.003,0.0008,-0.0008
1.8,1.75,1.85,0.1619,0.0015,-0.0015,0.0021,-0.0021,0.0007,-0.0007
1.9,1.85,1.95,0.139,0.0015,-0.0015,0.0022,-0.0022,0.0007,-0.0007
2.0,1.95,2.05,0.1236,0.0014,-0.0014,0.0022,-0.0022,0.0006,-0.0006
2.0999999999999996,2.05,2.15,0.1017,0.0013,-0.0013,0.0018,-0.0018,0.0005,-0.0005
2.2,2.15,2.25,0.0908,0.0012,-0.0012,0.0034,-0.0034,0.0005,-0.0005
2.3,2.25,2.35,0.0794,0.0012,-0.0012,0.0014,-0.0014,0.0004,-0.0004
2.4000000000000004,2.35,2.45,0.069,0.001,-0.001,0.002,-0.002,0,0
2.5,2.45,2.55,0.05982,0.00095,-0.00095,0.00195,-0.00195,0.00044,-0.00044
2.5999999999999996,2.55,2.65,0.05258,0.00088,-0.00088,0.0004,-0.0004,0.00037,-0.00037
2.7,2.65,2.75,0.04614,0.00081,-0.00081,0.00086,-0.00086,0.00036,-0.00036
2.8,2.75,2.85,0.0417,0.00078,-0.00078,0.00159,-0.00159,0.0003,-0.0003
2.9000000000000004,2.85,2.95,0.03693,0.00071,-0.00071,0.0008,-0.0008,0.00033,-0.00033
3.0,2.95,3.05,0.03047,0.00069,-0.00069,0.00116,-0.00116,0.00027,-0.00027
3.0999999999999996,3.05,3.15,0.0294,0.0006,-0.0006,0.0011,-0.0011,0.0002,-0.0002
3.2,3.15,3.25,0.02792,0.00062,-0.00062,0.00093,-0.00093,0.00028,-0.00028
3.3,3.25,3.35,0.02406,0.00054,-0.00054,0.0008,-0.0008,0.00027,-0.00027
3.4000000000000004,3.35,3.45,0.02054,0.00049,-0.00049,0.00138,-0.00138,0.00041,-0.00041
3.5,3.45,3.55,0.01867,0.00048,-0.00048,0.00056,-0.00056,0.00033,-0.00033
3.5999999999999996,3.55,3.65,0.01708,0.00045,-0.00045,0.00028,-0.00028,0.00032,-0.00032
3.7,3.65,3.75,0.0149,0.00042,-0.00042,0.00066,-0.00066,0.00018,-0.00018
3.8,3.75,3.85,0.0148,0.00045,-0.00045,0.0009,-0.0009,0.00022,-0.00022
3.9000000000000004,3.85,3.95,0.0128,0.0004,-0.0004,0.0004,-0.0004,0.0002,-0.0002
4.0,3.95,4.05,0.01278,0.00038,-0.00038,0.00072,-0.00072,0.00018,-0.00018
4.1,4.05,4.15,0.01128,0.00034,-0.00034,0.00081,-0.00081,0.00017,-0.00017
4.2,4.15,4.25,0.01016,0.00032,-0.00032,0.0009,-0.0009,0.00017,-0.00017
4.3,4.25,4.35,0.00945,0.00031,-0.00031,0.00046,-0.00046,0.00024,-0.00024
4.4,4.35,4.45,0.00831,0.00031,-0.00031,0.00028,-0.00028,0.00019,-0.00019
4.5,4.45,4.55,0.00703,0.00027,-0.00027,0.0002,-0.0002,0.0002,-0.0002
